[00:00:00] 没有的话呢，
[00:10:27] 各位第一个写a对c的影响，
[00:10:30] 也就是硬设施对社会治理的影响。
[00:10:33] 第二个写b对c的影响，
[00:10:35] 也就是写软服务对社会治理的影响。
[00:10:39] 第三个写叫做a+b结合起来怎么干？
[00:10:44] 然后还有一个x就是把这句话也写下来。
[00:10:49] 它对于社会治理也有影响，
[00:10:51] 听懂了吗？
[00:10:52] 你看如果你要不要中间的这句话的话，
[00:10:55] 它也是有效的社会治理，
[00:10:58] 离不开各方的相互成就，
[00:11:00] 你一定要把这句话给我加进去。
[00:11:02] 这个才是非常重要的，
[00:11:04] 千万不要大意了，
[00:11:06] 一定记住了，
[00:11:07] 题干永远是大于材料的好吧，
[00:11:09] 题干永远是大于材料的，
[00:11:12] 下面我们带着大家看一下小题。
[00:11:14] 我们在考试的时候呢，
[00:11:16] 不要直接去涂材料，
[00:11:18] 而是首先要看一下前面的客观题，
[00:11:20] 我们大体就知道材料是在说什么了，
[00:11:23] 大家来看看。
[00:11:24] 叫g市准备召开妈妈港就业新模式座谈会，
[00:11:28] 要求z县做典型发言，
[00:11:31] 请结合给定材料一为z县领导写一篇发言稿。
[00:11:35] 请问一下，
[00:11:36] 所有亲爱的同学们，
[00:11:37] 如果说我们假如说就不看材料，
[00:11:40] 就根据题干，
[00:11:41] 你觉得一个妈妈岗的。
[00:11:43] 就业新模式的座谈会大概率和硬设施有关，
[00:11:47] 还是和软服务有关？
[00:11:49] 各位，
[00:11:49] 你们能不能告诉我那么这个肯定是和软服务有关的，
[00:11:54] 对吧？
[00:11:55] 我们给你搞一个座谈会，
[00:11:57] 让我们。
[00:11:57] 很多妈妈呢，
[00:11:58] 能够找到工作，
[00:12:00] 这个是一个服务的范畴，
[00:12:01] 它不是一个就业的范畴，
[00:12:03] 好了，
[00:12:04] 我们大体有说了，
[00:12:05] 待会呢，
[00:12:06] 材料一大概率，
[00:12:07] 它可能涉及到，
[00:12:08] 因为我们。
[00:12:09] 服务相关的分论点或者是分论点的论证，
[00:12:13] 再来看一下材料二。
[00:12:14] 各位，
[00:12:15] 请根据给定材料二梳理概括n市在儿童友好城市建设过程当中的有益探索，
[00:12:23] 各位。
[00:12:24] 大家看他讲了一个儿童友好城市建设，
[00:12:27] 也就是我们做的这些东西，
[00:12:29] 对于儿童好，
[00:12:31] 请问大家一下，
[00:12:32] 你们觉得儿童友好城市建设。
[00:12:35] 我们只看建设这个词，
[00:12:37] 它是不是既可能涉及到硬设施，
[00:12:40] 又可能涉及到软服务？
[00:12:42] 所以这个时候我们判断不准，
[00:12:44] 待会呢，
[00:12:45] 我们再去看一下材料也就可以了，
[00:12:47] 行吧，
[00:12:48] 待会再去看一下OK，
[00:12:49] 再接着往下看下面第三个。
[00:12:52] 我们再来看一下，
[00:12:53] 给定材料三当中提到良好的政务服务环境，
[00:12:57] 如同清新的空气，
[00:12:58] 同时也是一个易碎品，
[00:13:00] 请问大家一下，
[00:13:01] 你们觉得这个是在说硬设施？
[00:13:04] 还是在说软服务各位，
[00:13:05] 这个你如果说再搞不定的话，
[00:13:08] 我就实在没有办法了，
[00:13:10] 人家题干当中有一个非常重要的词叫服务，
[00:13:13] 所以呢，
[00:13:14] 我们肯定是在说软服务这样的一个事情。
[00:13:17] 大家现在应该没有问题吧，
[00:13:19] 这样我们就把它全部搞定了好了，
[00:13:22] 所有亲爱的同学们，
[00:13:23] 那么我们下面带着大家呢，
[00:13:25] 来看一下这个题目，
[00:13:27] 看一下这个题目呢，
[00:13:28] 我们最好要找一下这句话，
[00:13:30] 在材料当中的。
[00:13:31] 一个出处，
[00:13:32] 这样的话呢，
[00:13:33] 我们就不容易出现一个比较大的疏漏，
[00:13:36] 大家看哈有效的社会治理需要硬设施和软服务的完美结合，
[00:13:41] 离不开参与各方的相互成就。
[00:13:44] 我们带着大家呢，
[00:13:45] 首先看一下这个材料的出处，
[00:13:48] 这个材料呢，
[00:13:49] 他这句话是我们一个大学的教授写的，
[00:13:52] 他说有效的社会治理啊，
[00:13:54] 需要硬设施和软服务的完美结合。
[00:13:57] 离不开参与各方的相互成就，
[00:13:59] 先别着急，
[00:14:00] 我们带着大家呢来看一下。
[00:14:03] 他无非在资料四当中呢，
[00:14:04] 跟我们说了，
[00:14:05] 他搞了一个这种平台，
[00:14:07] 然后呢，
[00:14:08] 这里面说了很多的案例，
[00:14:09] 他就说什么呢，
[00:14:11] 有的网友啊，
[00:14:12] 在网上发帖声，
[00:14:13] 今天上午九点，
[00:14:14] 青年的一个门口，
[00:14:15] 一位老太太被石墩子绊倒。
[00:14:17] 右手臂骨折了，
[00:14:18] 你看出了这样的一个事故，
[00:14:21] 下面呢，
[00:14:22] 大家来看一下，
[00:14:23] 找到了原因哦，
[00:14:24] 原因就是我们沿途设置了石墩子。
[00:14:27] 然后安装石墩子，
[00:14:29] 他其实也是好心好意，
[00:14:30] 是为了往防止车辆误入施工路段，
[00:14:33] 接着来讲的话呢，
[00:14:34] 年轻人过这些石墩子都很小心，
[00:14:37] 别讲老人了，
[00:14:38] 所以这个就导致这个老人呢摔倒了。
[00:14:41] 骨折了，
[00:14:41] 那么石墩子的颜色还与地面一样，
[00:14:44] 多么坑爹，
[00:14:44] 又比一般的石墩子要大很多，
[00:14:47] 如果视力不好呢，
[00:14:48] 就容易被绊倒，
[00:14:49] 尤其是晚上更难注意到，
[00:14:51] 我昨晚差点被绊倒了。
[00:14:53] 下面这个毛大伯又说那边也有一些石墩子设在人行道上，
[00:14:58] 可是不让车辆。
[00:15:00] 上人行道停放，
[00:15:01] 也没有警示颜色，
[00:15:02] 还做了比较高的锥子形，
[00:15:04] 看着都吓人。
[00:15:05] 这两个是对石墩子一个完全的批评和否定，
[00:15:09] 下面这个工作人员又告诉记者，
[00:15:11] 我们也了解这个事，
[00:15:13] 石墩子对于微通维护。
[00:15:15] 交通秩序的用处是非常大的，
[00:15:17] 但是对过往行人确实不太友好，
[00:15:19] 他也承认了不太友好，
[00:15:21] 那么大家石墩子，
[00:15:23] 它是不是是一个硬设施啊？
[00:15:25] 我们正在协调部门，
[00:15:26] 先把它拆除，
[00:15:27] 后续怎么办？
[00:15:28] 还需要进一步协商，
[00:15:30] 大家看材料二叫做就复兴路中央绿化带两旁的隔离带设施表达意见，
[00:15:36] 大家看这个人说多少有点硬，
[00:15:39] 这个人说完全没有用，
[00:15:41] 这个人又说。
[00:15:42] 非常有用，
[00:15:43] 各位，
[00:15:43] 我请问大家一下这个东西，
[00:15:46] 它是在说什么？
[00:15:47] 这个东西不管是绿化带还是一个石墩子，
[00:15:51] 是不是都是在说一个？
[00:15:53] 硬设施还是在说一个软服务，
[00:15:56] 所以有的同学给老师琢磨一下，
[00:15:59] 是不是都是在说一个硬设施啊？
[00:16:01] 那么也就是我们通过石墩子这件事情，
[00:16:05] 我们发现。
[00:16:05] 啊光，
[00:16:06] 有硬设施还是不够的，
[00:16:08] 你最好还有一个软服务，
[00:16:10] 然后最好还有各方的相互成就，
[00:16:13] 各位你觉得这个各方是指的哪一方？
[00:16:16] 从这个题干当中。
[00:16:18] 各位各方首先设置石墩子的是谁？
[00:16:21] 设置石墩子的那可能是一个叫做政府同意吧，
[00:16:26] 另外一个各方那么有可能还有一个群众。
[00:16:30] 大家同意不？
[00:16:31] 也就是我们要想把社会治理啊，
[00:16:34] 变得有效，
[00:16:35] 第一个需要硬设施，
[00:16:37] 第二个需要软服务的结合，
[00:16:40] 那么还有呢，
[00:16:41] 需要政府和群众的。
[00:16:43] 共同的努力，
[00:16:44] 大家能够听明白了吧，
[00:16:45] 这是我们给大家所说的非常重要的，
[00:16:48] 各位这个是联考的题，
[00:16:49] 你像河南啊，
[00:16:50] 贵州啊等等都是考的这个题。
[00:16:52] 我们再接着给大家一起往下走。
[00:16:55] 好了，
[00:16:55] 下面我问大家一下，
[00:16:57] 你们自己在写的时候有没有同学把这句话写到第三个分论点里面去？
[00:17:03] 那么我们知道，
[00:17:05] 我们遇到ABC类的，
[00:17:06] 我们基本上就是第一个分论点，
[00:17:09] 要写a对c有什么好处，
[00:17:11] 第二个分论点要写b对c有什么影响，
[00:17:15] 第三个分论点要写a+b。
[00:17:17] 啊，
[00:17:17] 进行一个有效的结合，
[00:17:19] 怎么干这个题目唯一特殊的是它在题干当中就给你加了一个尾巴，
[00:17:25] 这个尾巴本身也是一个对策，
[00:17:27] 所以你要把这个对策给我放到第三个分论点里面去。
[00:17:31] 现在大家听清楚了吗？
[00:17:33] 这个是非常重要的，
[00:17:35] 千万莫把这句话给我漏掉了，
[00:17:37] 否则你第三个分论点就会跑偏。
[00:17:40] 好吧，
[00:17:40] 一定要注意尾巴，
[00:17:41] 我问一下所有的同学，
[00:17:43] 你们之前在预习这节课的时候把这个尾巴搞定了的，
[00:17:47] 打个一没有搞定的，
[00:17:48] 打个二我看一下同学们的比例情况。
[00:17:51] 各位，
[00:17:51] 什么叫气有浩然，
[00:17:52] 学无止境，
[00:17:53] 学习永远没有止境，
[00:17:55] 学习它永远有更难的题目出现，
[00:17:58] 每一年它都会有更难的题出现，
[00:18:00] 但是只要你能够死死的扣紧题目当中的关键词。
[00:18:05] 基本上来讲，
[00:18:06] 万变就不会离题干了，
[00:18:08] 你就不用再慌张了，
[00:18:09] 行吧？
[00:18:10] 好了，
[00:18:10] 那我们带着大家一起写一下，
[00:18:13] 各位拿到这个题目之后，
[00:18:15] 如果我们的标题出来了。
[00:18:17] 请问我们的开头可不可以出来？
[00:18:20] 各位有的同学说老师，
[00:18:21] 我想写一个开头，
[00:18:23] 但是我脑袋像这张PPT一样空白，
[00:18:25] 请问大家一下开头包含了几个要素？
[00:18:28] 第一个我问一下大家开头包含了几个要素，
[00:18:32] 抓紧时间琢磨一下开头对于我们来讲，
[00:18:36] 第一个要写名言警句，
[00:18:38] 如果你跟着我学的话。
[00:18:40] 那么，
[00:18:40] 这个名言警句请问当大家，
[00:18:43] 它可以来源于题干，
[00:18:45] 它也可以来源于自身的积累，
[00:18:48] 它还可以来源于叫做材料。
[00:18:50] 那么，
[00:18:51] 大家来看一下这个题目，
[00:18:53] 当中题干有没有名言警句？
[00:18:55] 这个题目就是谈谈。
[00:18:57] 对于这句话的理解，
[00:18:59] 所以我们直接引用题干当中的这句话。
[00:19:03] 各位，
[00:19:03] 你引用题干当中的这句话，
[00:19:06] 最大的作用，
[00:19:07] 请问大家是什么？
[00:19:09] 就是为了我们防止不跑题。
[00:19:11] 听懂了吗？
[00:19:12] 这是我们非常重要的一个要素，
[00:19:15] 你把它写进来，
[00:19:16] 阅卷人就不能说你跑题，
[00:19:17] 你这里面重要的词肯定就写到了。
[00:19:20] 那么，
[00:19:20] 这是我们给大家说的，
[00:19:22] 但是这句话说完了之后，
[00:19:24] 我们最好把它解释一下，
[00:19:26] 你就可以写这句话。
[00:19:28] 是指。
[00:19:31] 或者是这句话指出了。
[00:19:35] 硬设施。
[00:19:39] 和。
[00:19:42] 软服务的重要性。
[00:19:46] 软服务。
[00:19:49] 到。
[00:19:50] 重要性OK，
[00:19:51] 一起把它搞定，
[00:19:52] 这是我们给大家所说的，
[00:19:54] 那么下面的话呢？
[00:19:56] 亲爱的同学们，
[00:19:57] 写完了名言警句，
[00:19:58] 请问要写哪一句话呢？
[00:20:00] 你们之前听过我的课，
[00:20:02] 这个时候三分钟就应该用自己的嘴巴把开头口述出来，
[00:20:06] 写完了名言警句，
[00:20:08] 我们可以加一个。
[00:20:09] 背景段各位，
[00:20:10] 请问这个背景段我们可以用什么样的背景呢？
[00:20:15] 大家看它是在讲社会治理的，
[00:20:18] 也就是社会层面，
[00:20:19] 你可以用一个万能的背景，
[00:20:22] 也可以用一个社。
[00:20:23] 会层面，
[00:20:24] 个性化的背景行吧，
[00:20:25] 那么我之前让大家背的那个万能的背景，
[00:20:28] 我不知道大家还有没有人记得，
[00:20:31] 我们来看一下，
[00:20:32] 在这里边的话呢，
[00:20:33] 给大家准备了万能的背景当前。
[00:20:35] 世界之变，
[00:20:36] 时代之变，
[00:20:37] 还有一个叫什么之变，
[00:20:39] 叫治理之变，
[00:20:40] 或者是社会之变。
[00:20:42] 正在以前所未有的方式展开。
[00:20:44] 大家觉得可以吗？
[00:20:46] 所以你就直接能够把它给我写出来了，
[00:20:48] 没有多难呀，
[00:20:49] 那么把它写出来，
[00:20:51] 那有的同学说老师我能不能找一个社会治理层面比较个性化的背景句呢？
[00:20:56] 好了，
[00:20:56] 我们带着大家看看。
[00:20:58] 有没有一个能够比较合适的这些东西啊？
[00:21:01] 反复的让大家背，
[00:21:02] 我也不知道你们背了没背，
[00:21:05] 各位我们找一个社会层面就是比较。
[00:21:07] 重要的大家看，
[00:21:09] 这是一个民生层面，
[00:21:10] 我们随便给大家找一个吧，
[00:21:12] 看看能不能用得上，
[00:21:13] 能用得上咱们就用得上，
[00:21:15] 不能够用得上的我们就不用了，
[00:21:18] 行吗？
[00:21:18] 大家来看一下。
[00:21:19] 在这个题目当中，
[00:21:21] 叫做什么？
[00:21:21] 党的20大报告中指出，
[00:21:24] 完善社会治理体系，
[00:21:25] 提升社会治理效能。
[00:21:27] 行不行？
[00:21:27] 那么，
[00:21:28] 完善社会治理体系，
[00:21:30] 提升社会治理效能，
[00:21:31] 那么或者党的二零大报告指出。
[00:21:34] 社会治理现代化是国家治理体系的重要组成部分，
[00:21:38] 是中国式现代化社会领域的具体的体现，
[00:21:41] 是国家现代化建设的重要组成部分。
[00:21:43] 你们觉得可以吗？
[00:21:45] 或者我们直接写叫做党党的十九届六中全会指出啊，
[00:21:50] 怎么怎么怎么样，
[00:21:51] 随便选一个你。
[00:21:53] 发现不合适，
[00:21:54] 那我们就不选，
[00:21:55] 听懂了吗？
[00:21:56] 你这些东西一定要把它背熟，
[00:21:58] 否则的话，
[00:21:59] 在考试的时候你没有办法进行一个灵活运用。
[00:22:03] 好吧，
[00:22:03] 这是我们给大家想说的，
[00:22:05] 好了，
[00:22:05] 当你把这个背景选完了之后，
[00:22:08] 下面第三步，
[00:22:09] 请问大家要选什么了？
[00:22:11] 第三步，
[00:22:12] 我问大家一下，
[00:22:13] 咱们要选什么背景？
[00:22:15] 选完了之后，
[00:22:16] 第三步一定要做一个影响。
[00:22:18] OK，
[00:22:19] 影响我问大家一下，
[00:22:20] 涉及到社会治理的影响，
[00:22:23] 我们能够想到什么？
[00:22:24] 我们也之前给大家做了一个万能的影响，
[00:22:28] 这种社会治理的影响呢？
[00:22:30] 大家看你可以选择叫做。
[00:22:32] 怎么样？
[00:22:33] 我们能否做到将硬设施和软服务相结合，
[00:22:36] 是满足人民生活需要的必由之路，
[00:22:39] 也是建设服务型政府的必经之法，
[00:22:43] 更是推动高质量发展的必然选择。
[00:22:46] 大家觉得可以吗？
[00:22:47] 你随便变换几个词，
[00:22:48] 就马上形成你自己比较个性化的模板了，
[00:22:51] 那么另外一个有的同学说老师，
[00:22:54] 我能不能再想一个呢？
[00:22:55] 各位，
[00:22:56] 我们刚才的这个。
[00:22:57] 你们觉得可以吗？
[00:22:59] 就是能否将软设施和硬服务相结合是怎么样？
[00:23:03] 这些东西你会发现太大了，
[00:23:05] 这是一个背景，
[00:23:06] 用不上，
[00:23:07] 那么我们就不用我们再来看看前面的东西能不能用这个呢？
[00:23:11] 你会发现也没有问题吧，
[00:23:13] 能否做到将硬设施和软服务相结合，
[00:23:16] 事关人民群众的根本利益。
[00:23:18] 事关政府治理能力和治理水平的提升，
[00:23:21] 事关社会主义现代化建设事业的成败，
[00:23:24] 大家觉得可以不？
[00:23:25] 我再给大家说一下，
[00:23:26] 就是你这些东西不背，
[00:23:28] 你永远写不出来太好的文章。
[00:23:30] 那么当然，
[00:23:31] 你如果本身就是天赋异禀的话，
[00:23:33] 你就不用需要背，
[00:23:34] 但是如果你觉得自己现在水平比较弱，
[00:23:37] 你把这些素材背下来，
[00:23:39] 你会背了，
[00:23:40] 然后你才会个性化，
[00:23:41] 也就相当于你像一个小孩一样，
[00:23:44] 先会走路了。
[00:23:44] 然后再会跑路，
[00:23:46] 你们能不能认同这个逻辑，
[00:23:47] 这是非常重要的，
[00:23:49] 我希望大家把它搞定好了，
[00:23:51] 那我们说完了，
[00:23:52] 影响之后我们要说什么了，
[00:23:54] 各位同学，
[00:23:54] 那么我们要说一个过渡句。
[00:23:56] 过渡句尽量要有一个名言警句，
[00:23:59] 各位你们自己准备的那个名言警句能不能打在屏幕上，
