[00:00:00] 痛苦痛苦的哀愁，
[00:07:05] 所以希望大家能够理解行吗？
[00:07:08] 行的话给老师敲个一。
[00:07:10] 这几天的话呢，
[00:07:11] 大家先给我发一些基础的写作的方法和技巧，
[00:07:14] 学会我觉得这个是最重要的，
[00:07:16] 你每次听课之前呢，
[00:07:17] 就是能够把分论点自己给我找一下也就行了。
[00:07:20] 下周给大家呢，
[00:07:22] 升级完算法之后，
[00:07:23] 我们会统一开放在群里面呢，
[00:07:25] 提前给大家发通知，
[00:07:27] 大家觉得可以吧？
[00:07:28] 啊，
[00:07:28] 提前给大家发通知，
[00:07:30] 然后呢？
[00:07:31] 因为这个算法的话呢，
[00:07:33] 它的模型啊，
[00:07:34] 实在是太多了啊，
[00:07:35] 实在是太多了，
[00:07:36] 兄弟们。
[00:07:45] 好了，
[00:07:46] 带着大家一起走一下啊。
[00:07:52] 啊。
[00:07:54] 黑龙江地，
[00:07:54] 你们都是哪个城市的？
[00:07:56] 可以把你们具体的城市的名字敲在评论区，
[00:07:59] 让我看一下大家城市的名字好吧？
[00:08:03] 你看来自这么多的地方啊。
[00:08:05] 牛好。
[00:08:08] 哎呀，
[00:08:09] 还是互联网创业好啊，
[00:08:11] 你要是搞一个线下的班，
[00:08:13] 你想想一下子怎么能够集齐这么多的地方？
[00:08:16] 还有大同的没有西安的吗？
[00:08:18] 我们在西安有一个基地班啊，
[00:08:20] 在西安的那个基地班呢，
[00:08:22] 我提前给大家说一下，
[00:08:23] 7月14号开课啊。
[00:08:25] 然后呢？
[00:08:25] 如果你不放心的话，
[00:08:26] 就是已经报了西安基地班的同学呢，
[00:08:29] 11号12号13号就可以到那免费住着，
[00:08:32] 然后呢？
[00:08:33] 试听三天，
[00:08:33] 觉得好呢，
[00:08:34] 就跟着走，
[00:08:35] 觉得不好呢，
[00:08:35] 一分钱都不收，
[00:08:36] 直接把你钱。
[00:08:37] 全部给你退掉好吧，
[00:08:39] 就是十一十二十三就在西安有个古城墙啊，
[00:08:42] 结果的话呢，
[00:08:43] 昨天晚上还有个同学跟我说他想去西安旅游，
[00:08:47] 能不能免费住三天，
[00:08:48] 我的妈呀。
[00:08:49] 你这个真的会找漏洞啊，
[00:08:51] 你这又是占我车位是不是？
[00:08:54] 好吧，
[00:08:54] 我们在西安这个极地湾的话呢，
[00:08:56] 还可以啊，
[00:08:57] 反正大家如果去，
[00:08:59] 如果已经报了名的，
[00:09:00] 你就一定记得去好吧？
[00:09:02] 好嘞，
[00:09:02] 所有的同学你知道吗？
[00:09:04] 我现在觉得我还挺有名的，
[00:09:06] 我现在到很多地方啊，
[00:09:08] 我上次到大连你知道吧？
[00:09:10] 哎呀，
[00:09:11] 真的在大连每一个旅游景点好像都有我的学生能够认出来，
[00:09:16] 我真的啊，
[00:09:16] 有个同学他就直接上来喊我袁东老师，
[00:09:19] 我当时呢，
[00:09:20] 一下子没反应过来，
[00:09:22] 愣了一下，
[00:09:22] 然后他还以为他喊错了。
[00:09:24] 因为呢，
[00:09:25] 他天天看的是美颜的园中，
[00:09:27] 他没有想到真实的园中还是什么样子，
[00:09:30] 他不完全能够对应上去，
[00:09:32] 结果的话呢，
[00:09:33] 他就有点模糊的感觉，
[00:09:34] 就觉得我是园中，
[00:09:36] 他上来一一下子还。
[00:09:37] 说东哥，
[00:09:38] 然后呢？
[00:09:38] 我当时一下子愣了一下，
[00:09:40] 我还在想他是谁呢？
[00:09:41] 然后呢？
[00:09:42] 我一下子没有想到是我的学生啊，
[00:09:44] 然后呢？
[00:09:44] 他也愣了一下，
[00:09:45] 然后他说我我不会喊错了吧？
[00:09:47] 哦哦哦，
[00:09:48] 你是东哥哈哈哈呀，
[00:09:50] 他说你一说话那种浓浓的山东口音，
[00:09:54] 我就听出来了东哥。
[00:09:56] 哈哈，
[00:09:57] 好了，
[00:09:57] 当师傅呢，
[00:09:58] 我在看那个，
[00:09:59] 一个是在大连，
[00:10:00] 有一个叫威尼斯水城吧，
[00:10:02] 我还请他吃了一个冰激凌啊啊，
[00:10:04] 还有她男朋友，
[00:10:05] 我们三个人一起快快乐乐的。
[00:10:08] 吃了一个冰激凌好了，
[00:10:09] 所以有的同学大家现在呢，
[00:10:11] 如果能够听见的话，
[00:10:13] 就给老师打个一我们直播呢，
[00:10:15] 就马上开始了哈，
[00:10:17] 这节课我们还是给大家。
[00:10:18] 进行大作文的实战的讲解。
[00:10:22] 这个大作文的实战的讲解的话呢，
[00:10:24] 这个题目。
[00:10:25] 我问大家一下来看一下，
[00:10:27] 你们觉得它是应该是单主题双主题还是多主题给定材料四中提到我们就是要把每件小事都做好。
[00:10:36] 让阳光照亮城市的每一个角落，
[00:10:38] 请深入思考这句话，
[00:10:40] 参考给定材料联系实际，
[00:10:41] 自选角度，
[00:10:42] 自拟题目，
[00:10:43] 写一篇文章。
[00:10:44] 各位认真的看一下，
[00:10:45] 一共只有两句话，
[00:10:47] 这是第一句话，
[00:10:48] 这是第二句话，
[00:10:49] 在审题的时候一定记住了，
[00:10:51] 袁东老师像一个大哥哥一样，
[00:10:53] 站在你身后。
[00:10:54] 标题的前半句应该等于什么？
[00:10:56] 是不是等于对策标题的后半句？
[00:10:59] 是不是应该等于一个影响啊？
[00:11:02] 对策，
[00:11:02] 请问第一句话是在说对策还是第二句话是在说对策？
[00:11:07] 哪位同学可以看出来？
[00:11:09] 是不是大概率是第一句话是在说对策，
[00:11:13] 第一句话是在说对策就是做好每件小事，
[00:11:16] 那我就直接把它写下来，
[00:11:18] 我可以写成做好每件小事。
[00:11:20] 也可以写成办好每件小事，
[00:11:22] 大家一起把它写下来好，
[00:11:25] 然后它有什么好处，
[00:11:27] 或者是影响呢？
[00:11:28] 它的好处或者是影响就是。
[00:11:31] 照亮城市角落，
[00:11:33] 大家把照亮城市角落给老师打开评论区，
[00:11:37] 做好每件小事。
[00:11:39] 照料。
[00:11:40] 城市。
[00:11:42] 角落哎，
[00:11:43] 咱们也就把它搞定了，
[00:11:45] 做好每件小事，
[00:11:46] 照亮城市角落，
[00:11:48] 一起把它搞定好。
[00:11:49] 好了，
[00:11:50] 当你把这个搞定了之后，
[00:11:52] 标题搞定了之后，
[00:11:53] 下面最重要的是要找什么？
[00:11:55] 哪位同学可以告诉我？
[00:11:57] 就是标题搞定了，
[00:11:58] 就代表我们框架的总论点搞定了，
[00:12:02] 总论点搞定了之后，
[00:12:04] 框架还需要搞。
[00:12:05] 哪一块有哪个同学可以告诉我是不是要去找分论点啊？
[00:12:10] 找分论点的话，
[00:12:11] 我问大家一下，
[00:12:12] 分论点的来源可以来源于什么？
[00:12:15] 第一个可以来源于题干吗？
[00:12:17] 第二个可以来源什么？
[00:12:19] 第二个可以来源于材料吧。
[00:12:22] 第三个可以来源于其他的材料吧。
[00:12:26] 还有前面的客观小题吧，
[00:12:28] 前面我我问大家一下，
[00:12:31] 你觉得如果材料四当中就能够找出分论点或者其他材料当中。
[00:12:37] 也能够找出分论点，
[00:12:39] 我们优先是用材料四当中的分论点，
[00:12:43] 还是优先用材料一二三当中的分论点？
[00:12:46] 哪位同学可以告诉我，
[00:12:48] 记住了，
[00:12:49] 这里边它有个优先级，
[00:12:51] 如果从材料四当中能找到这个时候，
[00:12:54] 大家一起写下来，
[00:12:55] 叫就近原则，
[00:12:56] 我肯定是优先从。
[00:12:58] 材料四当中去找这个分论点，
[00:13:00] 大家听清楚了吗？
[00:13:02] 好了，
[00:13:02] 那我现在问大家一下，
[00:13:04] 这个分论点的话。
[00:13:05] 你们觉得它的角度是指什么东西？
[00:13:09] 哪位同学可以告诉我分论点，
[00:13:12] 他每次让我们自选角度这个角度。
[00:13:15] 到底是指什么呢？
[00:13:17] 各位这个角度就是指的一个要素，
[00:13:21] 一个是对策的要素。
[00:13:23] 还有一个是影响的要素，
[00:13:25] 现在清晰了，
[00:13:26] 不好了，
[00:13:27] 那我问大家下，
[00:13:28] 就是因为我的这种智商呢，
[00:13:30] 一般不像你们有的同学智商那么高。
[00:13:34] 如果你让我两个都找的话呢，
[00:13:36] 我会有点崩溃，
[00:13:37] 我是优先去找对策还是优先去找警角？
[00:13:40] 哪位同学可以告诉我？
[00:13:41] 是不是优先要求找对策，
[00:13:44] 找对策到材料当中，
[00:13:46] 主要找什么词？
[00:13:47] 哪位同学可以告诉我，
[00:13:49] 比如说主要是找动词，
[00:13:51] 再加上一个。
[00:13:52] 事情然后呢，
[00:13:53] 分论点我之前给大家说过了，
[00:13:56] 找对策一共可以从三个角度去思考。
[00:14:00] 哪三个角度，
[00:14:01] 大家还记得吗？
[00:14:02] 第一个。
[00:14:03] 叫谁来干？
[00:14:04] 大家把它一起写下来。
[00:14:07] 第二个，
[00:14:07] 如果你不知道找动词加事情，
[00:14:10] 那你就是如果你不知道找对策，
[00:14:13] 你把它换成更加直白的语言就是干什么？
[00:14:17] 那么第三个就是要干哪方面？
[00:14:21] 干哪方面都是可以的，
[00:14:23] 其实你就是干什么和那干哪方面，
[00:14:26] 其实它本质上是一个事，
[00:14:28] 只是我把层次划分的更清晰了一些，
[00:14:30] 让你更容易理解。
[00:14:32] 好了，
[00:14:32] 那我问大家一下这个角度，
[00:14:35] 我们优先带着大家先看什么，
[00:14:38] 我们优先带着大家先看一下材料的输出。
[00:14:42] 大家看一下，
[00:14:43] 我们就是要把每件小事都做好，
[00:14:45] 让阳光照亮城市的每一个角落。
[00:14:48] 这是老王说的话，
[00:14:49] 我们要把高质量发展的理念落实到城市建设当中。
[00:14:53] 以美好环境与幸福生活共同缔造活动为载体，
[00:14:57] 一件一件抓落实，
[00:14:59] 一年一年接着干，
[00:15:01] 请问。
[00:15:01] 这句话当中能不能直接看到我们的分论点，
[00:15:05] 大家告诉我，
[00:15:06] 我们的分论点一定要是和总论点有关的，
[00:15:10] 它叫。
[00:15:11] 每件小事，
[00:15:12] 它叫每件小事。
[00:15:15] 大家来看啊，
[00:15:16] 它这个叫做每件小事，
[00:15:18] 那么你要想做好每件小事的话呢，
[00:15:20] 我问大家一下，
[00:15:22] 就是我们在这个里边就说。
[00:15:24] 啊，
[00:15:24] 我们要有一个什么样的理念，
[00:15:26] 大家觉得可以不？
[00:15:28] 可以的话给老师打个心，
[00:15:30] 然后呢？
[00:15:30] 我们呢？
[00:15:31] 还要抓美好的环境和幸福的生活，
[00:15:33] 大家觉得可以不？
[00:15:35] 就是我们这个就是如果让我们写成一篇，
[00:15:39] 就是这个分论点的话，
[00:15:41] 我就做好每件小事的话呢，
[00:15:43] 第一个我需要。
[00:15:45] 有一个好的理念，
[00:15:46] 为民的理念吧，
[00:15:47] 第二个我需要有一个美好的环境，
[00:15:50] 那么第三个我还需要有一个幸福的生活，
[00:15:53] 如果我用这样写，
[00:15:54] 大家觉得可以。
[00:15:56] 还是不可以。
[00:15:57] 各位可以还是不可以？
[00:15:59] 各位认真的琢磨一下，
[00:16:01] 那我觉得是可以的吧？
[00:16:03] 但是大家觉得好小，
[00:16:05] 就是每件小事有一个理念，
[00:16:08] 还有美好的环境，
[00:16:09] 还有幸福的生活，
[00:16:11] 虚不虚？
[00:16:12] 各位，
[00:16:12] 我觉得不太好写。
[00:16:14] 不太好写。
[00:16:16] 还有一个它和小事的关联紧密还是不紧密？
[00:16:21] 我觉得也没有那么紧密，
[00:16:24] 对吧？
[00:16:24] 小事嘛，
[00:16:25] 大家来想想小事，
[00:16:27] 哎呦，
[00:16:27] 到底这个小事是指的哪方面的小事呢？
[00:16:31] 谁来干这些小事呢？
[00:16:33] 干哪些小事呢？
[00:16:35] 干哪方面的小事呢？
[00:16:36] 其实我觉得如果带入的话，
[00:16:39] 这个好像不是那么的直接，
[00:16:41] 所以呢？
[00:16:42] 即使这样写，
[00:16:43] 可以我看看我能不能从其他的角度再来看一下，
[00:16:47] 别着急啊，
[00:16:48] 我们就从前面的材料再看一下。
[00:16:51] 大家来看一下前面的这个材料，
[00:16:53] 我们要找什么分类点，
[00:16:55] 哪位同学可以告诉我是不是要找对策好了，
[00:16:58] 大家来看一下断手续。
[00:17:00] 在这个断首句当中，
[00:17:02] 请问大家一下，
[00:17:03] 我们办的小事，
[00:17:04] 如果非要说一个词的话，
[00:17:06] 你觉得是哪一个词？
[00:17:08] 哪位同学可以告诉我？
[00:17:09] 就是c市为老百姓在第一句话当中，
[00:17:12] 如果干了小事，
[00:17:13] 是不是就是搞了一个食堂啊？
[00:17:16] 大家把食堂给老师打开评论区也就可以了。
[00:17:19] 这个食堂你就把它给老师打在评论区，
[00:17:23] 这个食堂是专门针对谁干的？
[00:17:25] 是不是针对还小孩干的？
[00:17:28] 是不是专门针对老人干的？
[00:17:30] 好了，
[00:17:31] 别着急，
[00:17:31] 再来看一下断尾句，
[00:17:33] 断尾句大家来看一下c是制定了。
[00:17:37] 全龄友好型城市围绕全命全生命周期，
[00:17:41] 为每一位市民提供高效服务。
[00:17:44] 大家觉得，
[00:17:45] 这个和我们的膝盖，
[00:17:47] 它是一个。
[00:17:48] 同一维度的关系还是一个，
[00:17:50] 就是总总分的关系，
[00:17:52] 各位这个和我们题干我们题干叫办好每一件小事，
[00:17:57] 就是为每一位市民提供高效服务。
[00:18:00] 所以这个就等同于总论点，
[00:18:03] 也就等同于标题，
[00:18:04] 大家能够同意不等同于总论点，
[00:18:08] 也就等同于标题。
[00:18:10] 所以呢，
[00:18:10] 它和我们的标题是同一个维度的，
[00:18:13] 别着急，
[00:18:14] 好了，
[00:18:14] 我们再带着大家往下走，
[00:18:16] 大家来看一下下面。
[00:18:18] 第二段的办手续，
[00:18:19] 大家告诉我，
[00:18:20] 如果我们在这一段当中为群众办小事，
[00:18:24] 你觉得办的最重要的小事，
[00:18:26] 关键词要写什么？
[00:18:27] 哪位同学可以直接告诉我关键词，
[00:18:31] 要想什么？
[00:18:32] 关键词是不是搞了一个养老服务综合体啊？
[00:18:36] 大家同意吧，
[00:18:37] 是不是搞了一个养老服务综合体啊？
[00:18:40] 好，
[00:18:40] 那我们再来接着往下走一下，
[00:18:43] 大家看我们在这个断尾句。
[00:18:45] 他搞了什么事情在断尾句，
[00:18:48] 搞了一个适老化改造，
[00:18:50] 在断尾句搞了一个。
[00:18:52] 怎么样养老服务综合体在断尾句搞了一个认知障碍，
[00:18:58] 友好社区，
[00:18:59] 大家现在同意吗？
[00:19:01] 所以你会发现这里边一共办了几件小事。
[00:19:06] 你会发现这里面办的小事，
[00:19:08] 我给大家数一下，
[00:19:09] 这个食堂是第一件小事，
[00:19:11] 这个养老综合服务体是第二件小事。
[00:19:14] 居家适老化改造是第三件小事，
[00:19:17] 助餐点和我们的前面的食堂是一样，
[00:19:21] 不用出点了。
[00:19:22] 养老服务综合体也一样，
[00:19:24] 也不用出点了认知障碍。
[00:19:26] 友好区是第四件小事，
[00:19:28] 大家现在能够听懂吗？
[00:19:30] 各位，
[00:19:30] 这四件小事。
[00:19:32] 全部都针对了一个对象，
[00:19:35] 是哪个对象？
[00:19:37] 全部都是针对老人办的吧，
[00:19:39] 但是这四件小事有一个小事，
[00:19:42] 既针对老人，
[00:19:43] 还针对儿童，
[00:19:44] 是哪一件小事？
[00:19:45] 针对儿童。
[00:19:46] 是不是就是这个食堂也针对了儿童啊，
[00:19:49] 所以这个时候我就知道他也针对了孩童。
[00:19:52] 哎，
[00:19:53] 这个时候我问大家一下，
[00:19:55] 你们能不能用一个词，
[00:19:57] 就是把这些小字全部给我概括起来。
[00:20:00] 食堂还有一个助餐点，
[00:20:02] 还有一个养老服务综合体，
[00:20:05] 还有一个认知障碍友好社区。
[00:20:08] 请问大家下，
[00:20:09] 你们能不能用一个词全部概括起来？
[00:20:12] 哎，
[00:20:12] 我这时候我还真的概括不了，
[00:20:14] 我从来也没有什么规范词，
[00:20:17] 我从来也没让大家背过这个。
[00:20:19] 真的不能怪你们，
[00:20:20] 考场之后就直接骂东哥就行了，
[00:20:23] 你这个食堂和助餐点和养老服务综合体和认知。
[00:20:28] 障碍友好社区，
[00:20:29] 我怎么知道怎么合并，
[00:20:31] 但是比较着急，
[00:20:32] 大家来看一下这些事能不能全部概括成关爱老年人。
[00:20:37] 大家觉得可以的话，
[00:20:39] 就给老师打个一，
[00:20:40] 不可以的话就给老师打个二，
[00:20:42] 我还是尽量的用原词原句，
[00:20:44] 如果看到这关爱老年人行不行？
[00:20:46] 那这里面除了针对老年人的，
[00:20:48] 还有孩童，
[00:20:49] 请问大家一下能不能关爱孩童？
[00:20:52] 大家觉得可以不？
[00:20:53] 所以我这一段。
[00:20:55] 做好每一件小事，
[00:20:57] 这一件小这些小事最重要的就是我们要能够关爱老人孩童。
[00:21:03] 大家现在觉得能够过的话，
[00:21:05] 就可以直接给老老师打个过，
[00:21:08] 你会发现我就是要关爱老人和孩童好了，
[00:21:11] 那么接着往下走，
[00:21:12] 别着急。
[00:21:13] 大家来看一下，
[00:21:14] 拿到一个第三段，
[00:21:16] 我们看一下是怎么把它搞定，
[00:21:19] 第三段依然读一下断首句。
[00:21:21] 请问如果只看断手续的话，
[00:21:23] 你觉得我们这个时候。
[00:21:25] c市做的事情是什么事情？
[00:21:28] 哎呀我的妈呀，
[00:21:29] 我真的还看不出来c市到底做了什么事情，
[00:21:33] 但是我这个时候就可以顺延顺延。
[00:21:37] 请问大家一下，
[00:21:38] 在第二句话当中c市做了什么事情？
[00:21:41] 是不是搞了一个智慧托育中心啊？
[00:21:44] 这个智慧托育中心是对谁做的？
[00:21:47] 是对孩子们做的对吧？
[00:21:49] 好了，
[00:21:49] 我再来看一下断尾句，
[00:21:51] 请问断尾句讲的c是搞的是什么？
[00:21:55] 社区托育中心。
[00:21:56] 你会发现这个时候断首句，
[00:21:59] 断尾句，
[00:22:00] 还有高频词，
[00:22:01] 他们就完全一致了，
[00:22:03] 这个社区的拓会中心主要是针对。
[00:22:06] 什么对象去做的，
[00:22:08] 哪位同学可以告诉我的，
[00:22:10] 这个托学中心是不是就是针对小孩去做的？
[00:22:14] 那么这个时候如果没有其他的选项的话，
[00:22:17] 我请问这段话社会托育中心和刚才养老服务综合体，
[00:22:22] 他们都是具体的例子，
[00:22:24] 要把他们。
[00:22:25] 选择。
[00:22:26] 成一个分论点的话，
[00:22:27] 稍微要拔高一下，
[00:22:29] 我们只要概括第三点的话，
[00:22:31] 可以把它概括成什么？
[00:22:33] 哪位同学可以告诉我？
[00:22:35] 根据第上一点的启示，
[00:22:37] 我可以把它写成关爱儿童或者是关爱孩童，
[00:22:42] 大家能够同意吧。
[00:22:44] 好，
[00:22:44] 把它搞定。
[00:22:45] 别着急，
[00:22:46] 接着大家来看一下第四段，
[00:22:49] 我们直接看一下段首句民生的关注哦，
[00:22:52] 民生的关注民生不就是做好每件小事吗？
[00:22:57] 民生不就是办好每一件小事吗？
[00:23:00] 民生的关注，
[00:23:01] 关注肯定是对策，
[00:23:02] 关注肯定是动词，
[00:23:04] 关注一老一小。
[00:23:05] 请问大家一下，
[00:23:07] 关注一老一小对上面有没有一个总结的作用，
[00:23:11] 大家抓紧时间告诉我，
[00:23:14] 关注一老一小。
[00:23:15] 对上面有没有总结的作用，
[00:23:18] 所以这句话它是一个过渡句，
[00:23:20] 它有承上启下的作用。
[00:23:22] 这句话就是在说一个承上这句话，
[00:23:26] 就是在说一个起下，
[00:23:28] 现在我问大家一下。
[00:23:30] 刚才那个食堂既可以给老人吃，
[00:23:33] 又可以给小孩吃，
[00:23:34] 现在在第四个自然段，
[00:23:36] 他就跟我们说了要。
[00:23:38] 关注一老一幼，
[00:23:40] 那请问我们老人和小孩这个分论点是需要拆开吗？
[00:23:45] 还是直接遵循第四段的原词原句原则？
[00:23:50] 把它写在一起也就可以了，
[00:23:52] 各位那我就遵循它的原则，
[00:23:54] 把它写在一起就行了，
[00:23:55] 所以我们的第一个分论点，
[00:23:57] 大家只要记住。
[00:23:59] 一个词，
[00:23:59] 或者只要记住一老一幼，
[00:24:01] 我觉得也就可以了，
[00:24:03] 大家只要分论点当中含有的一老一幼，
[00:24:06] 基本上就拿下了。
[00:24:07] 这句话是解题的题眼，
[00:24:09] 更要让全龄人群获得幸福感。
[00:24:12] 全龄人群哦，
[00:24:13] 那么这个全龄人群我知道了，
[00:24:16] 接着往往下走一下。
[00:24:18] 大家来看一下，
[00:24:19] 再来看一下断尾句，
[00:24:21] 如果前面是指的老人孩童下面，
[00:24:24] 请问大家一下看一下断尾句，
[00:24:26] 你觉得它指的是全龄人群当中的？
[00:24:29] 哪一个人群？
[00:24:30] 有没有同学能够直接看出来？
[00:24:33] 你会发现是不是在说青年人才啊？
[00:24:37] 是不是就是在说青年啊？
[00:24:39] 这个肯定是没有问题的吧，
[00:24:41] 所以我们把青年给大家写出来也就行了OK，
[00:24:44] 如果前面是关注。
[00:24:46] 一老一幼下面关于这个青年，
[00:24:48] 大家随便再想一个动词的话，
[00:24:51] 你可以选什么我，
[00:24:53] 我也可以选择关爱青年。
[00:24:55] 好吧，
[00:24:56] 也可以选择聚焦青年，
[00:24:57] 只要你说的合情合理也就可以了，
[00:25:00] 好再接着带着大家往下走。
[00:25:02] 大家来看一下第五个自然段，
[00:25:05] 一起给老师看一下段首句第五个自然段，
[00:25:10] 你觉得它是干了一件什么事情？
[00:25:13] 哪位同学可以告诉我，
[00:25:15] 如果要找对策的话，
[00:25:17] 它是搞的什么事情？
[00:25:19] 是不是打造了应用平台啊？
[00:25:21] 这个应用平台前面是老人孩童，
[00:25:25] 前面是青年，
[00:25:26] 这个请问大家一下它指的是什么？
[00:25:30] 这个在上面叫低收入群体，
[00:25:32] 对吧？
[00:25:33] 那么我们再来看一下断尾句，
[00:25:36] 请问断尾句当中，
[00:25:37] 哎呦我的妈呀。
[00:25:39] 它有一个书名号，
[00:25:41] 书名号一般是总结性非常强的，
[00:25:44] 我们前面讲的是低收入群体。
[00:25:47] 在这个里边书名号里边讲的是什么群体？
[00:25:50] 哪位同学可以告诉我认真的用你们的火眼金睛把它最重要的词给我说出来。
[00:25:57] 是不是指的特殊群体，
[00:25:59] 请问大家一下，
[00:26:00] 你们觉得待会儿我们在我们的答案当中分论点当中是包含？
[00:26:06] 低收入群体好还是包含特殊群体好？
[00:26:09] 大家觉得应该包含哪一个？
[00:26:12] 如果是我的话，
[00:26:13] 我会选择特殊群体啊，
[00:26:15] 因为。
[00:26:16] 特殊群体呢，
[00:26:17] 它的包含的范围呢，
[00:26:19] 会更大一些，
[00:26:20] 前面本质上来讲是一个缩影，
[00:26:23] 是一个具体的例子，
[00:26:25] 后面它是一个。
[00:26:26] 规范型还有总结性的表述，
[00:26:29] 现在清晰了吧？
[00:26:30] 好了，
[00:26:31] 所以大家给老师一起打出来特殊群体。
[00:26:34] 大家把特殊群体一起打出来，
[00:26:37] 好，
[00:26:37] 我们大家像特殊群体，
[00:26:39] 如果前面非要加一个动词的话，
[00:26:42] 你觉得应该加哪一个动词比较合适？
[00:26:45] 只要合情合理就行，
[00:26:47] 我觉得如果是我的话，
[00:26:49] 我会加一个守护特殊群体，
[00:26:51] 大家觉得可以吧，
[00:26:53] 或者帮扶特殊群体。
[00:26:54] 啊，
[00:26:54] 或者关爱特殊群体啊，
[00:26:57] 都是可以的，
[00:26:58] 好了，
[00:26:58] 这个时候我就问大家一下，
[00:27:01] 我们一共根据材料，
[00:27:03] 你觉得。
