[00:00:00] 看回放的同学呢，
[00:07:08] 小爱同学暂停。
[00:07:12] 好了，
[00:07:13] 同学们，
[00:07:13] 有没有想我啊？
[00:07:15] 最近几天的话呢，
[00:07:16] 本来这节课应该前几天就给大家上完了的，
[00:07:19] 结果最近这几天呢，
[00:07:21] 嗓子突然失声了哈。
[00:07:22] 失声之后呢，
[00:07:23] 我就特别着急，
[00:07:24] 越着急呢，
[00:07:25] 越失声越失声呢，
[00:07:26] 越着急，
[00:07:27] 最后就形成了恶性循环了。
[00:07:29] 到今天呢，
[00:07:30] 嗓子呢，
[00:07:30] 其实还没有完全好，
[00:07:32] 但是我觉得我应该可以用非常饱满的热情的清晰的声音呢，
[00:07:36] 给大家讲课了，
[00:07:37] 我还是觉得挺开心的。
[00:07:39] 我问大家一下，
[00:07:40] 这么久没有见我，
[00:07:41] 有没有有有点想念我啊？
[00:07:43] 这么久没有见我，
[00:07:45] 有没有一点想念我都没有啊，
[00:07:47] 你看你们在电视剧里面都活不到第二集的啊，
[00:07:50] 已经拍了刷漆桶的同学就给老师打个一没有拍刷漆桶的同学就直接给打老师打个二。
[00:07:56] 我看看有多少同学能够哎呦呦，
[00:07:59] 那么多啊，
[00:07:59] 还有同学答案一点不给面子，
[00:08:01] 你这个时候即使没拍，
[00:08:03] 你也打个一啊，
[00:08:04] 是不是？
[00:08:05] 好了，
[00:08:05] 这节课呢，
[00:08:06] 要给大家进行一个。
[00:08:09] 多主题的大作文的讲座，
[00:08:11] 这个曾经在国考当中呢，
[00:08:12] 是非常难的一个题目，
[00:08:14] 那一年的话呢，
[00:08:15] 整个国考的得分呢，
[00:08:17] 是非常低的，
[00:08:18] 我首先带着大家看一下题干。
[00:08:20] 请你对给定材料五中提到的为群众办好事，
[00:08:24] 让群众感到好办事，
[00:08:26] 把群众的事办好。
[00:08:28] 进行深入系统的思考，
[00:08:30] 联系实际，
[00:08:31] 自拟题目写一篇文章，
[00:08:33] 我问大家一下，
[00:08:34] 当你拿到这个题目，
[00:08:36] 你觉得。
[00:08:36] 这个题目袁东老师会站在你身后，
[00:08:39] 一直在告诉你说什么哎，
[00:08:42] 当你拿到这个题目的时候，
[00:08:44] 脑袋空白，
[00:08:45] 我会站在你身后，
[00:08:46] 首先问你一个问题是什么？
[00:08:49] 同学们告诉我，
[00:08:50] 我一定会问你要进行审题，
[00:08:52] 看看它是单主题，
[00:08:54] 看看它是双主题，
[00:08:55] 还看看它是多主题，
[00:08:57] 同学们。
[00:08:57] 告诉我这个题目，
[00:08:59] 你们觉得应该是单主题多主题还是双主题，
[00:09:04] 而你会发现他应该是办好事。
[00:09:06] 好办事事办好，
[00:09:08] 它肯定是一个多主题吧，
[00:09:11] 多主题标题我可以。
[00:09:14] 写成对策，
[00:09:15] 我也可以写成对策，
[00:09:17] 加上一个影响。
[00:09:19] 如果写成对策的话，
[00:09:21] 同学们应该写什么？
[00:09:23] 那其实我只要把这三个词搞定也就行了。
[00:09:27] 第一个词叫办好事。
[00:09:29] 第二个词叫好办事，
[00:09:32] 第三个词叫事办好，
[00:09:35] 现在大家能够理解吧。
[00:09:38] 你看你上来就直接把这个拿捏的稳稳的了，
[00:09:42] 一点都不用担心另外一个，
[00:09:44] 我现在跟大家下。
[00:09:46] 这种多主题的，
[00:09:47] 你觉得考试的时候跑题的同学多还是不多？
[00:09:52] 各位就明显这种多主题的，
[00:09:55] 很多人没有听过我的课，
[00:09:57] 依然能够有一半的人跑题。
[00:10:00] 但是还有一半的人不跑题，
[00:10:03] 他有没有能够拿到一个很高的分数？
[00:10:06] 他说老师啊，
[00:10:07] 那多主题的分论点。
[00:10:09] 我问大家一下，
[00:10:10] 是来源于题干。
[00:10:12] 还是来源于材料，
[00:10:14] 你们抓紧时间告诉我一下，
[00:10:17] 来源于题干还是来源于材料？
[00:10:20] 多出题的分类点是不是要来源于题干啊？
[00:10:23] 那有的同学说老师啊，
[00:10:25] 我在考试的时候我明明写了办好事。
[00:10:28] 我明明写了好办事。
[00:10:33] 我明明写了是办好，
[00:10:35] 但是我的分数为什么不高呢？
[00:10:38] 有没有同学能够告诉我？
[00:10:41] 办好事好办事事办好，
[00:10:43] 我明明写了，
[00:10:44] 我明明这个方面点的准确做到位了，
[00:10:48] 但是我的分数好像没有想象的那么高。
[00:10:51] 是不是用你的模板用的呢？
[00:10:54] 各位，
[00:10:54] 这里边你要想得高分，
[00:10:56] 在分论点写作的时候有两点非常重要，
[00:11:00] 第一点。
[00:11:00] 也就是内容上要把办好事好办事事办好干什么？
[00:11:06] 哪位同学告诉我，
[00:11:07] 就是做一个相应的解释。
[00:11:10] 第二个，
[00:11:11] 除了内容上，
[00:11:13] 也就是逻辑上。
[00:11:16] 我问大家一下，
[00:11:18] 你们觉得这三句话它本身有没有逻辑？
[00:11:22] 先按照常识去判断一下。
[00:11:25] 这种多主题的，
[00:11:26] 一般来讲，
[00:11:27] 它的三个分类点之间会呈现两种逻辑关系，
[00:11:31] 大家觉得是哪两种逻辑关系的概率比较大？
[00:11:35] 记住了，
[00:11:36] 一种是叫并列的关系，
[00:11:39] 一种是叫递进的关系，
[00:11:41] 现在清晰了吗？
[00:11:43] 一种是并列，
[00:11:44] 一种是递进。
[00:11:46] 办好事好办事事，
[00:11:48] 办好一起把它搞定，
[00:11:50] 那么解释，
[00:11:51] 请问大家一下。
[00:11:52] 这个分论点的解释到，
[00:11:54] 材料当中主要找哪一个要素？
[00:11:57] 有没有同学能够告诉松哥？
[00:12:00] 分论点我最重要的要去找对策也就可以了。
[00:12:05] 好了，
[00:12:05] 那么请问一下，
[00:12:07] 你们觉得这个为群众办好事，
[00:12:10] 让群众感到办好事，
[00:12:13] 最后把群众的事办好？
[00:12:15] 它大概率是并列关系还是递进关系？
[00:12:19] 哪位同学可以告诉我，
[00:12:21] 哎我我先从心里面想着要为你办好事，
[00:12:24] 然后呢？
[00:12:25] 接着呢？
[00:12:25] 我在我心里面想的，
[00:12:27] 我把它做到了。
[00:12:29] 让你感到好办事了，
[00:12:30] 最后的话呢，
[00:12:31] 不只是你感到我还要实实在在的把事办好，
[00:12:35] 是不是一个递进的关系啊？
[00:12:37] 好了，
[00:12:37] 那我问大家一下，
[00:12:39] 在考试的时候办好事好办事事办好，
[00:12:43] 你们觉得在材料当中大概率。
[00:12:46] 有没有相应的这种词可以去体现它？
[00:12:51] 是不是大概率在材料当中会有相应的词去体现它？
[00:12:55] 好了，
[00:12:55] 那我们带着大家一起往下走，
[00:12:58] 别着急。
[00:12:59] 首先来看一下。
[00:13:00] 其他的材料一二三四，
[00:13:03] 请问还要不要看？
[00:13:05] 这是专门针对企业的，
[00:13:07] 这是专门针对工会的，
[00:13:09] 有可能还用到。
[00:13:11] 这是专门针对夜市的，
[00:13:13] 这是专门针对啊，
[00:13:15] 企业的这个。
[00:13:16] 夜市用不到，
[00:13:17] 企业用不到，
[00:13:18] 企业用不到，
[00:13:18] 最多材料二用到，
[00:13:20] 但是我们别着急，
[00:13:21] 还是到材料当中的出处，
[00:13:23] 如果材料出处能够找到的话，
[00:13:25] 我们就不再瞎找了。
[00:13:27] 首先大家来看一下，
[00:13:29] 就是c市医疗保障局开设全天候哎办理窗口，
[00:13:34] 大家觉得。
[00:13:36] 就是虽然我们现在还没有看材料，
[00:13:39] 你觉得就是。
[00:13:40] 这材料大概率是按照办好事。
[00:13:44] 还有一个好办事，
[00:13:46] 还有一个事办好的逻辑出的概率大不大？
[00:13:51] 当然，
[00:13:52] 它不完全以确定，
[00:13:53] 我就问大家一下，
[00:13:54] 你觉得整个材料大概率是不是先要说办好事，
[00:13:58] 再要说好办事，
[00:13:59] 再要说事办好，
[00:14:00] 你就大概率先按照这种猜。
[00:14:02] 不对，
[00:14:03] 到时候我们再调整好吧，
[00:14:05] 那我们来看一下开设全天候办理窗口哦，
[00:14:08] 那我觉得大概率是为老百姓的话呢啊，
[00:14:12] 就是让为老百姓办一些好事。
[00:14:14] 好了，
[00:14:15] 再来看一下，
[00:14:16] 这个是一个市民说的话，
[00:14:18] 先不用管，
[00:14:19] 没有看到好了再来看一下断手续。
[00:14:22] 提升辩论度获得感。
[00:14:26] 切实解决群众的痛点难点问题。
[00:14:30] 他们进行了一个轮岗，
[00:14:32] 你觉得这个算不算是办好事？
[00:14:35] 我这个还看的也不是非常懂。
[00:14:38] 啊，
[00:14:38] 我觉得既可以说成办好事，
[00:14:40] 又可以说成好办事，
[00:14:42] 又可以说成事办好都可以，
[00:14:44] 那这时候别着急来看最后一句话。
[00:14:47] 他派了一个小周，
[00:14:48] 一般小周这种人说的话叫什么话？
[00:14:51] 哪位同学可以告诉我，
[00:14:53] 你会发现这上面是在说窗口，
[00:14:55] 这上面是在说窗口。
[00:14:57] 所以它俩一定要进行一个合并，
[00:15:00] 就代表它俩说的是同一件事情，
[00:15:03] 小周说的话是不是叫观点句？
[00:15:06] 小周说的话是不是叫总结句大家能够听懂吧？
[00:15:11] 观点句和总结句。
[00:15:13] 前面大家看从这儿到这儿都是在举具体的例子，
[00:15:18] 到这儿派了一个人做了一个观点句总结句。
[00:15:22] 好了，
[00:15:22] 请问大家一下，
[00:15:24] 这是第一句话。
[00:15:25] 这是第二句话，
[00:15:27] 这是第三句话，
[00:15:28] 这三句话当中，
[00:15:30] 你觉得哪一句话是小猪最想说的？
[00:15:33] 哪位同学能够告诉我？
[00:15:35] 这三句话当中，
[00:15:36] 有一个就像你们做言语理解与表达一样非常重要的词，
[00:15:41] 叫淡淡。
[00:15:42] 为群众办好事，
[00:15:44] 我的妈呀，
[00:15:45] 这个为群众办好事就已经和题干就和这句话重复了，
[00:15:50] 发现了吗？
[00:15:51] 所以这个时候我先不讲怎么解释，
[00:15:55] 你们觉得就是第一段，
[00:15:57] 第二段他是在说办好事好办事事办好。
[00:16:01] 如果你不看最后一句话，
[00:16:03] 他都能说，
[00:16:04] 但是因为有了最后一句话叫办好事，
[00:16:08] 叫办好事，
[00:16:09] 所以。
[00:16:10] 第一段和第二段就是在说办好事，
[00:16:13] 这件事情好了，
[00:16:14] 办好事后面有一个应尽的责任。
[00:16:17] 我问大家一下，
[00:16:18] 什么叫应尽的责任？
[00:16:20] 应尽的责任可不可以去解释，
[00:16:23] 办好事，
[00:16:24] 这叫就近原则。
[00:16:26] 大家觉得可以不？
[00:16:28] 这叫就近原则，
[00:16:29] 你们觉得可以吗？
[00:16:31] 就是你为群众办好事，
[00:16:34] 首先它是你的责任。
[00:16:36] 各位责任的话，
[00:16:37] 我们大家下应该怎么写？
[00:16:40] 责任的话，
[00:16:41] 应该怎么写责任？
[00:16:43] 我们就写一个担当。
[00:16:46] 责任都是可以的啊，
[00:16:48] 你就可以写一个责任，
[00:16:51] 那就我们把它变成四个字，
[00:16:53] 就担当责任那么。
[00:16:55] 前面我们知道我们要找这个办好事，
[00:16:59] 最重要的是找对策。
[00:17:00] 前面还有哪个词能够看对策比较宏观的，
[00:17:04] 我觉得这一句话当中有一个词比较厉害，
[00:17:08] 大家看。
[00:17:09] 就是解决。
[00:17:11] 解决什么痛点难点，
[00:17:13] 大家觉得可以不？
[00:17:15] 所以我给大家一起写叫。
[00:17:18] 锚定。
[00:17:21] 痛点。
[00:17:24] 还有一个难点。
[00:17:27] 大家觉得可以吗？
[00:17:29] 哎，
[00:17:29] 然后还有最后一句话，
[00:17:31] 应尽的责任，
[00:17:32] 我就担当责任，
[00:17:34] 我就写一个叫。
[00:17:35] 主动担当责任。
[00:17:37] 主动担当责任，
[00:17:38] 大家觉得可以不主动担当责任，
[00:17:41] 你们觉得可以吗？
[00:17:42] 我觉得是可以的，
[00:17:44] 只要大家说的合情合理就行，
[00:17:46] 你这个不一定给我写的一样。
[00:17:48] 那我如果不写这个应尽的责任，
[00:17:52] 我就写一个尽责，
[00:17:54] 我就写主动。
[00:17:55] 担当尽责，
[00:17:56] 你们觉得我这句话可以不完全没有问题吧？
[00:18:01] 那么我问大家一下。
[00:18:03] 在考试的时候，
[00:18:04] 我觉得就是关于办好事的对策。
[00:18:09] 我断首句选了一个锚定痛点难点，
[00:18:13] 断尾句选了一个主动担当尽责。
[00:18:17] 你们觉得如果只选一个，
[00:18:19] 我会选择哪一个？
[00:18:20] 哪位同学可以告诉我，
[00:18:22] 如果只选一个词作为对于办好事的解释，
[00:18:26] 我是不是选择这个尽责也就行了？
[00:18:29] 是吧，
[00:18:29] 但是的话呢，
[00:18:30] 大家在考试的时候，
[00:18:32] 你有没有觉得这种故事性材料有的时候自己不一定能够把握的准确？
[00:18:39] 大家有没有这种感觉，
[00:18:41] 就是我真的觉得我哎呀，
[00:18:43] 不一定把握的非常准确，
[00:18:45] 尤其是这种故事性的材料，
[00:18:47] 它答案有存在多元的可能性。
[00:18:49] 所以这个时候请问大家一下，
[00:18:52] 我们在考试的时候是觉得非常自信，
[00:18:55] 只写其中的一个词为好，
[00:18:57] 还是我们把拿不准的词也给它塞进去算了？
[00:19:01] 你们认真的琢磨一下，
[00:19:03] 是不是这个时候比较靠谱的策略是我尽量都写进去啊，
[00:19:09] 因为多写了不扣分，
[00:19:11] 少写了才扣分的。
[00:19:12] 这样的话，
[00:19:13] 我命中的概率，
[00:19:14] 蒙中的概率就大了，
[00:19:16] 就像选择题，
[00:19:16] 如果能够允许我们把abcd全场进去，
[00:19:19] 那我们就肯定就赢了。
[00:19:21] 那么，
[00:19:21] 另外一个我就问大家一下，
[00:19:24] 这个时候办好事，
[00:19:25] 那么它是一个责任责任。
[00:19:28] 各位同学，
[00:19:28] 认真的想一下责任，
[00:19:30] 它是涉及到一个人哪个层面上的问题，
[00:19:34] 是不是思想层面上的问题啊？
[00:19:38] 那么，
[00:19:38] 如果就是办好事，
[00:19:40] 好办事，
[00:19:41] 事办好，
[00:19:41] 这是一个内容上我们觉得有这个关键词也就行了，
[00:19:46] 但是我还想从逻辑上来讲的话。
[00:19:49] 大家觉得办好事，
[00:19:51] 它在逻辑上属于第一个层次，
[00:19:54] 第二个层次还是第三个层次。
[00:19:57] 同学们告诉我，
[00:19:59] 逻辑上我们最好在。
[00:20:01] 答题的时候能够把他们的逻辑关系也体现了，
[00:20:05] 我觉得是第一个层次，
[00:20:06] 第一个层次，
[00:20:07] 我们写一个词，
[00:20:09] 大家一起写，
[00:20:10] 叫起点行不行？
[00:20:11] 第一个层次，
[00:20:12] 我们写一个词。
[00:20:13] 叫原点行不行？
[00:20:14] 好了，
[00:20:15] 我们这个这两个词呢，
[00:20:16] 能够体现出我们的逻辑，
[00:20:19] 这两这个担当尽责呢，
[00:20:20] 是我们的解释，
[00:20:22] 它是一个就近原则。
[00:20:23] 这个痛点难点呢，
[00:20:25] 我们拿不准，
[00:20:26] 我们呢，
[00:20:27] 反正也把它写进去，
[00:20:29] 现在清晰了吗？
[00:20:30] 各位现在清晰了吗？
[00:20:32] 所以同学们，
[00:20:33] 我要想解释它的话，
[00:20:35] 我应该怎么解释？
[00:20:37] 分论点应该怎么写？
[00:20:39] 分论点最全面的写作应该怎么写？
[00:20:42] 哪位同学可以告诉我是不是就是总是不是就是？
[00:20:47] 对策，
[00:20:47] 再加上一个影响啊，
[00:20:49] 大家同意吧，
[00:20:51] 好了，
[00:20:51] 这个对策是在说什么？
[00:20:54] 这个对策就是在说为群众办好事。
[00:20:57] 大家一起把它写下来，
[00:21:00] 为群众。
[00:21:01] 办好事OK，
[00:21:02] 一起把它搞定。
[00:21:05] 好了，
[00:21:06] 然后这个对策，
[00:21:08] 我想把它的一个就是逻辑体现出来。
[00:21:14] 这个逻辑我们刚才想了一个词，
[00:21:17] 叫什么词？
[00:21:18] 是不是叫起点啊？
[00:21:20] 我我教你一下如何去拿到议论文，
[00:21:23] 我就直接写。
[00:21:25] 这个为群众办好事，
[00:21:26] 它是属于哪一个大类？
[00:21:28] 很多同学发现这是执法卷，
[00:21:31] 竟然写成了一个执法。
[00:21:33] 他不知道他没有参加过考试啊，
[00:21:35] 他就说执法类的，
[00:21:36] 那就是涉及到执法这个题目，
[00:21:39] 它不是执法这个题目是什么？
[00:21:41] 这个题目是民生服务的范畴，
[00:21:44] 就是国考的行政执法卷，
[00:21:46] 只考察三个话题，
[00:21:48] 一个是叫民生服务。
[00:21:49] 还有一个是叫行政执法，
[00:21:51] 还有一个是什么？
[00:21:53] 我曾经给大家说过，
[00:21:54] 我看有没有同学能够记得，
[00:21:56] 还有最后一个，
[00:21:57] 大家记住了。
[00:21:58] 叫基层或者是社会治理就考察这三个，
[00:22:02] 你去翻一下它命题的时候，
[00:22:04] 你包括二七年国考，
[00:22:06] 它也会是这三个话题之一。
[00:22:08] 所以大家把这个素材准备好就行了，
[00:22:11] 所以大家一起写，
[00:22:13] 我要体现它的逻辑是。
[00:22:15] 政务服务。
[00:22:19] 的初心。
[00:22:23] 还有一个起点。
[00:22:25] 或者是政务服务的起点都是可以的，
[00:22:29] 接着我们要写对策去解释一下这个词，
[00:22:33] 对策当中要包含哪两个词，
[00:22:35] 同学们？
[00:22:36] 认真给我说一下，
[00:22:37] 对策当中其实这个题目的答案不唯一，
[00:22:40] 但是我们尽量的还是把原词原句用上去对策，
[00:22:44] 我要包含尽责。
[00:22:45] 对策，
[00:22:46] 我要包含解决痛点和难点。
[00:22:48] 好了，
[00:22:48] 你们来看一下东哥是怎么把它搞定的？
[00:22:52] 好吧，
[00:22:52] 那么对策要包含这两个词，
[00:22:55] 那我怎么写？
[00:22:56] 哪位同学可以告诉我，
[00:22:59] 大家一起写叫唯有。
[00:23:02] 锚定。
[00:23:05] 唯有锚定好了，
[00:23:07] 大家一起写这个，
[00:23:08] 里面痛点难点，
[00:23:10] 我尽量的还是用原词原句。
[00:23:13] 痛点难点。
[00:23:17] 好了，
[00:23:17] 后面有一个尽责，
[00:23:19] 那我尽量的把尽责也写进去，
[00:23:22] 但是缺两个字，
[00:23:24] 我为了把这两个字就是能够加上去。
[00:23:27] 请问大家一下，
[00:23:29] 可以怎么加你？
[00:23:30] 前面是锚定痛点难点，
[00:23:32] 前面我加两个字叫主动。
[00:23:35] 担当尽责，
[00:23:36] 当然你写履职尽责都是可以的，
[00:23:38] 我这是只是为了能够做到对账公正，
[00:23:42] 我需要看到的是尽责，
[00:23:43] 我需要看到的是就是痛点难点。
[00:23:46] 当然，
[00:23:46] 如果你有其他答案，
[00:23:48] 只要能和这个意思差不多，
[00:23:50] 也就也是可以的，
[00:23:51] 不一定和我一样，
[00:23:52] 这个题目答案是不是唯一的，
[00:23:54] 但是我在写的时候，
[00:23:56] 因为我的水平不够。
[00:23:57] 我就尽量的还是用材料当中的原词，
[00:24:00] 原句痛点难点尽责，
[00:24:01] 我只要把它写上去也就行了好了，
[00:24:04] 这是一个对策。
[00:24:05] 接着写一个影响，
[00:24:07] 请问大家下有什么影响？
[00:24:09] 这个影响我们就直接把对谁有影响，
[00:24:12] 是不是对于群众有影响，
[00:24:14] 或者对于干部有影响，
[00:24:16] 对于干部有什么影响？
[00:24:18] 才能筑牢为民服务的立场根基。
[00:24:21] 才能。
[00:24:23] 助老。
[00:24:26] 为民。
[00:24:29] 服务。
[00:24:31] 的立场。
[00:24:35] 根基，
[00:24:36] 大家觉得可以不？
[00:24:38] 哎，
[00:24:38] 你看这样的话，
[00:24:40] 咱们就全部把它搞定了，
[00:24:42] 好吧，
[00:24:42] 就是这是一个总论点，
[00:24:44] 这是一个。
[00:24:45] 就是我今天给大家最后一节课加了一点东西，
[00:24:49] 就这个地方在多主题，
[00:24:51] 如果你想拿到一论文第一个逻辑上。
[00:24:55] 可能有一句话，
[00:24:56] 能够把它体现出来，
[00:24:58] 第二个内容上。
[00:25:00] 要有原词，
[00:25:00] 原句既包含对策，
[00:25:02] 又包含影响，
[00:25:03] 大家能够看懂的话，
[00:25:04] 就给老师打个过好吧，
[00:25:06] 能够看懂的话，
[00:25:07] 就给老师打个过，
[00:25:09] 也就可以把它搞定了。
[00:25:10] 好了，
[00:25:11] 我们再带着大家看一下第二个分论点好了，
[00:25:15] 第二个分论点，
[00:25:16] 大家看在这个地方有一个让群众感到。
[00:25:20] 好办事，
[00:25:21] 各位看到让群众感到好办事，
[00:25:24] 我们要把它进行一个解释。
[00:25:27] 这个解释是要找哪个要素，
[00:25:30] 你们抓紧时间告诉东哥解释我们是不是要找？
[00:25:36] 具体的对策。
[00:25:37] 好了，
[00:25:38] 具体的对策别着急，
[00:25:40] 大家首先来看一下第三个资产段，
[00:25:43] 它主要说的是流程复杂。
[00:25:46] 他最后主要搞了一个啊，
[00:25:48] 便民服务中心搞了一个一站式办理流程，
[00:25:52] 这个时候有没有出现高频词？
[00:25:55] 哪位同学可以告诉我有没有同学看到高频词，
[00:25:59] 高频词就是他解决了一个流程的问题，
[00:26:03] 同意吧，
[00:26:04] 这个对策。
[00:26:05] 再来看一下这个段首句，
[00:26:07] 大家看这个段首句，
[00:26:09] 你们觉得最重要的，
[00:26:11] 它是搞了一个什么东西？
[00:26:13] 你们抓紧时间看一下，
[00:26:15] 就是将我们的办税服务延伸了，
[00:26:19] 那么而这个延伸，
[00:26:21] 而且还有一个深化融合了。
[00:26:23] 还有一个共建了服务点，
[00:26:26] 这个东西它本身也属于流程的一块，
[00:26:29] 当然你也可以说是服务的一块，
[00:26:32] 这些都是可以的。
[00:26:34] 这个呢，
[00:26:34] 大家只要能够找到能够自圆其说就可以了，
[00:26:38] 你不一定答疑啊，
[00:26:39] 你选择流程也行，
[00:26:40] 服务也行，
[00:26:41] 都没有问题好了。
[00:26:42] 再来看一下这个断尾句。
[00:26:44] 后面中间的这句话，
[00:26:46] 你觉得它是怎么样让群众感到好办事的？
[00:26:51] 能不能给老师想一个比较规范的词？
[00:26:55] 大家看啊，
[00:26:56] 这个时候它集这些功能于一体，
[00:26:59] 这个时候有远程的虚拟的窗口，
[00:27:02] 叫远程虚拟。
[00:27:04] 还有等技术等就代表要有一个总结技术，
[00:27:08] 如果前面是把流程给我们搞好的话。
[00:27:13] 如果前面是把所谓的服务给我们搞好的话，
[00:27:16] 那这个地方我觉得它是在说一个技术。
[00:27:19] 大家觉得可以吗？
[00:27:21] 就是他干的对策就是流程服务和技术，
[00:27:24] 大家觉得可以吗？
[00:27:25] 行不行？
[00:27:26] 那么我觉得是可以的，
[00:27:27] 好了，
[00:27:28] 那这个时候我要带着大家把总论点和分论点给大家一起写一下，
[00:27:33] 请问总论点？
[00:27:34] 我们的是不是要写成对策加影响的形式啊？
[00:27:39] 那么，
[00:27:40] 这个对策在这个里边就是指的让群众感到好，
[00:27:45] 办事一起写下来让群众。
[00:27:48] 感到。
[00:27:52] 好办事，
[00:27:53] 一起把它写下来。
[00:27:55] 好了，
[00:27:55] 写完了之后，
[00:27:57] 我想把它拔高一下，
[00:27:59] 体现它的逻辑。
[00:28:01] 一共是叫办好事，
[00:28:03] 好办事事办好。
[00:28:06] 那么我们这个时候流程服务技术算是起点还是算是终点，
[00:28:13] 还是中间的？
[00:28:15] 大家告诉我。
[00:28:18] 是不是就是中间的，
[00:28:20] 中间的应该怎么写呢？
[00:28:23] 大家一起写。
[00:28:24] 是政务服务。
[00:28:28] 政务服务。
[00:28:32] 的实施。
[00:28:38] 路径大家觉得可以吧，
[00:28:40] 如果不想用路径的话，
[00:28:42] 能不能中间用一个词给老师换一下表述？
[00:28:46] 你刚才那是起点，
[00:28:48] 那这个就是一个过程，
[00:28:50] 大家觉得可以吧？
[00:28:51] 过程是没有问题的好了，
[00:28:53] 然后呢？
[00:28:54] 我们这是一个逻辑上。
[00:28:56] 把它指明了逻辑，
[00:28:57] 指明了之后就是要从内容上把对策和影响写下来，
[00:29:02] 这个对策应该是什么对策关键词当中我看到流程，
[00:29:06] 我看到服务，
[00:29:07] 我看到技术也就可以了。
[00:29:09] 所以大家一起想，
[00:29:11] 唯有。
[00:29:13] 优化。
