[00:00:00] 还是给大家试试这个手写笔好吧？
[00:14:27] 我就加几句废话。
[00:14:29] 发展。
[00:14:31] 高质量。
[00:14:34] OK，
[00:14:35] 还有什么可持续？
[00:14:39] 可持续。
[00:14:41] 的社会保障事业。
[00:14:46] 社会。
[00:14:47] 保障。
[00:14:50] 事业一起把它搞定，
[00:14:52] 社会保障事业。
[00:14:54] 下面它会有什么影响呢？
[00:14:56] 可以让老百姓享受到民生福祉，
[00:14:59] 那我们就直接把它用这个民生福祉稍微的调一下顺序。
[00:15:04] 让民生福祉。
[00:15:05] 民他原来在断尾句，
[00:15:08] 我把它提到前面，
[00:15:10] 让民生福祉。
[00:15:11] 普惠。
[00:15:13] 还有什么哪位同学可以跟老师写出来共享？
[00:15:18] 好吧，
[00:15:18] 那么接着对谁？
[00:15:20] 一会说在共创美好未来，
[00:15:23] 大家把它写下来共创。
[00:15:26] 美好未来，
[00:15:27] 如果不想用共创美好未来，
[00:15:29] 可以用什么词？
[00:15:30] 可以用什么词书写新时代发展？
[00:15:33] 新篇也是可以的，
[00:15:34] 或者写守住那么亿万国民的幸福感，
[00:15:38] 获得感和安全感也是可以的。
[00:15:40] 大家看，
[00:15:41] 我问大家下，
[00:15:42] 如果在考试的时候，
[00:15:43] 我们能够写出这样一个结尾，
[00:15:46] 可不可以算到我们大致做到了首尾呼应？
[00:15:49] 可以的话，
[00:15:50] 给老师打个一不可以的话，
[00:15:52] 给老师打个二，
[00:15:53] 大家来看一下，
[00:15:54] 就是你看这个是一个开头。
[00:15:57] 然后呢？
[00:15:57] 这个是一个结尾，
[00:15:59] 我能够做到一个首尾的呼应，
[00:16:01] 这个地方是在说名言警句，
[00:16:04] 这个地方是在说名言警句。
[00:16:06] 然后呢？
[00:16:07] 这个地方是在说具体的一个社会保障的重要性，
[00:16:12] 这个地方也是在说社会保障的重要性。
[00:16:15] 这个地方是在说社会保障的影响，
[00:16:19] 这个地方也是在说社会保障的影响，
[00:16:22] 那么这个地方是在说。
[00:16:24] 总论点的对策，
[00:16:25] 这个地方也是在说总论点的对策，
[00:16:28] 这个地方是在说总论点的影响，
[00:16:31] 这个地方是在说总论点的影响。
[00:16:33] 大家觉得可以过的话，
[00:16:35] 就给老师打个过，
[00:16:36] 各位觉得可以过的话，
[00:16:38] 给老师打个过，
[00:16:39] 你这样写作就能够做到完全的个性化了。
[00:16:42] 好了，
[00:16:43] 下面给大家提出一个问题，
[00:16:45] 我现在问大家一下，
[00:16:47] 如果在考试的时候，
[00:16:49] 我一下子想写错了。
[00:16:51] 我把这段话放在了开头的位置，
[00:16:53] 我把这段话放在了结尾的位置，
[00:16:56] 请问大家一下，
[00:16:57] 你觉得可以还是不可以？
[00:16:59] 就是我在考试的时候，
[00:17:00] 哎呦，
[00:17:01] 我一下子呃脑袋的话呢，
[00:17:03] 一下子撞门上了。
[00:17:04] 然后我把写在结尾的写在开头的把写在结尾的啊呃，
[00:17:08] 写在开头的把写在开头的写在了结尾的，
[00:17:12] 你会发现依然成立。
[00:17:13] 记住了哈，
[00:17:14] 这个同学们一起打在评论区叫首尾。
[00:17:19] 呼应。
[00:17:20] 叫首尾呼应，
[00:17:21] 那么其中的话呢？
[00:17:23] 我给大家这里面做的都是个性化的写作，
[00:17:27] 这个个性化的写作教给大家了，
[00:17:30] 影响。
[00:17:31] 你们拿到影响不会写的时候，
[00:17:33] 请问大家一下，
[00:17:34] 如果用个性化的写作，
[00:17:36] 应该从哪两个角度去思考问题？
[00:17:39] 哪位同学可以告诉我，
[00:17:41] 记住了，
[00:17:41] 第一个大家一起写就是这个词，
[00:17:44] 对谁有影响？
[00:17:45] 主体分析。
[00:17:46] 第二个就是想到关键词，
[00:17:48] 比如说什么叫关键词，
[00:17:50] 我给大家举一个例子，
[00:17:52] 你们就能够记清楚了。
[00:17:54] 比如说啊，
[00:17:54] 你任何一件事情的影响，
[00:17:57] 主体分析，
[00:17:57] 主体分析可以从哪几个主体去思考，
[00:18:01] 第一个从微观的角度。
[00:18:02] 也就是指的个人第二个从中观的角度，
[00:18:07] 也就是指的企业或者是组织第三个从宏观的角度。
[00:18:12] 也就是指的国家。
[00:18:14] 社会还有一个政府，
[00:18:16] 大家现在能够听懂了吗？
[00:18:19] 接着就是关键词，
[00:18:21] 什么叫关键词？
[00:18:22] 关键词很简单，
[00:18:23] 就是我给你们举个例子，
[00:18:25] 我曾经在内蒙古代课的时候，
[00:18:26] 在面试课，
[00:18:27] 我们一个同学，
[00:18:28] 我说你是一个什么人呀，
[00:18:30] 他上来就跟我说，
[00:18:31] 我是一个好人，
[00:18:32] 我说你被录取之后会怎么办，
[00:18:33] 他说老师我会好好办。
[00:18:35] 你看他就阐述不开，
[00:18:36] 但是你用关键词，
[00:18:38] 大家把它把话大为小，
[00:18:39] 给老师打在评论区，
[00:18:41] 什么叫话大话小就是你想你把这个好人能够想到几个关键词呢？
[00:18:46] 比如说你是一个负责的人，
[00:18:48] 比如说你是一个乐观的人，
[00:18:51] 那么比如说你是一个有创新精神的人。
[00:18:55] 只要你扯的合情合理也就可以了好吗？
[00:18:58] 那你看你只要学会了主体分析任何一件事情，
[00:19:01] 他可能对政府体现了政府的光辉形象，
[00:19:05] 那么对于组织有利于我们。
[00:19:07] 体现了我们祖师对老年人的关怀，
[00:19:09] 那么第三个也有于老年人的安享晚年生活，
[00:19:12] 只要它是和老人相关的，
[00:19:14] 你都可以这样做。
[00:19:15] 那么接着就说这个关键词，
[00:19:17] 我们同样做一件事情，
[00:19:19] 对老年人有什么好处呢？
[00:19:21] 你可以啊，
[00:19:22] 能够保证老年人的，
[00:19:23] 你想几个关键词？
[00:19:24] 身心健康是吧？
[00:19:26] 那么保保障老年人的身心健康，
[00:19:29] 你再想几个关键词，
[00:19:30] 体现了政府对于老年人的关心关爱。
[00:19:34] 像这样的词，
[00:19:34] 你写到明年你都写不完，
[00:19:36] 现在大家清晰的话，
[00:19:38] 给老师打个过，
[00:19:39] 就是很多同学影响不会个性化，
[00:19:41] 其实影响的话呢，
[00:19:43] 你就可以完全把它做成个性化。
[00:19:45] 是没有问题的，
[00:19:46] 主要有两招，
[00:19:47] 第一招叫主体分析，
[00:19:48] 第二招叫关键词，
[00:19:49] 这个关键词也可以来源于题干或者是材料哦，
[00:19:53] 也可以来源于你的开头。
[00:19:54] 但是我问大家一下，
[00:19:56] 如果在考试的时候，
[00:19:57] 我真的就不会写这个影响的关键词，
[00:20:00] 应该怎么办？
[00:20:01] 我问大家一下。
[00:20:02] 请问这个领域它是在说的五位一体当中的，
[00:20:06] 我让你们背的哪一个领域政治，
[00:20:09] 经济，
[00:20:10] 文化，
[00:20:10] 社会，
[00:20:10] 生态哪一个？
[00:20:12] 是不是给大家准备的是一个社会领域啊？
[00:20:15] 社会领域的话要谈影响的话，
[00:20:18] 我们知密社会保障网就这几句话，
[00:20:20] 能不能替换？
[00:20:21] 能不能替换？
[00:20:23] 或者我们开头这几句话能不能替换？
[00:20:26] 你会发现完全是没有问题的。
[00:20:28] 致密社会保障网。
[00:20:30] 我们给大家准备的。
[00:20:32] 你背了吗？
[00:20:33] 致密社会保障网事关人民群众的根本利益，
[00:20:36] 事关政府能力和政政府治理能力和治理水平的提升，
[00:20:40] 事关社会主义现代化建设事业的成败。
[00:20:43] 假如说你开头用了这个，
[00:20:45] 请问大家一下还结尾用哪个知民社会保障网是践行以民为本理念的必然要求，
[00:20:52] 是维护社区和社会和谐稳定的建设支撑，
[00:20:55] 是航行。
[00:20:56] 国家治理根基的战略部署，
[00:20:58] 请问大家下可以不？
[00:21:00] 可以不可以的话，
[00:21:02] 给老师打个一没有背的同学，
[00:21:04] 给老师打个帮帮各位，
[00:21:06] 我再给大家说一下，
[00:21:07] 如果你的记忆力比较差，
[00:21:09] 你就背三组就可以了。
[00:21:11] 我给你准备这么多，
[00:21:13] 只是我们在反模板好吧，
[00:21:15] 我们直接给大家反模板，
[00:21:17] 如果你记忆力好，
[00:21:18] 你背个五组，
[00:21:19] 那我觉得也足够用了啊，
[00:21:21] 但是如果你还没有背的话。
[00:21:23] 现在在评论区打出来旺旺，
[00:21:26] 别说老师侮辱你的人格哈，
[00:21:28] 你的人格如果你到现在你不背的话，
[00:21:31] 你天天总是讲着下一天下一天，
[00:21:33] 那你就活该打个旺旺。
[00:21:35] 你就别怪老师侮辱你的人格是吧？
[00:21:38] 羞辱你各位就是好好的把它背一下，
[00:21:42] 求求大家了，
[00:21:43] 行不行？
[00:21:43] 哎，
[00:21:44] 你看我多少同学直接就忘忘了，
[00:21:46] 我的妈呀，
[00:21:47] 我也是崩溃了哈，
[00:21:48] 好了，
[00:21:49] 那我问大家一下，
[00:21:50] 如果在考试的时候，
[00:21:51] 我们想把结尾就是不做到完全的对账公正，
[00:21:55] 我们想在结尾当中。
[00:21:56] 就是插入一个万能的句子，
[00:21:59] 大家觉得可以不？
[00:22:01] 比如说百年初心历久弥坚，
[00:22:03] 百年征程波澜壮阔，
[00:22:05] 时代大潮中。
[00:22:06] 社会保障的宏伟蓝图已经啊磅礴展开。
[00:22:10] 知名社会保障网的宏伟蓝图已经磅礴展开，
[00:22:14] 加一个背景句进去行吗？
[00:22:16] 你会发现也是可以的好吧。
[00:22:18] 好，
[00:22:19] 再问大家下，
[00:22:20] 不加万能的背景句，
[00:22:21] 加个性化的背景句，
[00:22:23] 我们在结尾或者开头直接加一个这种结尾的背景句，
[00:22:27] 大家觉得可以不？
[00:22:29] 你看别人一看你就认真学习过20大的报告，
[00:22:32] 你还知道非常重要的话，
[00:22:34] 你这个时候不得高分，
[00:22:36] 谁得高分？
[00:22:37] 不用完全追追追求呢，
[00:22:39] 对账公正，
[00:22:39] 只要大家有这个意思也就可以了，
[00:22:42] 好吧，
[00:22:43] 好再来给大家一起往下看。
[00:22:45] 大家来看一下这个题目，
[00:22:47] 我请问大家一下，
[00:22:48] 如果它是一个开头的话，
[00:22:50] 它可以分成几句，
[00:22:52] 首先来看一下这句话。
[00:22:54] 还有一个这句话，
[00:22:55] 还有一个这句话一共是几句话，
[00:22:58] 哪位同学可以给老师分析一下？
[00:23:01] 一共是不是就是在说三句话，
[00:23:03] 这是第一句话，
[00:23:05] 这是第二句话，
[00:23:06] 这是第三句话，
[00:23:07] 请问第一句话它是在说哪一个要素？
[00:23:10] 有哪位同学可以告诉我第一句话，
[00:23:13] 是不是就算是一个名言警句啊？
[00:23:16] 那么这个名言警句是和什么有关系的？
[00:23:19] 你会发现，
[00:23:20] 不论经济发展到什么时候，
[00:23:22] 实体经济都是我国经济发展在国际经济中赢得主动的根基。
[00:23:26] 他是在说经济方面的名言警句。
[00:23:28] 各位，
[00:23:29] 而且他是在说实体经济方面的名言警句，
[00:23:32] 那我问大家一下，
[00:23:33] 这个时候我们能不能想个和实体经济有关的名言警句？
[00:23:37] 你当然可以写一个大家一起写，
[00:23:41] 以实。
[00:23:41] 为本。
[00:23:44] 虚实。
[00:23:47] 并举一起把它搞定OK？
[00:23:49] 你看这样的话，
[00:23:50] 不就能够把它呼应了吗？
[00:23:53] 但是我问一下有没有同学觉得自己的积累和储备？
[00:23:58] 有在考试的时候，
[00:23:59] 可能真的就不能够想到这样一个名言警句。
[00:24:03] 有的话给老师打个一，
[00:24:05] 没有的话打个二，
[00:24:06] 我看有多少同学就是想不出来这种名言警句，
[00:24:09] 那如果想不出来，
[00:24:11] 各位。
[00:24:11] 我们应该出什么招？
[00:24:13] 哪位同学可以告诉我想不出来的话，
[00:24:16] 我能不能用一个万能的名言警句去替代？
[00:24:19] 比如说追风赶月莫停留，
[00:24:21] 平无尽处是春山，
[00:24:23] 大家觉得可以吗？
[00:24:24] 那当然没有问题的，
[00:24:26] 好了，
[00:24:26] 那如果不用万能的名言警句，
[00:24:29] 我们还能用什么样的要素去替代名言警句？
[00:24:33] 哪位同学可以告诉我，
[00:24:35] 如果不用外能的名言警句，
[00:24:37] 可以用什么？
[00:24:38] 你可以用背景去替代。
[00:24:39] 好了，
[00:24:40] 可以用背景去替代，
[00:24:41] 完全没有问题的，
[00:24:43] 好了，
[00:24:43] 接着我们来看一下，
[00:24:45] 第二一个应该怎么把它搞定？
[00:24:47] 大家来看一下小支创造就业岗位，
[00:24:51] 改善人民生活，
[00:24:52] 大到维持经济发展，
[00:24:54] 保障社会稳定。
[00:24:55] 实体经济都有着举足轻重的作用，
[00:24:59] 这是在讲实体经济的影响。
[00:25:02] 实体经济有什么？
[00:25:04] 它是在说一个影响好，
[00:25:06] 那我们就要把结尾也写一个影响结尾，
[00:25:10] 写影响的时候脑袋空白了，
[00:25:12] 脑袋空白的时候一定要记住袁东老师站在你身后说。
[00:25:17] 你要写哪个词的影响？
[00:25:19] 你要写的是哪个词？
[00:25:21] 同学们可以告诉我是不是就是要写实体经济的影响？
[00:25:26] 可以把它转化成一个对策。
[00:25:28] 大家一起想振兴。
[00:25:31] 实体。
[00:25:33] 经济一起把它写下来。
[00:25:36] 好了，
[00:25:37] 振兴实体经济，
[00:25:38] 各位那我就问大家一下，
[00:25:40] 你觉得它有什么影响？
[00:25:42] 我们有没有给大家准备一些？
[00:25:45] 万能的影响有吗？
[00:25:46] 经济方面，
[00:25:47] 万能的影响有给大家准备吗？
[00:25:50] 比如说振兴实体经济，
[00:25:52] 大家看。
[00:25:53] 是推动经济健康发展的务实举措，
[00:25:56] 是增进人民民生福祉的必由之路，
[00:25:58] 是实现第二个百年奋斗目标的必然要求。
[00:26:01] 是驱动经济发展的强大动力，
[00:26:04] 是建设现代化经济体系的战略支撑，
[00:26:07] 是实现高质量发展的。
[00:26:09] 关键路径我问大家下，
[00:26:11] 你觉得这个研发牛逼不牛逼？
[00:26:14] 现在就告诉我牛逼不牛逼？
[00:26:16] 啊，
[00:26:16] 就牛逼不牛逼，
[00:26:18] 牛逼了之后你再给我打个棒棒棒，
[00:26:20] 你觉得合适吗？
[00:26:22] 我求求你把它背下来吧。
[00:26:24] 好吧，
[00:26:24] 如果你能够写的比我们这个精心准备的东西更好，
[00:26:28] 你当然不用背，
[00:26:29] 真的，
[00:26:30] 你就用你自己去发挥，
[00:26:31] 但是如果你觉得你暂时水平还不够。
[00:26:34] 你就扎扎实实的用这个不丢人行吧，
[00:26:37] 同学们不丢人好吧，
[00:26:39] 同学们比你可怜巴巴的打个旺旺旺要好得多。
[00:26:42] 所以我们就把这个影响就是写进去影响，
[00:26:46] 写完了之后请问第三句话，
[00:26:48] 大家看第三句话是在写什么？
[00:26:51] 哪位同学可以告诉我？
[00:26:53] 第三句话是不是就是在写一个总论点啊？
[00:26:56] 各位，
[00:26:57] 这个总论点第一句话就是在写对策，
[00:27:00] 我们必须振兴实体经济。
[00:27:02] 各位，
[00:27:03] 我们必须振兴实体经济，
[00:27:05] 我们稍微的把它变换一下，
[00:27:07] 变换一个词，
[00:27:08] 我们可以变换一个动词，
[00:27:10] 振兴实体经济，
[00:27:11] 我们写成推动实体经济振兴。
[00:27:14] 不也可以吗？
[00:27:15] 我们。
[00:27:16] 要着力。
[00:27:21] 推动。
[00:27:24] 实体经济振兴。
[00:27:26] 实体。
[00:27:28] 经济。
[00:27:30] 振兴一起把它搞定。
[00:27:32] 振兴OK让。
[00:27:35] 那么，
[00:27:36] 影响有什么影响？
[00:27:37] 让它有压舱石，
[00:27:39] 还有一个航船，
[00:27:41] 那么我们尽量的把航船想一下让。
[00:27:44] 中国。
[00:27:47] 经济。
[00:27:48] 把航船变一下。
[00:27:51] 巨轮让中国经济的巨轮。
[00:27:55] 乘风破浪。
[00:27:58] 乘风破浪。
[00:28:01] OK，
[00:28:01] 行稳致远。
[00:28:04] 行为。
[00:28:07] 致远。
[00:28:09] 好吧，
[00:28:09] 让两个100年奋斗目标顺利实践。
[00:28:13] 让两个100年。
[00:28:17] 奋斗目标。
[00:28:22] 顺利实现，
[00:28:23] 你看这个就很容易把它写完了。
[00:28:27] 顺利实现。
