[00:00:00] 他对你说，
[00:04:27] 好呀，
[00:04:27] 小艾和你一起欣赏音乐会员，
[00:04:31] 尊享歌曲周深的化身孤岛的鲸。
[00:04:39] 我是只化身孤岛的蓝鲸，
[00:04:43] 有着最巨大的生命。
[00:04:47] 雨下在身侧穿行。
[00:04:51] 也有飞鸟在背上停。
[00:04:56] 我路过太多太美的奇迹，
[00:05:00] 如同一点般的陷阱。
[00:05:04] 而大海，
[00:05:06] 太平，
[00:05:07] 太急。
[00:05:08] 多少故事无人倾听，
[00:05:13] 我爱地中海的天气。
[00:05:17] 爱西伯利亚的雪景还万丈，
[00:05:22] 高空的鹰耳朵皮下的造型。
[00:05:26] 我在尽心尽力的多情，
[00:05:30] 直到那一天。
[00:05:33] 你的衣衫破旧而歌声却温柔，
[00:05:38] 陪我漫无目的的四处漂流，
[00:05:41] 我的悲泣如黄秋，
[00:05:44] 而你却微笑感受。
[00:05:46] 手把它当成整个宇宙，
[00:05:50] 你与太阳为首夜总，
[00:05:53] 还有彩虹陪我挨天挨。
[00:05:57] 你的四处风流，
[00:05:59] 只是遗憾，
[00:06:01] 你终究无法躺在我胸口，
[00:06:05] 心上夜红，
[00:06:06] 醉了，
[00:06:07] 欢乐不休，
[00:06:08] 把心思放逐。
[00:06:10] 你。
[00:06:13] 我是只化身孤岛的蓝鲸，
[00:06:20] 有着最巨大的身影。
[00:06:25] 雨下在身侧穿行，
[00:06:29] 也有飞鸟在背上停。
[00:06:34] 我有着太冷太轻的天性，
[00:06:39] 对天上的他动过情。
[00:06:43] 耳钉多，
[00:06:44] 太远太近。
[00:06:47] 辗转之后，
[00:06:49] 各安天命。
[00:06:52] 我未入过繁华之境。
[00:06:56] 会听过喧嚣的声音，
[00:06:59] 会见过海多生命，
[00:07:02] 为何我换好心情？
[00:07:05] 所以也未觉得样辗转有多么安静。
[00:07:13] 你的一衫破旧而歌声却温柔，
[00:07:17] 陪我漫无目的地四处漂流，
[00:07:20] 我的悲喜如黄酒，
[00:07:23] 而你却微笑还是。
[00:07:25] 手把它当成整个宇宙，
[00:07:29] 你也快要回首，
[00:07:31] 别总还要问候，
[00:07:33] 陪我爱天爱地的四处狂流，
[00:07:38] 这是遗憾。
[00:07:39] 你终究无法躺在我胸口，
[00:07:44] 心成夜空最辽阔的不朽的星子，
[00:07:50] 很如梦。
[00:07:55] 你的指尖轻柔抚摸过我所有风往冲冲冲，
[00:08:01] 我的愁如重口，
[00:08:03] 你眼中有春与秋成果，
[00:08:07] 我见过爱过。
[00:08:09] 亲爱的同学，
[00:08:12] 暂停。
[00:08:13] 好了，
[00:08:14] 所有的同学，
[00:08:15] 如果你们能够听见东哥的话呢，
[00:08:17] 请把你们具体城市的名字签在评论区，
[00:08:20] 让我看一下大家都是哪个地方的人？
[00:08:23] 好吧，
[00:08:24] 哎，
[00:08:24] 让我看一下大家都是哪个地方的人好了，
[00:08:27] 来自于各个城市的同学都有啊，
[00:08:30] 我们这节课呢，
[00:08:31] 给大家讲大作文写作的开头。
[00:08:33] 希望通过这节课的讲座呢，
[00:08:36] 能够让你对大人们的开头啊，
[00:08:38] 能够立竿见影的把它掌握，
[00:08:40] 然后还能够写出一个。
[00:08:42] 既比较模板化，
[00:08:43] 又能够在模板化基础上进行个性化的开头，
[00:08:47] 我们其实不是模板，
[00:08:48] 我们其实叫底层思维。
[00:08:50] 好了，
[00:08:50] 为了防止大家记错的话呢，
[00:08:53] 我先给大家讲一下整个的大指纹的开头，
[00:08:56] 现在我问大家一下有没有同学在遇到大指纹？
[00:09:00] 开头写作的时候，
[00:09:02] 大脑会有点空白，
[00:09:03] 我现场调研一下多少同学拿到一个大作文的时候，
[00:09:08] 写作的时候脑袋是空白的。
[00:09:10] 各位，
[00:09:10] 如果你脑袋空白呢？
[00:09:12] 我问一下大家，
[00:09:14] 你觉得最重要的是你因为。
[00:09:17] 不知道写作的逻辑还是最重要的是你肚子里边没有货，
[00:09:22] 你觉得这两个原因哪一个原因是要排在第一位的同学们，
[00:09:28] 能不能告诉我？
[00:09:29] 就是我拿到一个大作文，
[00:09:31] 或者我答一个面试题目，
[00:09:33] 我的妈呀，
[00:09:34] 上来之后我脑袋就是空白的，
[00:09:36] 记住了很多同学以为自己是没有货，
[00:09:39] 真的不是这个样子的。
[00:09:40] 实际上是你不知道写作的逻辑，
[00:09:43] 就是不知道整个开头应该怎么写，
[00:09:46] 拿到之后脑袋就是空白的。
[00:09:48] 好了，
[00:09:48] 那我们先教大家一下写作的基本逻辑，
[00:09:52] 大指纹的开头写作基本上就记住基准基本逻辑，
[00:09:56] 大家记住这四点。
[00:09:57] 也就行了，
[00:09:58] 由这四点就可以进行一个千变万化大作文的开头，
[00:10:04] 首先要写一个名言警句。
[00:10:06] 接着要写一个影响，
[00:10:09] 接着要写一个过渡句，
[00:10:11] 接着要写一个总论点。
[00:10:14] 四句话就能够成为一个开头啊，
[00:10:17] 有人的话呢，
[00:10:18] 走七步就能写一首诗，
[00:10:21] 你想到这四个数字。
[00:10:23] 就能够写一个开头，
[00:10:25] 我现在问大家一下，
[00:10:26] 你们觉得就是我给大家写的名言警句。
[00:10:30] 还有影响。
[00:10:32] 还有过渡句，
[00:10:33] 还有总论点，
[00:10:35] 我们上节课是给大家讲的哪几个点，
[00:10:39] 哪位同学能够告诉我？
[00:10:42] 请问过渡句是我们到考场上在想，
[00:10:46] 还是我们提前考试之前就把它给背下来？
[00:10:50] 哪位同学能够告诉我上节课是不是就已经给大家讲了过渡句，
[00:10:55] 考试之前就可以把它背下来，
[00:10:58] 到考试的时候直接用也就可以了。
[00:11:01] 所有的同学，
[00:11:02] 哪位同学能够给老师想出一个比较像模像样的过渡句，
[00:11:07] 可以给老师敲在评论区，
[00:11:09] 哪位同学可以告诉我。
[00:11:11] 哎，
[00:11:11] 到底有什么可以作为过渡句呢？
[00:11:15] 比如说历尽天华成此景。
[00:11:18] 历尽天华。
[00:11:20] 成词景有没有同学知道下一句叫什么？
[00:11:25] 人间万事。
[00:11:27] 出艰辛。
[00:11:28] 人间万事出千心，
[00:11:30] 还能不能给老师想一句类似的，
[00:11:34] 比如说雄关漫道。
[00:11:36] 真如铁而今漫步，
[00:11:38] 从头越还能不能再给老师想一句哎比较合适的？
[00:11:44] 脚踏人间正道。
[00:11:46] 何惧世事沧桑，
[00:11:49] 还能不能给老师讲一句征程？
[00:11:53] 万里风正尽。
[00:11:55] 重任千钧再出发，
[00:11:57] 还能不能再给老师讲一句风雨多，
[00:12:01] 经志弥坚。
[00:12:02] 关山初度露游长，
[00:12:04] 请问大家一下，
[00:12:06] 你觉得所有的这些名言警句，
[00:12:09] 它有一个共同的特点是什么？
[00:12:12] 他可能在表达上都是在具体的个性化，
[00:12:16] 但是他的共同的特点是什么？
[00:12:18] 哪位同学能够告诉我？
[00:12:20] 你会发现所有的这些名言警句都是本质上是一个成功学吧，
[00:12:27] 本质上都是在催人奋进吧。
[00:12:30] 本质上都是在鼓励人吧，
[00:12:32] 本质上都是那些积极的表述吧，
[00:12:35] 现在听懂了吗？
[00:12:36] 所以大家如果能够把这个过渡句提前准备好的话，
[00:12:41] 考试后直接用也就可以了。
[00:12:44] 这个过渡句，
[00:12:45] 那我们就会写了，
[00:12:46] 也就是开头的四分之一已经写完了，
[00:12:50] 请问一下总论点应该怎么写？
[00:12:53] 哪位同学可以告诉我总论点，
[00:12:55] 它应该等于什么？
[00:12:57] 哪个同学可以告诉我总论点是不是就应该等于标题啊？
[00:13:02] 标题，
[00:13:02] 它是由哪两个要素组成的？
[00:13:06] 标题，
[00:13:06] 是不是有对策还有影响？
[00:13:09] 这两个要素组成的。
[00:13:12] 哎，
[00:13:12] 把它搞定也就可以了，
[00:13:14] 好了，
[00:13:14] 那我问大家一下，
[00:13:16] 剩下的只有名言警句和影响了，
[00:13:19] 有没有同学能够告诉我名言警句一般是从哪里来？
[00:13:23] 各位，
[00:13:24] 现在考试绝大多数时候它都是说让你谈谈对材料当中一句话的理解。
[00:13:33] 所以我们为了不跑题，
[00:13:35] 我们这个名言警句，
[00:13:37] 它可以来源于题干。
[00:13:39] 它可以来源于材料。
[00:13:42] 它可以来源于自身的积累，
[00:13:45] 我问大家一下，
[00:13:47] 你觉得优先是来源于题干和材料还是优先来源于积累？
[00:13:54] 哪位同学可以告诉我，
[00:13:56] 优先于来源于题干和材料吗？
[00:13:59] 我就把它写在我开头的第一句，
[00:14:02] 这样的好处。
[00:14:03] 请问有什么好处？
[00:14:05] 是不是它的好处就能够让我们做到绝对不跑题啊？
[00:14:10] 也就可以了，
[00:14:12] 好了，
[00:14:12] 我问大家一下，
[00:14:14] 影响你觉得影响的话，
[00:14:16] 影响的话，
[00:14:17] 请问大家一下是偏微观的。
[00:14:20] 还是偏中观的，
[00:14:22] 还是偏宏观的，
[00:14:24] 哪位同学可以告诉我影响是不是都是相对于偏宏观的？
[00:14:30] 偏宏观的，
[00:14:31] 有没有可能提前把它能够给准备到？
[00:14:36] 哪位同学可以告诉我？
[00:14:38] 偏宏观的，
[00:14:39] 有没有可能提前把它准备到？
[00:14:41] 我觉得是完全可以的吧？
[00:14:43] 偏宏观的，
[00:14:44] 我问大家一下。
[00:14:45] 就是你们觉得大主人，
[00:14:47] 我们考试的时候可能考几个方面的话题，
[00:14:51] 就是你会翻一翻历年国考省考，
[00:14:54] 为什么东哥敢在这边？
[00:14:56] 说哎呀，
[00:14:57] 给大家大概率就能够猜中是因为五位一体，
[00:15:01] 请问五位一体的五位它涉及到哪几个方面？
[00:15:05] 申论考来考去，
[00:15:07] 涉及到政治方面，
[00:15:09] 经济方面，
[00:15:10] 文化方面，
[00:15:11] 还有什么方面？
[00:15:12] 还有什么方面？
[00:15:14] 生态环境方面还有什么方面？
[00:15:16] 社会方面就是这五位一体政治方面的影响，
[00:15:20] 能准备好吗？
[00:15:21] 经济方面的影响可以吗？
[00:15:23] 啊，
[00:15:23] 文化方面的影响可以吗？
[00:15:25] 生态方面的影响可以吗？
[00:15:27] 社会方面的影响可以吗？
[00:15:29] 完全是可以的，
[00:15:31] 你看这样的话，
[00:15:32] 每一句话，
[00:15:33] 它的来源我们很快就能够把它锁定了。
[00:15:36] 你会发现整个名言警句从题干当中，
[00:15:39] 材料当中直接摘抄，
[00:15:41] 然后呢，
[00:15:42] 过渡句直接提前把它准备总论点，
[00:15:45] 就等于标题。
[00:15:46] 然后影响提前把它准备好，
[00:15:48] 是不是马上就会写了？
[00:15:50] 有这种感觉吗？
[00:15:51] 当然，
[00:15:52] 如果有的同学说老师，
[00:15:54] 那我还想把它再个性化一点。
[00:15:56] 你就在里面插入其他要素，
[00:15:59] 名言警句，
[00:16:00] 影响过渡句，
[00:16:01] 总论点，
[00:16:02] 可以在影响之前加一个背景句。
[00:16:05] 好吧，
[00:16:05] 当然也可以在影响之后加一个问题，
[00:16:09] 当然也可以在之前和之后各加一个背景和问题，
[00:16:13] 当然还可以在问题之前。
[00:16:16] 加一个乘积这些，
[00:16:17] 大家随机组合也就可以了，
[00:16:20] 大家现在觉得大体能够理解的话，
[00:16:22] 就可以给老师打个过。
[00:16:24] 不理解的话也没有关系，
[00:16:26] 因为我马上就要给你举例子了，
[00:16:29] 大家来看一下，
[00:16:30] 我们带着大家。
[00:16:31] 随便找几个题目做一下这些名言警句，
[00:16:35] 你们能不能答应东哥把它背下来？
[00:16:38] 各位同学，
[00:16:39] 同学们一起打在评论区，
[00:16:41] 不背是小狗狗哈，
[00:16:43] 东哥给你准备的这些，
[00:16:45] 你要不背是小狗狗啊，
[00:16:46] 为了防止你重复，
[00:16:48] 我今年把这个素材户。
[00:16:50] 给大家增加了很多，
[00:16:52] 大家看。
[00:16:53] 我今年呢，
[00:16:54] 就是预计我的学生超过100万，
[00:16:56] 我都不要让他产生任何的重复，
[00:16:59] 当然如果你自己愿意准备，
[00:17:01] 你就自己愿意准备。
[00:17:02] 你不愿意准备，
[00:17:04] 你就用我的，
[00:17:05] 反正我给你准备的这些足够多了，
[00:17:07] 好吧，
[00:17:08] 有的同学立马就屈服了，
[00:17:10] 说汪汪汪，
[00:17:10] 哎呀我的妈呀，
[00:17:11] 就不背了是吧，
[00:17:13] 你这意思？
[00:17:13] 好了，
[00:17:14] 我们大指纹先给大家讲单，
[00:17:17] 主题的大指纹开头应该怎么写？
[00:17:20] 大家来看一下。
[00:17:21] 这个题目首先告诉我，
[00:17:24] 认真的念一下标题，
[00:17:26] 请问大家一下标题应该前半句等于对策。
[00:17:30] 后半句应该等于影响你们告诉我这个题目当中题干当中的关键词。
[00:17:38] 最关键的主题是在说哪一个主题，
[00:17:41] 有没有同学能够看出来是不是最重要的词，
[00:17:45] 就是在说社保啊。
[00:17:47] 要把社保。
[00:17:48] 变成一个对策，
[00:17:50] 应该怎么干这个人？
[00:17:52] 他在材料当中就是专门干社保工作的。
[00:17:56] 所以我们就要做好社保工作。
[00:18:01] 好了，
[00:18:01] 做好社保工作，
[00:18:03] 请问大家有什么样的影响告诉我啊，
[00:18:07] 对于我有好处，
[00:18:08] 对于其他老百姓也有好处，
[00:18:11] 对于老百姓有好处。
[00:18:13] 能不能给老师想出一个影响加一个动词增肌？
[00:18:17] 民生。
[00:18:20] 福祉，
[00:18:20] 大家觉得可以不？
[00:18:23] 好了，
[00:18:23] 如果我不想用这个词，
[00:18:25] 哎，
[00:18:26] 我如果真的就想用事业的话，
[00:18:29] 我有没有给大家上节课叫一个万能的？
[00:18:33] 这种口袋里面让你装几个万能的音响，
[00:18:37] 可不可以写成开创？
[00:18:39] 事业。
[00:18:41] 发展。
[00:18:44] 新局面，
[00:18:45] 大家觉得可以吗？
[00:18:47] 好，
[00:18:47] 那如果我不想这样写的话，
[00:18:49] 请问大家一下，
[00:18:50] 我还可以写成哪个词？
[00:18:52] 我能不能再用一个万能的构建？
[00:18:56] 事业。
[00:18:58] 发展新格局，
[00:19:00] 大家觉得可以不新格局好，
[00:19:03] 我再要求大家从口袋里面给老师掏出一个比较万能的。
[00:19:10] 孵化事业美好蓝图，
[00:19:13] 大家觉得可以不？
[00:19:15] 薄化。
[00:19:17] 事业。
[00:19:20] 美好。
[00:19:23] 蓝图哎，
[00:19:23] 你看都是可以的，
[00:19:25] 好了，
[00:19:25] 那我问大家下，
[00:19:27] 当你念完这个标题，
[00:19:29] 如果让你写开头的时候，
[00:19:31] 你脑袋当中有没有一点空白的感觉？
[00:19:34] 同学们告诉我有没有一点空白的感觉，
[00:19:37] 当你有空白的感觉，
[00:19:39] 你一定要记住了，
[00:19:40] 袁东老师像个大哥哥一样，
[00:19:42] 站在你身后说说什么？
[00:19:44] 说一个数字，
[00:19:45] 这个数字是哪个数字？
[00:19:47] 同学们，
[00:19:48] 现在先不要把它复杂化，
[00:19:49] 先把最基本的内核搞定，
[00:19:51] 是不是这个数字是四啊？
[00:19:53] 那第一步。
[00:19:54] 要写什么？
[00:19:55] 哪位同学可以告诉我第一步要写名言警句好了，
[00:19:59] 我明白了，
[00:20:00] 第二步要写什么？
[00:20:02] 第二步，
[00:20:03] 要写影响。
[00:20:04] 第三步，
[00:20:05] 要写什么。
[00:20:06] 第三步，
[00:20:07] 要写过渡句。
[00:20:08] 第四步，
[00:20:09] 要写什么。
[00:20:10] 第四步，
[00:20:11] 要写。
[00:20:12] 总论点这个，
[00:20:13] 大家能够同意不？
[00:20:14] 好了哈，
[00:20:15] 下面我问大家下我们这个名言警句应该怎么把它搞定？
[00:20:20] 我们这个名言警句应该怎么把它搞定？
[00:20:23] 它是来源于题干还是来源于就是自身的积累？
[00:20:27] 同学们做出自己的选择。
[00:20:29] 是不是优先来源于题干也就可以了，
[00:20:33] 人家题干当中直接给我们的，
[00:20:35] 我们就把这句话直接摘抄。
[00:20:37] 好了，
[00:20:38] 但是直接摘抄，
[00:20:40] 我们最好还要把这句话怎么样，
[00:20:43] 稍微的你如果说这句话。
[00:20:46] 你能够最好把它稍微的润色一下，
[00:20:49] 在材料当中大家来看一下，
[00:20:52] 就把它搞定了。
[00:20:54] 大家看我是怎么做的，
[00:20:56] 我就把这句话直接摘抄，
[00:20:58] 社保是我一生的事业，
[00:21:00] 也是每个人一生的事业，
[00:21:02] 然后你结合材料，
[00:21:03] 原来知道它是雷利的。
[00:21:05] 心得体会，
[00:21:06] 请问大家一下，
[00:21:08] 这句话能够理解的话，
[00:21:10] 就给老师打个过，
[00:21:11] 各位就是这句话是来源于题干。
[00:21:14] 然后呢？
[00:21:15] 我呢？
[00:21:15] 后面的这句话是从材料当中得出来的，
[00:21:18] 这个就把题干和材料做了一个完美的结合。
[00:21:22] 结合完了之后，
[00:21:24] 我就要写影响了，
[00:21:26] 请问大家一下，
[00:21:27] 这个影响你首先要判定。
[00:21:30] 社保它是属于我们政治，
[00:21:33] 经济，
[00:21:33] 文化，
[00:21:34] 社会，
[00:21:34] 生态当中的哪一个话题，
[00:21:37] 认真的给老师琢磨一下。
[00:21:40] 社保你它你们考任何一个申论题目，
[00:21:43] 它往往从一个微观中观切入，
[00:21:46] 但是它一定是宏观的，
[00:21:48] 哪一个投射？
[00:21:49] 是不是在说社会领域啊？
[00:21:52] 或者是在说一个民生领域啊，
[00:21:55] 大家同意吗？
[00:21:56] 请问大家一下，
[00:21:58] 社会领域和民生领域，
[00:22:00] 我们可不可以提前？
[00:22:03] 我们可不可以提前？
[00:22:06] 就是把这句话准备到位。
[00:22:09] 可以吗？
[00:22:10] 就是因为我们社保对于社会，
[00:22:12] 对于民生领域的影响，
[00:22:14] 是不是可以提前准备好了？
[00:22:17] 那东哥呢？
[00:22:18] 给大家提前准备了几句话，
[00:22:20] 大家觉得这句话可以不？
[00:22:22] 这是第一句话，
[00:22:24] 这是第二句话，
[00:22:25] 这是第三句话。
[00:22:26] 告诉我这三句话，
[00:22:28] 共同构成了一个什么句子，
[00:22:30] 这三句话是不是共同构成了一个排比句啊？
[00:22:35] 这个排比句对于大家来说，
[00:22:38] 考试的时候你觉得能否加分，
[00:22:41] 能否有文采？
[00:22:42] 我觉得是完全没有问题的吧啊，
[00:22:45] 做好社保工作，
[00:22:46] 事关人民群众的根本利益，
[00:22:48] 事关政府治理能力和治理水平的提升，
[00:22:51] 事关社会主义现代化建设的成败。
[00:22:53] OK，
[00:22:54] 也就过去了，
[00:22:55] 第三步，
[00:22:56] 请问大家一下要写什么？
[00:22:58] 要写过渡句好了，
[00:23:00] 哪位同学可以给老师？
[00:23:02] 此时此刻，
[00:23:03] 吟诗一首，
[00:23:04] 写一个句名言警句作为过渡句，
[00:23:07] 如果是我的话呢？
[00:23:09] 我此时此刻想吟诗一首，
[00:23:11] 袁东老师是一个诗人。
[00:23:13] 风雨。
[00:23:16] 多晶。
[00:23:19] 是迷间哎，
[00:23:20] 我就问大家一下，
[00:23:22] 就是你们有没有同学能够知道下一句是在说什么？
[00:23:27] 追风赶月莫停留，
[00:23:28] 平无尽处是春山。
[00:23:29] 因为我的学生都上岸了，
[00:23:31] 都喜欢用这句话，
[00:23:32] 现在大家去考试的现场都是这句话，
[00:23:35] 那么风雨多，
[00:23:36] 情志弥坚。
[00:23:36] 我们再给大家关山。
[00:23:39] 初度。
[00:23:41] 陆游长一起把它写出来也就可以了。
[00:23:45] 关山出渡，
[00:23:46] 陆游长，
[00:23:46] 哎，
[00:23:46] 我们有这样一句话，
[00:23:48] 或者你写成其他的都是可以的，
[00:23:51] 你看。
[00:23:52] 这个名言警句扬帆起航，
[00:23:55] 正当时砥砺奋进，
[00:23:57] 普华章，
[00:23:58] 请问这句话换成。
[00:24:00] 风雨多经志，
[00:24:01] 弥坚关山出。
[00:24:02] 渡路由长，
[00:24:03] 可不可以加分？
[00:24:05] 这个为什么用这种词放在这个地方，
[00:24:08] 是因为这种词也是有文采分的，
[00:24:11] 我们就把它拿到位了。
[00:24:14] 好了，
[00:24:14] 最后一句话，
[00:24:15] 请问大家一下应该怎么写总论点总论点，
[00:24:19] 它主要是要干什么？
[00:24:21] 总论点主要包含哪两个要素？
[00:24:24] 第一个是不是对策，
[00:24:26] 第二个是不是就是影响啊？
[00:24:28] 那么也就是要把我们的标题给改写成一句话，
[00:24:32] 标题改写成一句话就是。
[00:24:35] 加一个主语，
[00:24:36] 我们。
[00:24:37] 再加一个连词，
[00:24:39] 必须做好社保工作。
[00:24:41] 努力增进民生福祉，
[00:24:43] 你不用完全一样啊，
[00:24:45] 把它稍微改写一下，
[00:24:47] 润色一下也就可以了。
[00:24:49] 大家看，
[00:24:50] 我们必须做好社保工作，
[00:24:52] 努力增进民生福祉。
[00:24:54] 大家觉得可以不？
[00:24:55] 我现在问大家一下，
[00:24:57] 这四句话当中唯一需要你背的，
[00:25:01] 你提前考试之前就把它积累到位的。
[00:25:05] 请问是哪两句话？
[00:25:06] 有没有同学可以告诉我是不是就是第二句话？
[00:25:10] 是不是就是第三句话？
[00:25:12] 大家同意吗？
[00:25:13] 第二句话的影响，
[00:25:14] 我把它背下来。
[00:25:15] 第三句话的影响，
[00:25:17] 我把它背下来，
[00:25:18] 但是如果有的同学说老师，
[00:25:20] 我还想在这个基础上个性化一下。
[00:25:23] 请问大家一下，
[00:25:24] 如果这个题目你要想把它个性化一下，
[00:25:28] 你觉得可以做怎么样的个性？
[00:25:30] 哪位同学可以告诉我？
[00:25:32] 我可以一起写出来添加。
[00:25:36] 要素哎，
[00:25:36] 你要素给它添加一下，
[00:25:38] 我教大家写大种类，
[00:25:40] 就像组装电脑一样，
[00:25:42] 把不同的零件进行拼接。
[00:25:44] 各位，
[00:25:45] 我能不能在名言警句和影响之间加一个背景句，
[00:25:50] 大家觉得可以不？
[00:25:51] 加一个背景句可以，
[00:25:53] 不完全是没有问题的，
[00:25:55] 那么背景句请问大家一下，
[00:25:58] 你觉得它是宏观的？
[00:26:00] 还是中观的背景剧是宏观的，
[00:26:03] 还是中观的，
[00:26:04] 或者是微观的，
[00:26:06] 其实都是可以的，
[00:26:07] 但是你如果把它变成宏观的，
[00:26:10] 我们能不能准备一个？
[00:26:12] 万能的背景句呢，
[00:26:14] 如果把它变成中端的，
[00:26:16] 能不能准备一个万能的就是可以呢？
[00:26:19] 我觉得是可以的。
[00:26:21] 好了，
[00:26:21] 我们给大家准备了两个背景句，
[00:26:25] 大家来看这两个背景句就是万能的，
[00:26:28] 首先大家看。
[00:26:30] 这个民生，
[00:26:30] 我如果把它变成叉叉，
[00:26:32] 大家觉得可以不？
[00:26:34] 比如说这个题目就是在说社会领域，
[00:26:37] 民生领域，
[00:26:38] 我就说当前经济社会快速发展。
[00:26:41] 社会急剧转型解决好各类民生问题，
[00:26:44] 具有强烈的现实性和紧迫性。
[00:26:47] 但是，
[00:26:47] 如果这个题目是生态。
[00:26:49] 我就直接把它变成生态，
[00:26:51] 大家觉得可以吗？
[00:26:53] 如果这个题目变成了一个文化，
[00:26:55] 我就直接把民生变成文化也是可以的吧？
[00:26:59] 你看，
[00:26:59] 这就是一个万能的好了，
[00:27:02] 如果把这个万能的塞在这个地方，
[00:27:05] 作为一个背景句。
[00:27:06] 大家觉得它通顺不？
[00:27:09] 你们觉得通顺吗？
[00:27:10] 我给大家念一下啊，
[00:27:12] 社保是我一生的事业，
[00:27:14] 也是每个人一生的事业，
[00:27:16] 这是社会保险基金管理中心。
[00:27:19] 转移接续科科长为例，
[00:27:21] 工作十多年以来的心得体会，
[00:27:23] 当前啊，
[00:27:24] 经济快速发展，
[00:27:25] 社会急救转型，
[00:27:26] 解决好各类民生问题，
[00:27:28] 具有强烈的现实性和紧迫性。
[00:27:31] 或者我就直接把这个问题解决好，
[00:27:35] 社保问题具有强烈的现实性和紧迫性，
[00:27:39] 大家觉得可以吧？
[00:27:40] 那么，
[00:27:41] 做好社保工作，
[00:27:42] 事关人民群众的根本利益，
[00:27:44] 事关政府能力和治理水平的提高，
[00:27:47] 事关社会主义现代化建设事业的成败扬帆起航。
[00:27:51] 正当时，
[00:27:51] 砥砺奋进。
[00:27:52] 普华章，
[00:27:53] 我们必须做好社保工作，
[00:27:55] 努力增进民生福祉。
[00:27:56] 请问大家一下，
[00:27:58] 你们自己写，
[00:27:59] 如果能够写的比这个底层逻辑。
[00:28:02] 和和准备好的素材，
[00:28:03] 更好的就打个一，
[00:28:05] 如果不能够写的比这个更好的，
[00:28:07] 就打个二，
[00:28:08] 我就说你现在的水平，
[00:28:10] 这个不丢人啊，
[00:28:11] 就实事求是。
[00:28:12] 各位哎，
[00:28:13] 我再给大家说一下，
[00:28:14] 所以你先慢慢的开始，
[00:28:16] 先别着急啊，
[00:28:17] 你出去你不要说，
[00:28:18] 俺给你交模板哈，
[00:28:20] 俺真的不是交模板。
[00:28:21] 你哪个老师讲课你都是从呃先从基础开始讲，
[00:28:25] 俺真的俺给你准备的素材，
[00:28:27] 你是把它用好了，
[00:28:28] 拿个一类文没有问题的。
[00:28:30] 很多同学，
[00:28:30] 我们那以美为是因为他分论点总论点抛弃了我刚才表扬你们的，
[00:28:35] 我就说你们写的肯定是比我这个更好，
[00:28:37] 明白了吧？
[00:28:38] 好了，
[00:28:38] 那如果我不想用这个万能的背景。
[00:28:40] 我用个性化的背景，
[00:28:42] 大家觉得行不行？
[00:28:44] 你会发现个性化的背景，
[00:28:46] 我们在20大报告当中，
[00:28:48] 我们在很多材料当中都有的，
[00:28:50] 我们说。
[00:28:51] 党的20大报告，
[00:28:53] 这个是以嗯，
[00:28:54] 再说社会再说民生，
[00:28:56] 也就是找民生方面的背景。
[00:28:58] 坚持以人民为中心的发展思想，
[00:29:01] 明确为前进道路上必须牢牢把握的五大五条重大原则之一。
[00:29:05] 我问大家一下，
