[00:00:00] 给大家放首歌。
[00:04:14] 路灯下的恋人。
[00:04:17] 都像是曾经的。
[00:04:20] 我们是紧拥抱的亲吻。
[00:04:25] 爱的难舍又难分。
[00:04:30] 走下来的光阴。
[00:04:34] 这世界只有两个人。
[00:04:38] 你和月亮船上。
[00:04:42] 你就能变成陌路人。
[00:04:46] 藏在我的记忆里的那个人，
[00:04:50] 愿你现在过得幸福安稳。
[00:04:54] 若再相遇，
[00:04:56] 人海闯。
[00:04:58] 你是否还记得我的眼神？
[00:05:02] 藏在我回忆里的那个人，
[00:05:06] 有你我的青春才算完整。
[00:05:10] 感谢曾经你的认真，
[00:05:14] 让我知道爱一个人。
[00:05:18] 谢谢。
[00:05:26] 啊。
[00:05:27] 你。
[00:05:30] 啊。
[00:05:35] 路灯下的恋人。
[00:05:41] 就像是曾经的我们。
[00:05:45] 痴情永抱。
[00:05:48] 你温暖的爱。
[00:05:50] 难舍又难分，
[00:05:53] 不想爱的光阴。
[00:05:56] 全世界只有两个人。
[00:06:01] 为何一个人？
[00:06:04] 转身。
[00:06:06] 就能变成我路人。
[00:06:10] 放在我怀里的那个人，
[00:06:14] 愿你现在过得幸福安稳。
[00:06:18] 若再相遇，
[00:06:20] 人海黄昏，
[00:06:22] 你是否还记得我用眼神？
[00:06:26] 在我的回忆里的那个人，
[00:06:30] 有你我的青春才算完整，
[00:06:35] 感谢曾经你的认真。
[00:06:38] 让我知道爱一个人为何不？
[00:06:43] 无声在我回忆里的那个人，
[00:06:49] 愿你现在过得幸福安稳。
[00:06:54] 若再相遇，
[00:06:56] 人海黄昏，
[00:06:58] 你是否还记得我的眼神？
[00:07:02] 好了，
[00:07:03] 同学们，
[00:07:04] 把你们家乡的名字呢敲在评论区，
[00:07:08] 让我看看你们都是哪个地方的人？
[00:07:12] 看一下大家的家里的情况啊，
[00:07:15] 为你们地方的文旅呢做一点说明吧，
[00:07:18] 我们看看今天的同学到底是真的假的，
[00:07:21] 是真的假的啊？
[00:07:22] 然后呢？
[00:07:23] 这个每一天呢？
[00:07:24] 都在努力啊，
[00:07:25] 今天的这套题目的话呢呃，
[00:07:28] 大家觉得难还是不难？
[00:07:30] 有没有同学能够告诉我？
[00:07:32] 今天的这道题目，
[00:07:34] 你们觉得难还是不难哎？
[00:07:36] 我们问一下大家的情况啊。
[00:07:39] 今天这道题目的话呢，
[00:07:41] 很多同学呢觉得。
[00:07:42] 可能呢，
[00:07:43] 是搞不定的，
[00:07:44] 但实际上来讲的话呢，
[00:07:46] 到底能不能搞定呢？
[00:07:47] 我们一起带着大家来试一试这个题目。
[00:07:51] 行不行？
[00:07:52] 中等偏上没有做新化，
[00:07:54] 还有哪个地方呢？
[00:07:56] 陕西卷这么牛逼了，
[00:07:58] 这就是陕西的卷子啊。
[00:08:00] 这个你们有多少同学的话呢？
[00:08:04] 就是提前做了这道题的，
[00:08:06] 我来看一下，
[00:08:08] 做一个。
[00:08:08] 调研啊，
[00:08:09] 有多少同学提前做了这个题目？
[00:08:12] 好了，
[00:08:13] 你们把你们三个分论点的关键词给老师交代评论区，
[00:08:17] 我就看一下关键词在上课调研一下，
[00:08:20] 我和了解同学们的基础，
[00:08:22] 待会决定我上课的节奏。
[00:08:24] 行吧。
[00:08:26] 哪一个制度创新还有什么生态执法？
[00:08:30] 基层治理制度，
[00:08:32] 政策，
[00:08:33] 科技系统，
[00:08:34] 观念理念，
[00:08:35] 行动成果。
[00:08:37] 好城市执法信息共享利益补偿常态化执法政策标准联动治理力量。
[00:08:45] 资源创新对大家来看一下，
[00:08:47] 实际上你看同一个老师教的，
[00:08:50] 但是呢，
[00:08:50] 你光找分论点这一块，
[00:08:52] 整个的差别就是很大。
[00:08:54] 我们还是带着大家来看一下这个题目，
[00:08:57] 慢慢的给大家揭晓吧，
[00:08:59] 好了，
[00:08:59] 大家来看一下这个题目，
[00:09:01] 我们应该怎么把它搞定，
[00:09:03] 他说给定材料六中提到。
[00:09:05] 过去，
[00:09:05] 南通河是分界线，
[00:09:07] 把两地划分开来。
[00:09:10] 现在，
[00:09:10] 南通河是连接带，
[00:09:12] 把两地结合起来。
[00:09:15] 请你对这句话进行深入思考，
[00:09:17] 联系实际，
[00:09:18] 大家再来看一下自选角度，
[00:09:21] 自拟题目，
[00:09:22] 写一篇文章，
[00:09:23] 大家看。
[00:09:24] 猛地一看，
[00:09:25] 你觉得拿到这个题目之后，
[00:09:27] 这个题目它的整个的题干分成了两句话。
[00:09:31] 它前面是在说过去，
[00:09:33] 后面是在说现在这个在我们考试的时候叫什么写作，
[00:09:38] 我反复给大家说过。
[00:09:40] 这种是叫做对比式写作，
[00:09:43] 对比式写作往往它指的是同一个话题的前后两个部分。
[00:09:49] 好了，
[00:09:49] 我问大家一下，
[00:09:51] 你觉得？
[00:09:52] 对于我们来讲，
[00:09:53] 就是最后的后面这句话，
[00:09:55] 你觉得最重要的词，
[00:09:57] 如果只能选一个词或者两个词的话，
[00:10:00] 大家觉得你会选择什么？
[00:10:03] 有没有同学能够告诉我哎，
[00:10:05] 是不是就是连接啊？
[00:10:07] 是不是就是结合啊？
[00:10:09] 同意吧，
[00:10:10] 那么这个连接。
[00:10:11] 哎，
[00:10:12] 如果非要说的话，
[00:10:13] 我们可以把它理解成一个对策，
[00:10:16] 这个结合呢，
[00:10:18] 往往可以理解成一个影响，
[00:10:20] 对吧？
[00:10:21] 好了，
[00:10:21] 分界。
[00:10:22] 往往也可以理解成一个对策，
[00:10:24] 这个划分开来哎，
[00:10:25] 划分开来，
[00:10:26] 它可以理解成一个影响，
[00:10:28] 哎呀，
[00:10:29] 这样理解着我觉得也不太好，
[00:10:31] 我不是非常明白。
[00:10:32] 各位，
[00:10:33] 如果你在审题的时候审不非常明白这两个，
[00:10:37] 它重要强调后面也就是最重要的词连接。
[00:10:41] 结合分界划分，
[00:10:42] 你觉得如果从这四个词当中只选一个词，
[00:10:46] 成为我们的最重要的词，
[00:10:49] 大家会选择哪一个词？
[00:10:51] 各位，
[00:10:51] 咱也不分它什么对策和影响了，
[00:10:54] 只选一个词，
[00:10:55] 大家觉得选哪一个，
[00:10:56] 那我觉得我可能会选择连接大家同意吧，
[00:10:59] 我可能会选择连接。
[00:11:01] 但是的话呢，
[00:11:02] 这个题目的话呢，
[00:11:04] 他说的有点虚，
[00:11:05] 所以我们不是非常清晰，
[00:11:07] 我们一定要到给定材料当中呢，
[00:11:10] 去理解一下这句话。
[00:11:12] 同意不同意的话，
[00:11:13] 给老师敲个一，
[00:11:14] 然后我们带着大家先来看看这句话。
[00:11:17] 先来看看这句话，
[00:11:19] 前面的几个小题吧，
[00:11:21] 大家看一这个里边就是你觉得有没有涉及到？
[00:11:26] 那个和南通河连接方面，
[00:11:28] 这个方面他说的是一个都市圈，
[00:11:31] 它和连接河没有关系，
[00:11:33] 所以材料一我就不看了。
[00:11:35] 然后这个是在说乡村旅游，
[00:11:38] 它和南通和连接也不一致，
[00:11:40] 这个是在说一个社区，
[00:11:42] 它和。
[00:11:43] 男同和也不一样，
[00:11:44] 这个是在说社会化服务和男同和也不一样好吧，
[00:11:48] 这个呢，
[00:11:49] 它是在说特色产业集群和男同和也不一样。
[00:11:53] 你们知道这是哪个地方的题目吗？
[00:11:55] 这是陕西省考的题目，
[00:11:57] 陕西省考呢，
[00:11:58] 它的题目的特色是字数要求比较少。
[00:12:01] 然后呢？
[00:12:01] 题目又比较多，
[00:12:02] 然后比较难，
[00:12:03] 陕西省考，
[00:12:04] 只要你省考考到110分，
[00:12:06] 基本上所有省份都能够上岸。
[00:12:08] 好了，
[00:12:09] 我再接着给大家来看一下，
[00:12:11] 所以这个题目我们只能最后到给定材料六当中啊。
[00:12:16] 去找它最重要的那个就是总论点，
[00:12:19] 还有分论点了好吧，
[00:12:21] 我们一定要把框架搭起来。
[00:12:24] 现在我先带着大家到给定材料的六当中看一下最后的这句话，
[00:12:29] 最后的这句话就是我们刚才。
[00:12:32] 题干当中的这句话，
[00:12:34] 大家看他说，
[00:12:36] 老谭感慨到过去啊，
[00:12:38] 南通河市分界线把两地划分开来。
[00:12:42] 现在啊，
[00:12:42] 南通河是连接带把两地结合起来，
[00:12:46] 各位这个里面如果只出一个最重要的词，
[00:12:49] 大家觉得出什么词？
[00:12:51] 再回答一下，
[00:12:52] 是不是就是出这个连接啊？
[00:12:55] 那么这个连接它是一个什么同学们？
[00:12:59] 它是哪个要素？
[00:13:00] 是不是在说一个对策呀？
[00:13:02] 是在说一个对策吧，
[00:13:04] 没毛病吧？
[00:13:05] 好了，
[00:13:06] 那么我们如果只看题干的话，
[00:13:08] 大概率这个题目我。
[00:13:10] 非常清晰，
[00:13:11] 我就可以把它写成标题，
[00:13:14] 应该等于什么？
[00:13:16] 有没有同学能够告诉我？
[00:13:18] 我会把我整个的思考的过程全部给你，
[00:13:22] 就是一五一十的，
[00:13:23] 就是写下来是不是标题就是在说一个连接啊？
[00:13:28] 所以我们大概率要你标题的话，
[00:13:31] 就是前半句直接写以连接，
[00:13:34] 后面加一个动词加哪个动词比较合适？
[00:13:38] 是不是以连接破题啊？
[00:13:41] 这个同意吧，
[00:13:43] 与以连接破题啊，
[00:13:44] 以连接破题，
[00:13:45] 最终的话呢，
[00:13:47] 我们就直接把这个南通河两岸的把它搞得非非常好了。
[00:13:52] 直接写一个共创。
[00:13:55] 美好。
[00:13:57] 未来如果我们只看这句话的话，
[00:14:00] 而不结合材料的话，
[00:14:01] 我们大概率可以写成这样的一个标题，
[00:14:05] 大家同意不？
[00:14:06] 应该是没有问题的吧，
[00:14:07] 这样的话题干当中的关键词我也照顾到位了，
[00:14:11] 但是我问大家一下这个句话，
[00:14:13] 他本来说的比较虚，
[00:14:15] 所以我们尽量的要结合材料。
[00:14:17] 再去印证一下。
[00:14:19] 现在我就问你们一下，
[00:14:21] 我们总论点，
[00:14:23] 还有我们的分论点，
[00:14:25] 最核心的是找什么要素？
[00:14:27] 同学们，
[00:14:28] 快一点给老师交代评论区。
[00:14:31] 你最重要的一定要把框架给老师拿出来，
[00:14:35] 总论点和分论点是不是就是找对策和影响这两个要素？
[00:14:40] 但是我的脑袋的CPU不够，
[00:14:43] 请问像这种题目，
[00:14:45] 我是要找对策还是要找影响？
[00:14:49] 各位，
[00:14:49] 你当然两个肯定都要找，
[00:14:51] 但是如果只找一个，
[00:14:53] 请问找哪一个是不是要找对策找对策？
[00:14:56] 请问到材料当中要找标志性的词语，
[00:15:00] 找什么标志性的词语，
[00:15:02] 它就回归到我们小题了，
[00:15:04] 是不是要找？
[00:15:05] 动词还有一个事情啊，
[00:15:07] 是不是要找动词和事情？
[00:15:09] 那么我要把动词和事情找出来。
[00:15:12] 好了，
[00:15:12] 这个时候我就问大家下，
[00:15:15] 我要找动词加事情，
[00:15:16] 当然没有问题，
[00:15:18] 我上节课给大家讲了。
[00:15:20] 找分论点的话。
[00:15:21] 最重要的一共有三种阅读方案，
[00:15:25] 第一种阅读方案先从哪里找动词，
[00:15:29] 找事情，
[00:15:30] 先从哪里找对策。
[00:15:31] 是不是通过手段，
[00:15:33] 还有一个尾段，
[00:15:35] 还有什么同学们告诉我，
[00:15:38] 还有一个就近原则，
[00:15:40] 我上节课给大家讲了吧？
[00:15:42] 那么你这样看一看，
[00:15:44] 第二个还可以从什么上面找，
[00:15:47] 如果我们这个最快的做题速度搞不定的话，
[00:15:51] 那没办法，
[00:15:52] 我们只能读每一段的。
[00:15:54] 断首句读每一段的段尾句，
[00:15:56] 还有读每一段的什么词。
[00:15:59] 同学们还记得不？
[00:16:00] 是不是叫？
[00:16:01] 高频词哎，
[00:16:02] 那么接着这是中间的一种做题速度，
[00:16:06] 如果这个也搞不定的话，
[00:16:08] 没办法，
[00:16:09] 我只能一个一句话一句话的去读。
[00:16:12] 从每一句话当中找动词，
[00:16:15] 找事情，
[00:16:16] 然后给我选出一个大哥，
[00:16:18] 这就是三种方案。
[00:16:20] 这节课我给大家说一下，
[00:16:22] 但用第一种方法搞不定了，
[00:16:24] 需要用第二种方法才能搞定好吧，
[00:16:27] 我就每一节课呢，
[00:16:28] 真我们给大家的选题呢，
[00:16:30] 都是要带着大家解决一个核心的问题。
[00:16:33] 好了，
[00:16:33] 大家来给老师一起看一下，
[00:16:36] 我们先用就近原则来看一下，
[00:16:38] 大家看这个就近原则附近，
[00:16:41] 也就是这一句话附近。
[00:16:42] 有没？
[00:16:44] 有什么对策？
[00:16:45] 同学们抓紧时间给老师一起来看一下，
[00:16:48] 那么大家看这个是一个整体的第六个自然段，
[00:16:52] 第六个自然段呢？
[00:16:54] 我们尽量的通过断首句，
[00:16:56] 断尾句。
[00:16:57] 看看能不能找出它的对策？
[00:17:00] 第六个自然段来给我看一下断首句。
[00:17:04] 各位，
[00:17:04] 你们觉得在断首句当中，
[00:17:06] 如果要出现对策的话，
[00:17:09] 是什么对策？
[00:17:10] 这个是一个那么问题清单啊，
[00:17:13] 这个叫下发。
[00:17:14] 这个叫报送，
[00:17:15] 也就是报送整改方案明显，
[00:17:18] 他是在说报送整改方案，
[00:17:20] 然后呢，
[00:17:20] 再来读一下高频词，
[00:17:22] 高频词，
[00:17:23] 大家觉得第六个自然段。
[00:17:25] 出现了哪个高频词？
[00:17:27] 有哪个同学能够给老师看出来是不是叫合长办公室？
[00:17:31] 那么是不是叫合长办公室？
[00:17:34] 是不是叫合掌办好了，
[00:17:36] 还有没有出现合掌办，
[00:17:38] 还有又出现了一个合掌办，
[00:17:40] 大家同意吧，
[00:17:41] 那么接着还有又出现了一个合掌办。
[00:17:45] 所以到这个地方为止。
[00:17:47] 也就是从这儿到这儿，
[00:17:49] 他如果再说一个对策的话，
[00:17:52] 请问是在说哪一个对策？
[00:17:55] 同学们，
[00:17:55] 合掌办前面给老师加一个动词，
[00:17:59] 请问你会加哪一个动词比较合适？
[00:18:03] 各位，
[00:18:03] 是不是叫成立和转判也就可以了？
[00:18:06] 好了，
[00:18:07] 那么再来看一下断尾句部分，
[00:18:09] 除去这句话，
[00:18:10] 断尾句这个是在说一个。
[00:18:13] 最终的结果，
[00:18:14] 那么他没有出现任何的对策，
[00:18:16] 所以你要顺延再往上看，
[00:18:19] 再往上看，
[00:18:20] 他就干了一件事情。
[00:18:21] 那么，
[00:18:22] 这个叫共保廉治，
[00:18:24] 共保廉治这个词呢？
[00:18:26] 它比较大，
[00:18:27] 请问我们共保廉治和？
[00:18:30] 连接是不是能够对的上去，
[00:18:32] 所以大家把共保连治先给老师一起打出来把共保。
[00:18:37] 连志给老师一起打出来，
[00:18:40] 哎，
[00:18:40] 共保连志，
[00:18:41] 它和我们的这个连接就能够做好一个替代了，
[00:18:44] 他说的呢，
[00:18:45] 就是一个解释，
[00:18:47] 就类似于我们的词句理解一样。
[00:18:49] 再往前看，
[00:18:50] 一个叫新建了一座桥，
[00:18:53] 大家把新建桥梁给老师拿出来。
[00:18:56] 好，
[00:18:57] 你看这一段他干的三件事情，
[00:19:00] 我全部把它找出来了。
[00:19:02] 好了，
[00:19:03] 我就这么清晰啊，
[00:19:04] 现在我要问大家一下，
[00:19:06] 大家觉得我们一共找出来了三个对策，
[00:19:10] 第一个对策。
[00:19:11] 成立和掌办第二个对策新建桥梁，
[00:19:14] 第三个对策共保廉治，
[00:19:17] 你觉得这三个都是对策吧？
[00:19:19] 这三个词。
[00:19:20] 它本质上是什么逻辑关系？
[00:19:23] 能不能直接告诉你东哥，
[00:19:25] 它是总分关系？
[00:19:26] 分总关系？
[00:19:27] 总分总关系？
[00:19:28] 并列关系？
[00:19:29] 递进关系？
[00:19:30] 各位，
[00:19:31] 大家看这个是不是一个分这个是不是一个分这个共保联制明显它很大，
[00:19:37] 它是一个总，
[00:19:38] 所以是分总的关系。
[00:19:39] 所以这个可以当成我们的总论点，
[00:19:42] 这个可以当成我们的分论点，
[00:19:44] 这个可以当成我们的分论点，
[00:19:46] 现在清晰了吧？
[00:19:47] 好了，
[00:19:48] 但是我们一般请问大家下写分论点的时候，
[00:19:52] 一般会有几个分论点，
[00:19:54] 能不能告诉我？
[00:19:55] 一般会有几个分类点，
[00:19:57] 是不是大约会有三个分类点还不够还不够，
[00:20:01] 这个时候我们是从其他材料当中去找，
[00:20:04] 还是优先从？
[00:20:06] 题干当中给的这句话材料，
[00:20:08] 它当中去找从其他材料当中去找到打个一从，
[00:20:12] 那么这个材料四当中去找到给老师打材料，
[00:20:15] 这个几当中六当中找到打个二，
[00:20:18] 你会发现二吧？
[00:20:19] 好了，
[00:20:19] 那我们带着大家把这个分论点呢，
[00:20:22] 给大家找一下你下面，
[00:20:24] 你粗读，
[00:20:25] 大家把粗读一定要带着目标意识给老师打出来。
[00:20:30] 初读一定要写目标意识，
[00:20:32] 请问我们的目标是什么？
[00:20:34] 各位，
[00:20:34] 你的目标是什么？
[00:20:36] 你的目标是找分论点，
[00:20:38] 找分论点。
[00:20:39] 但是你们的智商呢，
[00:20:40] 和东哥差不多，
[00:20:41] 最重要的是找哪个要素，
[00:20:43] 是不是要找对策呀？
[00:20:45] 好了，
[00:20:45] 那我们就给大家找对策，
[00:20:47] 一句话一句话找。
[00:20:48] 依然是读每一段的段首句段尾句读段首句，
[00:20:53] 请问大家来看一下这一段的段首句有没有出现任何的对策？
[00:20:59] 抓紧时间给老师看出来，
[00:21:01] 叫做南通和尚哎，
[00:21:02] 这里边没有出现任何的对策，
[00:21:04] 直接叉掉，
[00:21:05] 这是对南通河的一个介绍，
[00:21:07] 说明你不知道，
[00:21:08] 还以为猪八戒要来了呢。
[00:21:10] 好了，
[00:21:11] 再来看一下断尾句，
[00:21:13] 这个断尾句请问有没有出现任何的对策？
[00:21:18] 抓紧时间告诉我，
[00:21:20] 你会发现强度高，
[00:21:22] 有限消耗大，
[00:21:23] 突出特征明显，
[00:21:24] 没有出现任何的对策，
[00:21:27] 都是在讲一个背景或者是问题。
[00:21:30] 所以第一段是什么段落？
[00:21:32] 同学们告诉我，
[00:21:33] 第一段是不是可以代表一个背景段呀？
[00:21:37] 好了，
[00:21:37] 我问大家一下，
[00:21:39] 这个背景段。
[00:21:40] 如果待会我们写开头的时候不会写，
[00:21:44] 可以可不可以从第一段这个背景段当中去摘抄一些字去作为我们的一个开头？
[00:21:51] 你们觉得可以不？
[00:21:52] 没有枪，
[00:21:53] 没有炮，
[00:21:53] 敌人给我们送啊，
[00:21:55] 没有枪，
[00:21:55] 没有炮，
[00:21:56] 材料给我们送啊，
[00:21:58] 好了，
[00:21:58] 大家再来看一下，
[00:21:59] 第二个自然段。
[00:22:01] 第二个自然段，
[00:22:02] 请问这一个问号，
[00:22:04] 它是代表设问还是代表疑问？
[00:22:07] 还是代表反问？
[00:22:08] 同学们，
[00:22:09] 你们回到小学时候。
[00:22:11] 这个是不是代表一个设问呢？
[00:22:14] 那么这个设问，
[00:22:16] 请问大家一下如何做好生态环境跨域治理哎？
[00:22:21] 也就是下面我虽然没有读，
[00:22:23] 我下面知道你所说的所有的事情都是在说生态环境跨域治理，
[00:22:30] 别着急那么。
[00:22:31] 看一下半首句到底是怎么做的呢？
[00:22:34] 我们知道我们要找对策，
[00:22:36] 找分论点出现了一个坚持。
[00:22:38] 出现了一个跳出，
[00:22:40] 出现了一个建立，
[00:22:42] 各位我没有办法全部都写，
[00:22:45] 我只保留一个是保留，
[00:22:47] 坚持是保留，
[00:22:48] 跳出是保留。
[00:22:50] 建立共保廉治体系，
[00:22:52] 告诉我保留哪个动词，
[00:22:54] 那么是不是肯定是保留建立？
[00:22:57] 为什么保留建立？
[00:22:59] 能不能告诉我是因为这三句话，
[00:23:02] 它本质上的逻辑关系是递进的逻辑关系，
[00:23:05] 也就是第三句话才是最重要的那个词，
[00:23:09] 明白了吗？
[00:23:09] 第三句话。
[00:23:10] 才是他最想说明的那个词，
[00:23:13] 所以建立共保廉治体系好了，
[00:23:16] 那我再来看一下断尾句。
[00:23:18] 断尾句我们大家下协同立法出台条例。
[00:23:24] 我问大家一下，
[00:23:26] 协同立法出台条例，
[00:23:28] 这个时候如果只出只保留一个词的话，
[00:23:32] 大家觉得保留哪个词？
[00:23:34] 如果是我的话，
[00:23:36] 我会保留协同。
[00:23:38] 立法，
[00:23:39] 大家同意吧，
[00:23:41] 上一个保留。
[00:23:43] 建立。
[00:23:45] 共保。
[00:23:48] 李恩智。
[00:23:51] 体系，
[00:23:51] 请问大家下这一段第二段前面一句话和后面一句话段首句和段尾句呈现了一个什么样的逻辑关系？
[00:24:02] 有没有同学能够告诉我哎，
[00:24:04] 你就告诉我第二段它是一个什么样的逻辑关系，
[00:24:07] 是不是总分呢？
[00:24:09] 那么这个总的。
[00:24:10] 建立共保廉治体系，
[00:24:12] 能不能作为我们的总论点能吧好了，
[00:24:16] 然后他就可以把。
[00:24:17] 跨域治理给做好，
[00:24:19] 能不能作为我们的总论点能吗？
[00:24:22] 所以我们的标题这个时候已经出来了。
[00:24:26] 这个时候我就对标题有了更加清晰的认知，
[00:24:30] 所以大家一起写叫以。
[00:24:33] 共保。
[00:24:35] 联制。
[00:24:37] 干什么？
[00:24:38] 同学们破题。
[00:24:41] 后面请同学们给老师说一+1个影响，
[00:24:45] 这个影响基本上先不要自己想，
[00:24:48] 一定尽量用。
[00:24:49] 材料当中的原词原句叫绘就。
[00:24:54] 我想把跨域治理给用上去会就。
[00:24:58] 跨越。
[00:25:01] 治理。
[00:25:04] 新图景或者是新片都是可以的啊，
[00:25:09] 新图景。
[00:25:10] 现在大家清晰了吧，
[00:25:12] 各位，
[00:25:12] 你看只要你按照东哥的方法去做，
[00:25:14] 你做的时候会非常有安全感的，
[00:25:17] 你做完了你就知道你考上了好吧，
[00:25:19] 那么我们再接着给大家来看一下。
[00:25:21] 第三个自然段，
[00:25:23] 它应该怎么写？
[00:25:24] 第三个自然段，
[00:25:25] 我们依然读一下断首句，
[00:25:27] 它在说什么？
[00:25:28] 它在说一个联动。
[00:25:30] 好了，
[00:25:30] 我们再来看一下这个断尾句，
[00:25:33] 断尾句它是在说一个问题，
[00:25:35] 哎，
[00:25:35] 没有出现任何的具体的对策，
[00:25:37] 这个对策就是联动，
[00:25:39] 但是这个联动呢，
[00:25:40] 加了引号到底怎么联动呢？
[00:25:43] 那么，
[00:25:43] 这个看到这个你应该知道它是一个什么词语？
[00:25:47] 同学们，
[00:25:47] 抓紧时间告诉我，
[00:25:49] 看到这个你应该知道它是什么词语？
[00:25:51] 这个它是对上文的指代，
[00:25:54] 所以第三第四两个自然段一定要进行一个。
[00:25:59] 合并吧，
[00:25:59] 一定要进行一个合并吧，
[00:26:01] 好了大家再来接着往下走，
[00:26:03] 别着急，
[00:26:04] 标题为什么从第二段出，
[00:26:05] 你待会再听，
[00:26:06] 你先你先把这个弄完了，
[00:26:08] 我待会再跟你说。
[00:26:09] 大家来看一下，
[00:26:11] 拿到它之后依然读一下断首句，
[00:26:14] 这个时候就要签订共保联制备忘录，
[00:26:18] 统一政策。
[00:26:19] 开展联合执法，
[00:26:21] 请问这三个词保留哪个词作为最终的答案？
[00:26:27] 作为最终的对策？
[00:26:29] 你们有没有同学能够告诉我，
[00:26:31] 是不是要保留最后的开展联合执法啊？
[00:26:35] 所以大家一起写下来叫联合。
[00:26:39] 执法给老师一起打下来。
[00:26:42] 好了，
[00:26:42] 再来看一下断尾句，
[00:26:44] 断尾句呢，
[00:26:45] 它是说那么我们的一个结果，
[00:26:48] 开展协同打击，
[00:26:50] 协同打击，
[00:26:51] 还是在说一个结果？
[00:26:53] 它是指联合执法的结果，
[00:26:55] 不用管了，
[00:26:56] 所以这个时候我们这一个PPT里边出现了一个总的对策，
[00:27:02] 这个总的对策。
[00:27:03] 请问同学们是哪个总的对策？
[00:27:06] 总的对策，
[00:27:07] 它就是建立共保廉治体系分的对策，
[00:27:10] 第一个叫协同立法，
[00:27:12] 第二个叫联合执法。
[00:27:14] 这个大家觉得可以过的话，
[00:27:16] 就给老师打个过我们这节课，
[00:27:19] 大部分的时间用来把材料理清楚好吧，
[00:27:22] 理清楚先把它过掉好了，
[00:27:24] 我们。
[00:27:24] 就是在这一页当中的话呢，
[00:27:27] 我们一共找出来了几个分论点，
[00:27:29] 第二个当中我们找出来了一个。
[00:27:32] 共保连治，
[00:27:33] 然后呢，
[00:27:34] 第二个后半句我们找出来了一个协同立法。
[00:27:39] 第三个当中的话呢，
[00:27:41] 我们找出来了一个联动，
[00:27:43] 第四个里边这个我们找出来了一个。
[00:27:47] 联合执法是吧？
[00:27:48] 这个协同打击也是属于联合执法，
[00:27:52] 请问这一段？
[00:27:54] 这一篇材料当中就是你们觉得哪一个是一个总是不是共保联制是一个总啊？
[00:28:01] 再来看一下协同立法和。
[00:28:05] 协同立法，
[00:28:06] 它是一个分大家一起写协同立法，
[00:28:10] 它是一个分还找了一个什么，
[00:28:13] 还找了一个联合执法。
[00:28:15] 它也是一个分，
[00:28:16] 这个没有问题吧，
[00:28:18] 你们觉得这个可以过的话，
[00:28:20] 就给老师打个过，
[00:28:21] 我们也就直接把它过掉了，
[00:28:23] 行吧？
[00:28:23] 就是这一页的话呢PPT当中，
[00:28:26] 它出现了一个共保联制，
[00:28:28] 然后出现了一个协同立法，
[00:28:31] 出现了一个联合执法。
[00:28:33] 下面我们再带着大家一起往下走，
