[00:00:00] 在电视上看什么嘴，
[00:08:00] 如果在考试的时候他没有给我们明确的说，
[00:08:04] 让你写成侧论文或者正论文。
[00:08:07] 他只是给我们说要求写成议论文，
[00:08:10] 或写成一篇文章，
[00:08:11] 大家觉得我们应该写成第一种，
[00:08:14] 第二种还是第三种，
[00:08:16] 哪一种更好一些？
[00:08:17] 记住了，
[00:08:18] 一共一定是写成第三种更好一些，
[00:08:21] 第三种呢，
[00:08:22] 它叫议论文，
[00:08:23] 但是我再问大家一下，
[00:08:25] 你觉得第一种。
[00:08:27] 能不能叫益乐丸？
[00:08:28] 第一种也可以叫益乐丸，
[00:08:30] 第二种能不能叫正乐丸也能不能叫益乐丸也可以叫益乐丸。
[00:08:35] 都是可以进一六班，
[00:08:37] 但是呢？
[00:08:38] 如果题干当中明确的让你写成侧着玩，
[00:08:41] 你的分论点的形式就要写成这种模式，
[00:08:44] 如果题干当中明确的让你写成正着玩，
[00:08:48] 你的分论点的模式。
[00:08:49] 就要写成这种模式，
[00:08:51] 大家觉觉得可以过的话，
[00:08:53] 给老师打个过好吧，
[00:08:55] 我问大家一下，
[00:08:56] 你们觉得侧着玩。
[00:08:57] 还有一个正论文，
[00:08:59] 有没有本质的区别？
[00:09:01] 哎，
[00:09:01] 我们上课之前认真的思考一下，
[00:09:04] 你觉得有没有本质的区别？
[00:09:07] 我觉得没有，
[00:09:08] 比如说我想把这个题目变成一个。
[00:09:11] 我想把这个分论点变成一个侧耳闻，
[00:09:15] 应该怎么办？
[00:09:16] 我就把这个有利于给删掉，
[00:09:19] 变成一个需要。
[00:09:21] 增进人民的。
[00:09:24] 幸福水平，
[00:09:25] 这样它就直接能够变成一个侧漏纹，
[00:09:28] 现在大家能够听明白了吗？
[00:09:31] 能够听明白的话，
[00:09:32] 给老师敲个一，
[00:09:34] 我给大家说一下，
[00:09:35] 有的时候正论文和侧论文只是表述的不一样，
[00:09:39] 正论文它主要侧重于在说。
[00:09:42] 影响。
[00:09:43] 测论文主要在说对策，
[00:09:45] 现在听清楚了吧？
[00:09:47] 好了，
[00:09:48] 那我们这节课要给大家讲的是。
[00:09:51] 分论点的润色有没有？
[00:09:54] 同学觉得平常写收敛的时候有点干巴巴的。
[00:09:59] 没有任何的呃，
[00:10:00] 这种哎，
[00:10:01] 就是哎，
[00:10:01] 文采有这种同学吗？
[00:10:03] 我们这节课就是要解决大家的文采问题，
[00:10:07] 因为你只有有了文采你才能够。
[00:10:09] 进行一个提分好，
[00:10:11] 绝大多数同学呢，
[00:10:13] 现在都是这种模式，
[00:10:15] 我们原来为什么要给大家？
[00:10:18] 特意讲一个润色，
[00:10:19] 因为我以前呢，
[00:10:20] 有一个领导，
[00:10:21] 这个领导呢，
[00:10:22] 很厉害，
[00:10:23] 你给他任何的文章，
[00:10:25] 他把这个文章呢拿过来一看。
[00:10:27] 他就给你稍稍的修改几句，
[00:10:29] 它主要是修改的是标题，
[00:10:32] 还有小标题，
[00:10:33] 稍微的加几个词立马就不一样了，
[00:10:36] 我这个领导呢？
[00:10:37] 一开始就是做秘书出身的，
[00:10:40] 后来的话呢，
[00:10:41] 做成了一个正部级的领导，
[00:10:43] 还是非常厉害的啊，
[00:10:45] 我非常的。
[00:10:46] 羡慕他，
[00:10:46] 我以前也在是在体制内工作过的哈，
[00:10:49] 我就说我这个领导，
[00:10:50] 我对他的印象很深刻，
[00:10:52] 好了，
[00:10:52] 废话不多说，
[00:10:53] 我们来看一看，
[00:10:54] 应该怎么把它搞定？
[00:10:56] 大家来看一下这个题目，
[00:10:59] 我问你们一下就是。
[00:11:01] 先来看一下总论点加对策的，
[00:11:03] 给大家举几个例子，
[00:11:05] 推动农业高质量发展，
[00:11:06] 要走质量兴农之路，
[00:11:08] 推动农业高质量发展，
[00:11:10] 要走绿色兴农之路。
[00:11:11] 推动农业高质量发展，
[00:11:13] 要走品牌兴农之路，
[00:11:15] 这是总论点。
[00:11:16] 这一排就是对策好，
[00:11:18] 加强网络治理需要，
[00:11:20] 完善法律法规。
[00:11:21] 加强网络治理，
[00:11:22] 需要强化平台宣传，
[00:11:24] 也是总论点加对策。
[00:11:26] 实现乡村振兴，
[00:11:28] 是总论点，
[00:11:29] 需要重新出发。
[00:11:30] 是对策凝聚人心，
[00:11:32] 也是对策是对从心出发的解释，
[00:11:35] 说明拉近民心，
[00:11:37] 它是一个影响。
[00:11:38] 好吧，
[00:11:39] 那么这个时候还有打好利利率组合拳，
[00:11:42] 需要在力上下功夫，
[00:11:44] 这个是总论点，
[00:11:45] 这个是对策。
[00:11:47] 这个是一个对他对策的解释，
[00:11:49] 说明这个是一个影响，
[00:11:51] 那么我们带着大家来看一下，
[00:11:53] 应该怎么把它搞定？
[00:11:55] 大家看这个总论点加对策，
[00:11:58] 我们给大家加了三个字，
[00:12:00] 大家觉得有没有和刚才的感觉有点不一样？
[00:12:05] 各位，
[00:12:05] 你觉得加了这三个字有没有一点润色的感觉？
[00:12:10] 文采有没有有一点提升的感觉？
[00:12:13] 有吗？
[00:12:13] 是有吗？
[00:12:14] 你看啊，
[00:12:15] 就是你平常你自己写的时候呢，
[00:12:18] 你只能写推动农业质量高质量发展，
[00:12:21] 我们需要呃呃做到。
[00:12:23] 我们需要什么哎，
[00:12:24] 进行质量兴农，
[00:12:25] 我们需要进行绿色兴农，
[00:12:27] 我们需要进行品牌兴农，
[00:12:29] 这样就是干巴巴。
[00:12:31] 但是我后面给它加一组词语，
[00:12:34] 哎，
[00:12:34] 大家觉得是否会好一些，
[00:12:36] 就是你再来看一下我推动农业高质量发展，
[00:12:40] 我们需要进行质量兴农。
[00:12:42] 和推动农业质高质量发展，
[00:12:44] 我们需要在质量性能上动真格。
[00:12:47] 请问大家下。
[00:12:48] 哪一句话让你感觉更有文采？
[00:12:50] 我们需要进行质量兴农，
[00:12:53] 有文采的打个一，
[00:12:54] 我们需要在质量兴农上动真格，
[00:12:57] 打个二。
[00:12:58] 是不是加了这组词也就可以了，
[00:13:01] 所以啊，
[00:13:02] 我就给大家准备了很多的这种词。
[00:13:05] 然后呢？
[00:13:05] 这种词呢？
[00:13:06] 有两个的字的，
[00:13:08] 有三个字的，
[00:13:09] 还有四个字的，
[00:13:10] 我们来看一下能不能把它给我们直接让你的答案就？
[00:13:15] 包装一下，
[00:13:16] 大家看我们还是用质量兴农来看一下这个词。
[00:13:21] 大家看，
[00:13:22] 就是推动农业高质量发展，
[00:13:25] 我们需要以质量兴农为先导，
[00:13:27] 大家觉得比我们需要进行质量兴农，
[00:13:31] 这是两个字的。
[00:13:32] 我们需要以质量兴农为抓手，
[00:13:35] 我们需要以质量兴农为纽带，
[00:13:37] 我们需要以质量兴农为基础，
[00:13:40] 我们需要以质量兴农为主厨，
[00:13:42] 我们希望以质量兴农为导向。
[00:13:44] 大家觉得可以不？
[00:13:46] 我们需要以质量兴农为支撑，
[00:13:48] 为保障为重点，
[00:13:50] 我们需要。
[00:13:51] 哎，
[00:13:51] 这个用不上，
[00:13:52] 你就不用用啊，
[00:13:53] 我给你准备的这些素材都是够用的，
[00:13:56] 这是两个字的，
[00:13:58] 加一个小尾巴，
[00:13:59] 你就会把它给我润色的比较好。
[00:14:02] 好了，
[00:14:02] 再来给大家一起往下走，
[00:14:05] 大家来看一下下面的这一个各位用do这几个词来表示，
[00:14:10] 大家觉得怎么办？
[00:14:12] 我们需要。
[00:14:13] 加大质量性能的力度，
[00:14:15] 我们需要增加，
[00:14:16] 我们需要提升质量性能的强度，
[00:14:19] 哎，
[00:14:19] 也就可以了，
[00:14:20] 不一定能够全部用得上。
[00:14:22] 你背几组这种词？
[00:14:24] 这是两个字的，
[00:14:25] 我给大家准备好了，
[00:14:27] 好了我再给大家一起往下看，
[00:14:29] 大家看一下下面的这个这个题目。
[00:14:32] 三个字的，
[00:14:33] 你们在平常写作的时候，
[00:14:35] 大家觉得你喜欢用两个字的，
[00:14:37] 还是喜欢用三个字的？
[00:14:39] 同学们敲在评论区，
[00:14:41] 我看一下大家的选择。
[00:14:43] 啊，
[00:14:43] 我跟你们一样，
[00:14:44] 我也比较喜欢用三个字的，
[00:14:47] 大家看我，
[00:14:47] 我们需要在质量兴农上做文章，
[00:14:50] 我们需要在质量兴农上谋突破，
[00:14:53] 我们需要以质量兴农做引领。
[00:14:55] 我们需要在质量，
[00:14:56] 性能上下功夫，
[00:14:58] 在质量，
[00:14:58] 性能上求实效，
[00:14:59] 我们需要在指定一性，
[00:15:01] 质量，
[00:15:02] 性能做动力，
[00:15:02] 我们需要以质量，
[00:15:04] 性能，
[00:15:04] 动真格。
[00:15:05] 我们需要在质量性能上见真章啊，
[00:15:08] 我们需要以质量性能做支撑，
[00:15:11] 现在大家清晰了不？
[00:15:12] 各位清晰了吧？
[00:15:14] 我我们需要在质量兴农上再提升，
[00:15:17] 在质量兴农上再发力，
[00:15:19] 在质量兴农上再冲锋。
[00:15:21] 各位，
[00:15:21] 大家看那么推动农业高质量发展，
[00:15:24] 我们需要吹响质量兴农的冲锋号，
[00:15:27] 推动农业高质量发展，
[00:15:29] 我们需要联想质量兴农的决胜股。
[00:15:32] 推动高质量发展，
[00:15:34] 我们需要畅享绿色性能的进行曲。
[00:15:36] 请问大家下可以不？
[00:15:38] 那有没有同学担心会和别人重啊？
[00:15:41] 有多少同学担心会和别人重了，
[00:15:44] 各位这个时候为了让大家不重复，
[00:15:47] 我专门给大家准备了30组词语。
[00:15:50] a3十三三十×29×28，
[00:15:54] 大家看一下子几千种写法，
[00:15:57] 几千种模模板套路又来了，
[00:16:00] 你看我们需要。
[00:16:01] 在质量兴农上出实招，
[00:16:03] 我们需要在质量兴农上求实效，
[00:16:05] 我们需要在质量兴农上顾根基，
[00:16:08] 我们需要在质量兴农上抓落实，
[00:16:10] 我们需要在质量兴农上。
[00:16:12] 求实干，
[00:16:13] 我们需要在质量行动上优服务，
[00:16:15] 我们需要在质量行动上树标杆，
[00:16:18] 大家觉得可以不？
[00:16:19] 可以不？
[00:16:20] 各位就是这节课很简单，
[00:16:22] 课时也非常的短，
[00:16:24] 这节课东哥真的不是为了坑你钱，
[00:16:27] 这节课就是买的是一个研发。
[00:16:30] 哎，
[00:16:30] 你自己准备这些词呢，
[00:16:32] 你可能准备不了，
[00:16:33] 东哥给你准备好了，
[00:16:35] 够意思吗？
[00:16:36] 好了，
[00:16:36] 有的同学说老师为什么不是c33？
[00:16:39] c33要30×29×28再除以三×2×1，
[00:16:46] 兄弟们。
[00:16:47] 这这个是顺序变化，
[00:16:50] 我们这个顺序。
[00:16:52] 随意变化。
[00:16:53] 不影响的，
[00:16:54] 明白了吧？
[00:16:55] 就是你把它放在一放在二放在三是一种，
[00:16:59] 你把它放在二上，
[00:17:01] 在一放在三还是两种，
[00:17:03] 不用担心。
[00:17:04] 好吗？
[00:17:04] 同学们，
[00:17:05] 你不要跟我说，
[00:17:06] 就是像我讲数量关系，
[00:17:08] 各位。
[00:17:09] 20多年前，
[00:17:10] 我在华图当老师的时候，
[00:17:12] 一开始就是讲数量关系的，
[00:17:14] 那时候你们还在穿尿不湿啊，
[00:17:17] 这个真的不是给大家吹牛。
[00:17:19] 啊，
[00:17:19] 那个时候的话呢，
[00:17:21] 有一个叫YY的平台，
[00:17:22] 我在上面，
[00:17:23] 那时候讲数量关系，
[00:17:24] 哎呀，
[00:17:25] 每天晚上两三千人，
[00:17:26] 我是上古时期的网红啊，
[00:17:28] 你们现在看到的。
[00:17:30] 很多老师基本上我上课的时候，
[00:17:32] 他们那时候还小，
[00:17:33] 知道吧，
[00:17:34] 我真的不是给大家呃说说着玩的，
[00:17:36] 也不是给你们吹牛的，
[00:17:38] 真的兄弟们。
[00:17:38] 好不好？
[00:17:39] 咱曾经也是华图的二把手，
[00:17:42] 各位，
[00:17:42] 所以我有的时候我就说你甚至不愿意喊我一声高的发子oh my god，
[00:17:48] 有的同学说oh my god都跟你吹牛。
[00:17:51] 各位，
[00:17:52] 我的年龄比你们大，
[00:17:53] 只是天天用美颜，
[00:17:55] 你们觉得我好像很年轻似的，
[00:17:57] 哈哈哈，
[00:17:57] 各位，
[00:17:58] 我一直在欺骗大家，
[00:17:59] 不过呢，
[00:18:00] 我给大家说一下，
[00:18:01] 我除了在用美颜，
[00:18:02] 这这这个世界上。
[00:18:04] 这个事情上对不起我的学生，
[00:18:06] 其他我觉得我对你们是问心无愧的好吗？
[00:18:09] 同学们好了，
[00:18:10] 我问大家一下，
[00:18:11] 请问我给你们准备了这么多的东西，
[00:18:14] 你们接下来要怎么办？
[00:18:15] 哪位同学可以告诉我，
[00:18:17] 我给你们准备了那么多的东西，
[00:18:20] 讲完课之后要怎么办？
[00:18:21] 同学们给老师打在评论区不背是小狗啊。
[00:18:25] 我最怕的大家就是不背这节课，
[00:18:27] 就是给大家讲课的时间段，
[00:18:29] 但是要你背诵的东西比较多，
[00:18:32] 你如果记忆力差，
[00:18:33] 你就背三组，
[00:18:34] 如果你记忆力好，
[00:18:36] 你就背五组。
[00:18:37] 我并不需要你背多少我，
[00:18:38] 但是我没有办法，
[00:18:40] 因为我的学生多，
[00:18:41] 我需要给大家准备足够多的，
[00:18:43] 这种变化的方式行吧？
[00:18:45] 好了，
[00:18:45] 有的同学已经投降了，
[00:18:47] 说旺旺旺好吧好了。
[00:18:49] 给大家展示几个例子，
[00:18:51] 大家看需要我们在科技技术空间上破瓶颈，
[00:18:55] 需要我们在。
[00:18:56] 创新生态，
[00:18:57] 构建上强协同，
[00:18:58] 需要我们在成果转化应用上其失效。
[00:19:01] 我问大家下，
[00:19:02] 如果你在考试的时候，
[00:19:03] 你能够写出这样的三个分论点，
[00:19:06] 你觉得你满意不？
[00:19:07] 你能够把分类点包装成这个样子，
[00:19:10] 满意不应该满意吧？
[00:19:11] 如果是乡村振兴的，
[00:19:13] 你看你写三个分类点，
[00:19:14] 第一个分类点需要我们在产业融合发展上拓路径。
[00:19:18] 需要我们在人才引用玉理上建机制，
[00:19:21] 需要我们在。
[00:19:22] 集体经济壮大上求突破多好啊，
[00:19:26] 下面出实招助根基闯新路，
[00:19:29] 你自己随便选择聚合力。
[00:19:32] 提质效，
[00:19:33] 见实效。
[00:19:34] 补短板，
[00:19:35] 惠民生，
[00:19:36] 兜底线，
[00:19:37] 你看给你准备的这些素材绝对够大家100万种组合是没有问题的。
[00:19:44] 大家看作减法求精度，
[00:19:47] 严监管，
[00:19:48] 促流动，
[00:19:49] 提素质，
[00:19:51] 强执行。
[00:19:52] 谋创新，
[00:19:53] 塑品牌，
[00:19:54] 挖潜力，
[00:19:55] 助屏障，
[00:19:56] 勇攀风。
[00:19:57] 破壁垒，
[00:19:58] 动真招，
[00:19:59] 惠民生，
[00:19:59] 强联动，
[00:20:00] 你觉得给你准备的这些可以吗？
[00:20:03] 各位，
[00:20:04] 你觉得可以吗？
[00:20:05] 好了，
[00:20:05] 再接着往下走。
[00:20:07] 建体系重统筹求高效，
[00:20:10] 拓空间，
[00:20:11] 暖民心，
[00:20:13] 守初心，
[00:20:14] 抢先机，
[00:20:15] 抢精准。
[00:20:16] 筑底线，
[00:20:17] 动真格，
[00:20:18] 严规范，
[00:20:19] 提质效，
[00:20:20] 扩内需，
[00:20:21] 提质态，
[00:20:22] 护权益，
[00:20:23] 各位这些东西。
[00:20:24] 不需要你全背，
[00:20:26] 能够把它选三组，
[00:20:27] 我觉得也就可以了，
[00:20:28] 好那有的同学说老师还不够说，
[00:20:31] 我觉得你的学生多，
[00:20:32] 你能不能给我们准备成200万种组合？
[00:20:36] 大家觉得可以吗？
[00:20:38] 你看假如说你的对策叫质量兴农，
[00:20:42] 大家来看一下，
[00:20:44] 我们需要打造。
[00:20:46] 质量兴农的强引擎，
[00:20:48] 我们需要把牢绿色兴农的方向标，
[00:20:51] 我们需要建起品牌兴农的高架桥。
[00:20:55] 大家觉得还满意不？
[00:20:56] 你甚至看到这么多的词语，
[00:20:58] 你甚至都不愿意像那个教父电影里面那句经典台词，
[00:21:02] 你甚至都不愿意喊我一声教父。
[00:21:05] oh my god，
[00:21:06] 各位，
[00:21:06] 不要被这些吓倒，
[00:21:08] 我只是为了大家防止重复，
[00:21:11] 记忆力不好的背三组。
[00:21:14] 记忆力好的背五组足够你考试的时候用了行吗？
[00:21:18] 同学们好，
[00:21:19] 再接着往下走那么。
[00:21:21] 三个字的，
[00:21:22] 完了再给大家准备四个字，
[00:21:25] 请问大家一下，
[00:21:26] 推动质量兴农，
[00:21:28] 不是推动农业高质量发展，
[00:21:30] 需要我们在。
[00:21:31] 把质量兴农放在心上，
[00:21:33] 大家觉得可以吗？
[00:21:34] 需要我们把品牌兴农抓在手上，
[00:21:37] 需要我们把绿色兴农扛在肩上行吗？
[00:21:40] 好需要我们在质量性能上提质增效，
[00:21:43] 需要我们在质量绿色性能上久久为功，
[00:21:47] 需要我们在品牌性能上做优做强，
[00:21:50] 需要我们在质量性能上。
[00:21:52] 真抓实干，
[00:21:53] 需要我们在绿色兴农上持续发力，
[00:21:56] 需要我们在品牌兴农上精耕细作。
[00:21:59] 请问大家可以不？
[00:22:00] 可以不可以的话就给老师打个过，
[00:22:03] 各位我给你准备了足够多的组合，
[00:22:06] 这个时候如果你想自己准备，
[00:22:08] 你就自己准备，
[00:22:09] 不想自己准备，
[00:22:10] 你就用我的。
[00:22:11] 也能够避免大家不会雷同，
[00:22:14] 不会重复大家不用担心好吗好？
[00:22:18] 大家觉得这一个可以过的话，
[00:22:20] 就给老师打个过。
[00:22:22] 各位，
[00:22:22] 你们觉得可以过的话就给老师打个过，
[00:22:25] 我们也就把它过掉了，
[00:22:27] 好我们再接着给大家一起往下走。
[00:22:29] 大家看还有一种的话呢，
[00:22:32] 它是正论文正论文呢，
[00:22:34] 它主要是侧重于说影响的。
[00:22:37] 什么叫错？
[00:22:38] 侧重于说影响呢？
[00:22:39] 我给大家举个例子，
[00:22:41] 比如说做好民生小事，
[00:22:43] 有利于增进人民的幸福水平。
[00:22:45] 请问大家一下，
[00:22:47] 这句话是在说对策。
[00:22:48] 还是在说影响哪位同学可以告诉我是不是它重点是在说一个影响啊？
[00:22:56] 这个影响各位，
[00:22:57] 我能不能把它润色一下呢？
[00:23:00] 我觉得是完全没有问题的，
[00:23:03] 你看啊。
[00:23:03] 就是民生小数有第一个好处，
[00:23:06] 民生小数有第二个好处，
[00:23:08] 民生小事有第三个好处。
[00:23:10] 执法为民有第一个好处，
[00:23:13] 执法为民有第二个好处，
[00:23:15] 那么我们来看一下民生小数对于。
[00:23:18] 人民群众的幸福水平，
[00:23:20] 假如说我后面加上奠基石，
[00:23:23] 定盘星，
[00:23:24] 新引擎，
[00:23:24] 大家觉得可以不？
[00:23:26] 你只要能够记住这三句话，
[00:23:29] 比如说奠基石，
[00:23:30] 定盘星，
[00:23:31] 我们随便往上套，
[00:23:32] 大家来看一下。
[00:23:34] 我们可以把它写成做好民生小事，
[00:23:38] 是增进人民幸福水平的奠基石。
[00:23:42] 大家一起写。
[00:23:44] 电机时。
[00:23:46] 好做好民生小事是提升政务服务质量的定盘星。
[00:23:53] 大家觉得可以不？
[00:23:55] 各位这些东西啊，
[00:23:56] 就是你自己随便润色，
[00:23:58] 但是我这个题目如果想倒过来说，
[00:24:02] 我就说啊。
[00:24:03] 增进人民。
[00:24:04] 的幸福水平是做好民生小事的奠基石，
[00:24:08] 请问可以不？
[00:24:10] 也是可以的，
[00:24:11] 提升政府的服务质量。
[00:24:14] 是做好民生小事的定盘星，
[00:24:16] 可以不？
[00:24:16] 你不管正过来反过去，
[00:24:18] 像这样的词都是可以加的，
[00:24:21] 这是没有问题的。
[00:24:22] 现在听懂了啊，
[00:24:23] 一定把它给我搞定，
[00:24:24] 你把它给我记下来，
[00:24:26] 书没有印错，
[00:24:27] 然后呢，
[00:24:27] 我只是书上给大家讲的一种例子，
[00:24:30] 我防止大家呢是看不懂。
[00:24:32] 大家再来看一下，
[00:24:33] 就是这个词，
[00:24:35] 你可以把分论点是总论点的一个加上去，
[00:24:39] 也可以把总论点加上分论点加上去。
[00:24:42] 它反过来正过去，
[00:24:44] 只要你通顺都是可以的，
[00:24:46] 我现在清晰了吗？
[00:24:48] 同学们现在清晰了吗？
[00:24:50] 各位，
[00:24:50] 我再给大家再说一遍啊。
[00:24:52] 大家来看一下，
[00:24:54] 做好民生小事是有利于是增进人民幸福水平的定盘星。
[00:25:01] 反过来可不可以增进人民的幸福水平，
[00:25:05] 是做好民生小事的定盘星，
[00:25:08] 可以不也是可以的啊。
[00:25:10] 只要你说的合情合理也就可以了，
[00:25:13] 好了，
[00:25:13] 下面助推器压舱石新引擎全部给大家准备好了啊，
[00:25:17] 有的同学说老师你知道什么叫定盘星吗？
[00:25:20] 我不知道，
[00:25:21] 我就是把它背下来。
[00:25:22] 就可以了，
[00:25:23] 如果我们不想用这三个字的，
[00:25:26] 请问大家一下用四个字的可以不？
[00:25:29] 用四个字的可以不好了，
[00:25:31] 我们来看一下怎么用四个字的？
[00:25:34] 大家来看一下三个字的，
[00:25:36] 那么如果你怕重复的话，
[00:25:38] 我还给你准备了很多压舱石，
[00:25:41] 电机，
[00:25:41] 石顶，
[00:25:42] 梁柱，
[00:25:42] 比如说。
[00:25:43] 就是把定盘星改成这些东西，
[00:25:46] 现在能把它背下来了吗？
[00:25:48] 我给你准备的这些呢，
[00:25:50] 是足够你用着的。
[00:25:51] 好，
[00:25:52] 我再给大家来看一下。
[00:25:54] 那么是牛鼻子突破口，
[00:25:56] 切入点，
[00:25:57] 也给大家准备好了，
[00:25:58] 这些大家就自己选择，
[00:26:00] 也就可以了，
[00:26:01] 好吧？
[00:26:02] 接着我就给大家来看一下，
[00:26:04] 如果换成四个字的，
[00:26:06] 大家觉得可以不？
[00:26:07] 换成四个字的，
[00:26:08] 大家可以吗？
[00:26:10] 登山之所，
[00:26:10] 开山之镐，
[00:26:11] 寻静之图来看一下，
[00:26:13] 大家看。
[00:26:14] 假如说我掌握了这四个词。
[00:26:16] 登山。
[00:26:18] 之所。
[00:26:21] OK，
[00:26:21] 第二个是开山之镐。
[00:26:25] 第三个还有没有同学记得是什么循镜？
[00:26:30] 制图哎，
[00:26:31] 一起把它写下来好了，
[00:26:33] 大家看，
[00:26:34] 假如说你用了这四个组的储备，
[00:26:37] 你就做好名胜小事，
[00:26:38] 是增进人民。
[00:26:40] 幸福水平的登山之所做好民生小事，
[00:26:43] 是提升政府服务质量的开山之口。
[00:26:46] 做好民生小事，
