[00:00:00] 公平。
[00:06:20] 难过的时候总独自流泪，
[00:06:25] 醒来后装作无所谓别。
[00:06:31] 一个多情又无情的人啊。
[00:06:34] 就像手心里握不住的沙，
[00:06:38] 喝下了最烈的酒，
[00:06:41] 随便放就浪迹天涯。
[00:06:45] 啊，
[00:06:45] 一个多情又无情的人啊，
[00:06:49] 就像天边月镜子里的花。
[00:06:53] 喝下这最烈的酒，
[00:06:57] 随便吧，
[00:06:58] 就随便吧。
[00:07:00] 啊，
[00:07:01] 一个多情又无情的人啊。
[00:07:05] 好了，
[00:07:05] 所有的同学们，
[00:07:06] 大家如果能够听见的话，
[00:07:08] 给老师敲个机啊。
[00:07:09] 把你们具体的城市的名字敲在评论区，
[00:07:12] 让我看看直播间里面的同学都是来自于哪个地方啊？
[00:07:16] 就这节课的话呢，
[00:07:17] 有的时候又开始给大家上课了啊，
[00:07:20] 每天都在上课，
[00:07:21] 今天的北京的云彩呢，
[00:07:23] 非常漂亮。
[00:07:23] 也希望有一天的话呢，
[00:07:25] 大家能够考上北京的公务员，
[00:07:27] 考上中央部委的公务员，
[00:07:29] 当然也可以考上你家乡的公务员。
[00:07:31] 希望有一天你来北京，
[00:07:33] 我能够接待你，
[00:07:34] 行吗？
[00:07:35] 同学们，
[00:07:35] 希望有一天你在北京，
[00:07:37] 我能够接待你啊，
[00:07:39] 如果说就是将来的话呢？
[00:07:41] 中国公考行业。
[00:07:42] 哎，
[00:07:42] 就说不让干了的话，
[00:07:44] 或者我们这个行业被团灭了的话，
[00:07:47] 我以后就在卢旺达等着大家去旅游，
[00:07:49] 去投资，
[00:07:50] 去经商，
[00:07:51] 行不行？
[00:07:51] 好了，
[00:07:51] 所有的同学们，
[00:07:53] 大家现在如果能够听见的话，
[00:07:55] 我们直播也就开始了哈，
[00:07:57] 这节课要给大家讲的是分论点的论证。
[00:08:00] 我现在问大家一下，
[00:08:02] 你们现在这个阶段觉得申论的大作文凑字数是难还是不难？
[00:08:08] 哪位同学可以告诉我？
[00:08:10] 很多同学的话呢，
[00:08:12] 其实有没有发现就是申论大总论的写作，
[00:08:16] 咱先别讲，
[00:08:17] 想写的好还是不好？
[00:08:18] 最关键一点，
[00:08:20] 连字数都不一定能够凑得齐。
[00:08:23] 在考场上的时候呢，
[00:08:25] 凑字数想半天。
[00:08:26] 写不满字数，
[00:08:27] 这可能是大家现在这个阶段最大的一个问题，
[00:08:31] 同不同意东哥的判断？
[00:08:32] 好了，
[00:08:33] 那到底是怎么凑字数呢？
[00:08:35] 我们觉得凑字数分论点的论证主要你能够学会以下三个方法就没有问题了。
[00:08:42] 第一个叫要素论证，
[00:08:44] 有没有同学告诉我什么叫要素论证，
[00:08:48] 哪位同学可以告诉我？
[00:08:50] 就是我们如果要写分论点的话，
[00:08:52] 第一个是叫要素论证，
[00:08:54] 哪位同学知道什么叫要素，
[00:08:56] 可不可以给老师敲代评论区？
[00:08:58] 比如说背景算不算是要素？
[00:09:02] 比如说问题算不算是要素？
[00:09:06] 还有什么要素？
[00:09:08] 哪位同学告诉我影响算不算是要素？
[00:09:11] 还有什么要素，
[00:09:13] 哪位同学可以告告诉我背景问题影响，
[00:09:16] 还有什么算要素，
[00:09:17] 对于我们来说，
[00:09:19] 成绩也算是要素在158页到159页。
[00:09:23] 好了，
[00:09:24] 还有什么问题？
[00:09:25] 还有什么算要素？
[00:09:26] 哪位同学可以告诉我，
[00:09:28] 比如说目的算不算这要素？
[00:09:31] 好，
[00:09:31] 还有什么算是要素对策，
[00:09:33] 算不算是要素，
[00:09:35] 我觉得都算是要素吧，
[00:09:37] 各位，
[00:09:37] 那原因算不算是要素也是可以的？
[00:09:41] 就是你可以在你的。
[00:09:43] 里边的话呢，
[00:09:44] 论证里边加上这些要素，
[00:09:46] 请问大家一下这些要素，
[00:09:49] 大家觉得优先是从材料当中找。
[00:09:52] 还是优先从自身的积累去写，
[00:09:55] 哪位同学可以告诉我是不是优先从材料当中去找啊？
[00:10:00] 这个时候你会发现这些要素，
[00:10:04] 它本质上就变成了我们前边概括类的题目。
[00:10:09] 大家现在能听懂吗？
[00:10:10] 我是不是前面给大家讲过概括问题，
[00:10:13] 概括原因，
[00:10:14] 概括对策，
[00:10:14] 概括影响，
[00:10:15] 概括作用，
[00:10:16] 还有概括综合之类的。
[00:10:17] 它就变成了一个概括类的题目，
[00:10:20] 这些你可以用材料当中的一些原词原句作为我们的一个出发点，
[00:10:25] 作为我们的一个素材，
[00:10:27] 在那个基础上稍微的。
[00:10:29] 改写一下就能够形成你自己的个性化好了，
[00:10:33] 第二个我问一下大家什么叫事例论证？
[00:10:37] 事例论证，
[00:10:38] 大家会发现最重要的，
[00:10:40] 最通俗的说法就是举例子。
[00:10:43] 各位举例子的话，
[00:10:45] 你们觉得这个例子有没有同学知道它包含什么要素？
[00:10:51] 举例子的话，
[00:10:52] 一般会最多包含四大要素问题，
[00:10:56] 再加上一个主体，
[00:10:58] 再加上一个对策。
[00:10:59] 再加上一个影响大家把问题主体对策影响敲在评论区也就可以了，
[00:11:06] 最后一个论证的方法叫名言警句论证，
[00:11:09] 各位名言警句论证。
[00:11:11] 我们会给大家准备万能的名言警句，
[00:11:14] 也会给大家准备个性的名言警句，
[00:11:17] 你们觉得在考试的时候。
[00:11:19] 我问大家一下万能的名言，
[00:11:21] 警句用到的概率更大，
[00:11:23] 还是个性化的名言，
[00:11:24] 警句用到的概率更大，
[00:11:26] 因为我们的申论的材料它是变幻莫测的。
[00:11:29] 我们可能是万能的名言警句，
[00:11:31] 用到的概率更大一些，
[00:11:33] 那么这节课我们就给大家把这三种论证的方式给你讲明白也就可以了。
[00:11:38] 在你讲明白之前的话呢，
[00:11:40] 我觉得我们最重要的先是要看明白好了，
[00:11:44] 我问大家一下，
[00:11:45] 就是整个第一个。
[00:11:47] 这是一篇议论文啊，
[00:11:49] 议论文的范文高分量卷，
[00:11:50] 范文我给大家找出来了，
[00:11:52] 你们觉得在这一个材料当中，
[00:11:55] 这是一句话。
[00:11:56] 这是一句话。
[00:11:57] 这是一句话。
[00:11:59] 还是这是一句话，
[00:12:01] 一共就是四句话，
[00:12:03] 这四句话先告诉东哥，
[00:12:05] 哪一句话是分论点。
[00:12:08] 能不能直接告诉我这四句话？
[00:12:10] 哪一句话是分论点，
[00:12:12] 各位，
[00:12:12] 你会发现是不是第一句话是分论点啊？
[00:12:16] 各位进一步优化营商环境，
[00:12:19] 应拓宽政企沟通渠道，
[00:12:21] 大家看这个就是我们的分论点，
[00:12:24] 但是我们像。
[00:12:25] 把它进行一个论证，
[00:12:27] 我们看看这位同学的议论文是怎么论证的，
[00:12:30] 大家首先要理解它的结构。
[00:12:33] 好了，
[00:12:33] 大家看他上来给我们说了一句话，
[00:12:36] 知无漏者在雨下，
[00:12:38] 知政事者在草也，
[00:12:40] 请问大家下这句话？
[00:12:41] 它是在说什么？
[00:12:43] 论证是我们要素论证，
[00:12:45] 例子论证还是名言警句论证？
[00:12:48] 同学们是不是先用了一个名言警句论证啊？
[00:12:53] 大家没问题吧？
[00:12:54] 好，
[00:12:54] 我再问大家一下就是。
[00:12:57] 这一句话我们来看一下前半句存在的问题，
[00:13:01] 看到这句话，
[00:13:02] 你觉得它是在用了哪一招？
[00:13:05] 先把它看懂，
[00:13:06] 然后才能够学会。
[00:13:08] 对于本省营商环境中存在的问题是在说什么？
[00:13:13] 论证是不是在说要素论证啊？
[00:13:16] 是在说要素论证当中的哪一个要素，
[00:13:20] 有没有同学能够告诉我是不是在说要素论证当中的一个？
[00:13:27] 问题啊，
[00:13:27] 好一起把它搞定，
[00:13:29] 然后民营企业最有痛感，
[00:13:32] 也最有发言权。
[00:13:34] 各位民营企业最有痛感，
[00:13:37] 也最有发言权。
[00:13:38] 请问大家下，
[00:13:40] 这句话是在说什么要素？
[00:13:42] 哪位同学可以告诉我，
[00:13:45] 这有一个最。
[00:13:46] 啊最它往往指的是民营企业对这件事情的重要性，
[00:13:52] 所以我们可以把这。
[00:13:54] 理解成一个影响。
[00:13:56] 理解成一个啊，
[00:13:57] 影响理解成一个重要性都是可以的。
[00:14:01] 好吧好了，
[00:14:02] 下面我再问大家一下，
[00:14:04] 你看啊，
[00:14:05] 这是第一句。
[00:14:06] 这是第二句，
[00:14:07] 我再问大家下第三句话，
[00:14:10] 大家抓紧时间告诉我，
[00:14:12] 你们觉得他是在说哪个要素？
[00:14:15] 第三句话就是我画。
[00:14:17] 橙色的波浪线的，
[00:14:19] 他是不是在说要素论证啊？
[00:14:21] 这个要素论证是在说哪个要素是不是在说一个对策呀？
[00:14:27] 好，
[00:14:27] 大家再来看一下最后一句话，
[00:14:30] 同学们促进民营企业更好发展，
[00:14:33] 是在说哪一个要素？
[00:14:35] 是不是在说一个影响啊？
[00:14:38] 好了，
[00:14:38] 现在大家能够看懂的话就给老师打个一也就可以了。
[00:14:43] 我不要求大家能够现在就会啊，
[00:14:45] 我只要求大家先能够看懂，
[00:14:47] 待会呢，
[00:14:48] 你自然就会了，
[00:14:49] 大家看就是一个分论点的论证，
[00:14:52] 我们就用了名言警句论证，
[00:14:54] 加上要素论证，
[00:14:55] 加上要素论证。
[00:14:56] 这个要素论证呢，
[00:14:57] 前面说了问题和重要性，
[00:15:00] 后面既然这个问题很突出，
[00:15:02] 这个影响也很巨大，
[00:15:03] 然后呢，
[00:15:04] 我们后面写出我们的解决对策。
[00:15:07] 以及解决对策可能带来的一个好的影响也就可以了，
[00:15:11] 好了再带着大家看一个题目，
[00:15:13] 大家别着急。
[00:15:15] 先把它看懂，
[00:15:16] 大家抓紧时间一下，
[00:15:18] 看一下这个题目，
[00:15:19] 从这一句话，
[00:15:20] 从这一句话，
[00:15:22] 从这一句话。
[00:15:23] 从这一句话，
[00:15:24] 从这一句话，
[00:15:25] 从这一句话，
[00:15:26] 这一句话好了，
[00:15:27] 我问大家下哪一句话是在讲分论点，
[00:15:31] 能不能直接告诉东哥？
[00:15:33] 哪一句话是在讲分论点，
[00:15:35] 是不是我们分论点一般写在开头的第一句啊？
[00:15:39] 建设数字政府，
[00:15:40] 使企业发展有信心。
[00:15:41] 好，
[00:15:42] 那别着急，
[00:15:42] 我们接着看他是怎么进行一个论证的，
[00:15:46] 先模仿先研究一下人家高分样卷范文的一个规律啊。
[00:15:52] 大家来看一下，
[00:15:53] 企业是推动我国经济发展的重要力量之一。
[00:15:57] 大家觉得这句话。
[00:16:00] 大家觉得这句话是在说哪个要素企业？
[00:16:04] 是推动我国经济发展的重要力量之一，
[00:16:08] 也就是企业对于国家的影响。
[00:16:10] 请问这个是在说民言警句论证要素论证还是事例论证？
[00:16:16] 是不是在说要素论证当中的影响啊？
[00:16:19] 这个没有毛病吧？
[00:16:21] 同学们一起把它写下来。
[00:16:24] 好，
[00:16:24] 然而。
[00:16:25] 大家看在过去开办企业，
[00:16:28] 我常常需要往返多个部门，
[00:16:31] 耗费数月才能完成审批。
[00:16:33] 这句话是名言警句事例还是要素，
[00:16:37] 你会发现这句话依然是在说要素论证吧。
[00:16:41] 这个要素论证，
[00:16:43] 请问大家一下是在说哪一个要素？
[00:16:46] 往返多个部门耗费数月才能完成审批，
[00:16:50] 你会发现这个听起来我们就挺不舒服的，
[00:16:53] 它肯定是代表问题，
[00:16:55] 这个要素。
[00:16:56] 大家同意吧，
[00:16:57] 好了我再问大家一下，
[00:17:00] 大家看这一艰苦历程，
[00:17:02] 轻则消磨经营者的志气，
[00:17:04] 重则贻误经营者的商机。
[00:17:07] 这句话是在说名言警句例子，
[00:17:10] 还是说要素？
[00:17:11] 各位这句话是不是还是在说要素啊？
[00:17:15] 他是在说的哪一个要素，
[00:17:17] 哪位同学可以告诉我是对经营者不好，
[00:17:21] 对经营者不好，
[00:17:23] 是在说一个。
[00:17:24] 危害或者是再说一个影响都是可以的，
[00:17:28] 这个没有问题，
[00:17:29] 一起把它搞定好了，
[00:17:31] 大家再来看一下。
[00:17:32] 下面的这一个，
[00:17:34] 而今各地推动数字政府建设，
[00:17:37] 为企业发展平开绿灯。
[00:17:39] 这里面有一个推动，
[00:17:41] 有一个平开。
[00:17:43] 大家觉得这一个是在说民言警句要素还是例子，
[00:17:48] 是不是还是在说一个要素啊？
[00:17:51] 这个要素是指的什么要素？
[00:17:53] 主要看动词推动，
[00:17:55] 还有一个平开是不是指的对策呀？
[00:17:59] 所以大家把对策写下来也就可以了。
[00:18:02] 好，
[00:18:02] 大家看倒数第二句，
[00:18:05] 广东设立粤信融平台助力企业发展。
[00:18:10] 浙江临安推出平台推动互动，
[00:18:13] 请问大家下这两句话，
[00:18:16] 绿色圈下来的这两句话是在说名言警句要素还是例子？
[00:18:21] 同学们，
[00:18:22] 这个是不是在说一个例子啊？
[00:18:25] 没毛病吧？
[00:18:26] 这个例子大家主要看一下它的结构是怎么写的？
[00:18:31] 我问大家下这个时候认真的给我看清楚啊，
[00:18:35] 广东是指的什么？
[00:18:36] 广东是指的什么？
[00:18:38] 广东是不是指的主体啊？
[00:18:40] 好，
[00:18:40] 那么设立是指的什么？
[00:18:43] 哪位同学可以告诉我设立是不是指的对策好？
[00:18:48] 我问大家一下，
[00:18:49] 助力是指的什么？
[00:18:51] 助力是不是指的一个影响啊？
[00:18:53] 好了再来问大家一下，
[00:18:55] 浙江临安是指的什么？
[00:18:58] 是不是还是指的主体推出？
[00:19:00] 是不是还是指的对策？
[00:19:02] 推动是不是还是指的一个影响，
[00:19:06] 现在清晰了吧？
[00:19:07] 各位同学们好了，
[00:19:09] 我们大家下这个主体对策影响。
[00:19:12] 在考试的时候是我们从材料当中把关键词摘出来，
[00:19:17] 还是根据我们自己的积累去胡编？
[00:19:20] 请问大家一下，
[00:19:22] 是从材料当中选，
[00:19:23] 还是从自身的积累选？
[00:19:25] 一定是从材料当中把它扒出来，
[00:19:28] 最后一个大家再来看一下应该怎么搞定？
[00:19:31] 随着我国数字政府建设步伐不断加快，
[00:19:35] 请问这句话是在说要素论证，
[00:19:38] 民言警句论证还是事例论证？
[00:19:41] 是不是还是在说一个要素论证啊？
[00:19:44] 这个要素论证第一句话是在说什么要素？
[00:19:48] 是不是在说一个背景啊？
[00:19:51] 这个没有问题吧？
[00:19:53] 好企业对未来发展更有信心，
[00:19:55] 这是在说什么？
[00:19:57] 这个是在说企业对未来的发展更有信心，
[00:20:01] 这是在说什么？
[00:20:02] 哪位同学可以告诉我企业，
[00:20:04] 它对未来的发展会有信心，
[00:20:07] 这个可能是在说一个，
[00:20:08] 你可以把它理解成一个影响也行，
[00:20:11] 好吧，
[00:20:11] 或者说最后的一个。
[00:20:13] 达成的一个目标，
[00:20:14] 或者是前进的展望好了，
[00:20:16] 我这个时候问大家一下，
[00:20:18] 你看看这个断尾句和这个断首句，
[00:20:21] 你看人家写的这个议论文有没有值得我学习的？
[00:20:25] 我们除了了解他用要素论证，
[00:20:27] 要素论证，
[00:20:28] 示例论证，
[00:20:29] 要素论证还有没有值得我们学习的？
[00:20:31] 就是你会发现断手续和。
[00:20:33] 和段尾句，
[00:20:34] 它呈现了一个什么样的逻辑关系？
[00:20:37] 哪位同学可以告诉我，
[00:20:39] 大家一起敲出四个字。
[00:20:41] 首尾呼应。
[00:20:44] 大家把首尾呼应给老师打出来，
[00:20:47] 首尾呼应是什么意思啊？
[00:20:49] 也就是你的断首句断尾句说的是。
[00:20:52] 同一个意思。
[00:20:54] 好了，
[00:20:54] 说的是同一个意思，
[00:20:57] 但是要稍微的把句式进行一个变换。
[00:21:01] 怎么把它变换，
[00:21:03] 大家一起写第一个可以增加句子。
[00:21:07] 第一个可以增加句子，
[00:21:09] 怎么增加建设数字政府，
[00:21:12] 建设数字政府，
[00:21:13] 你前面加几个词就。
[00:21:16] 把它增加句子，
[00:21:17] 变成一个背景句，
[00:21:18] 把这个对策变成了一个背景句好，
[00:21:21] 我问大家下还可以干什么？
[00:21:24] 有的时候还可以调换一下顺序。
[00:21:28] 调换顺序，
[00:21:29] 请问大家下，
[00:21:30] 如果在考试的时候，
[00:21:32] 我把尾句调到前面，
[00:21:35] 大家觉得可不可以就是？
[00:21:37] 我有的时候能不能把尾句调到前面，
[00:21:40] 只要合情合理也是可以的。
[00:21:43] 好吧，
[00:21:43] 那么还有一个增加句子的话，
[00:21:46] 我在前面可不可以加一句？
[00:21:48] 名言警句，
[00:21:49] 大家觉得追风赶月莫停留，
[00:21:52] 平屋尽处是春山进入新时代奋进新征程，
[00:21:56] 再创新辉煌。
[00:21:58] 你随便加个名言警句也没有问题，
[00:22:00] 还有我问大家一下可以怎么办？
[00:22:03] 增加句子调换顺序还可以加什么？
[00:22:06] 还可以怎么办？
[00:22:07] 还可以，
[00:22:07] 怎么办？
[00:22:08] 哪位同学告诉我，
[00:22:10] 我把它进行一个缩句，
[00:22:12] 行不行也是可以的，
[00:22:14] 或者我怎么样？
[00:22:16] 我把它缩句，
[00:22:17] 行不行？
[00:22:18] 都是可以的啊，
[00:22:19] 这些大家用的方法是无穷无尽的，
[00:22:22] 你只要不和前面完全重复就行，
[00:22:24] 但是关键词尽量保持一致，
[00:22:27] 这样阅卷人就能够看出来你是在说。
[00:22:30] 首尾呼应，
[00:22:31] 它最终就像一个佛家的轮回一样了，
[00:22:34] 现在大家觉得可以过的话，
[00:22:36] 就给老师打个过。
[00:22:38] 我们也就给大家把这个题目给过了好了，
[00:22:41] 你看这就是议论文，
[00:22:43] 我们先把议论文给大家拆解，
[00:22:45] 学会了之后。
[00:22:46] 然后我们自己也就能够写出一个议论文了，
[00:22:50] 好吧好了，
[00:22:51] 根据上面的议论文，
[00:22:52] 我们先给大家提供一个基本的模板，
[00:22:56] 当然这个模板未来可以进行一个。
[00:22:59] 无穷的变换，
[00:23:00] 但是呢，
[00:23:00] 我们一开始学习的时候呢，
[00:23:02] 简单的先让大家去记住，
[00:23:05] 最重要的也就可以了。
[00:23:06] 各位，
[00:23:07] 我问大家一下，
[00:23:08] 开头的模板有没有同学还记得应该怎么写？
[00:23:12] 哪位同学觉得开头的模板最简单的方案是什么？
[00:23:16] 第一句写什么名言警句，
[00:23:18] 第二句写什么，
[00:23:20] 第二句写影响，
[00:23:21] 第三句写什么，
[00:23:22] 第三句写什么来着，
[00:23:24] 第三句写过渡句，
[00:23:26] 第四句写什么？
[00:23:27] 第四句写总论点，
[00:23:29] 那我觉得分论点的模板我也给大家用四步，
[00:23:33] 第一步写名言警句，
[00:23:35] 第二步写影响，
[00:23:37] 第三步写。
[00:23:38] 对策，
[00:23:38] 这个对策既可以是规范的对策，
[00:23:41] 也就是要素论证，
[00:23:43] 又可以是举例子，
[00:23:44] 也就是事例论证。
[00:23:46] 这两招都是可以的。
[00:23:48] 这两招可不可以全用？
[00:23:50] 同学们可不可以全用？
[00:23:52] 当然是可以全用的好吧，
[00:23:54] 可不可以只用一个？
[00:23:55] 当然也是可以只用一个的。
[00:23:58] 最后再回扣分论点也就可以了，
[00:24:00] 回扣分论点好了，
[00:24:01] 那如果你想个性化的话，
[00:24:03] 这个地方可以加一个要素加什么要素，
[00:24:06] 哪位同学可以告诉我？
[00:24:08] 是不是可以加一个背景啊？
[00:24:11] 如果你还想个性化的话，
[00:24:13] 你学会了这个地方可以加什么要素？
[00:24:16] 是不是可以加一个乘积啊？
[00:24:18] 是不是可以加一个问题啊？
[00:24:20] 这些都是可以的啊，
[00:24:22] 我只是说我们先用一个基本的方式带着大家学会，
[00:24:26] 然后你就会变化无穷。
[00:24:28] 好举一个例子，
[00:24:29] 大家来看一下。
[00:24:31] 这个题目有没有同学觉得有点熟悉，
[00:24:34] 哪位同学可以告诉我这个题目，
[00:24:37] 你们觉得你看起来题干当中的关键词是？
[00:24:41] 是哪一年的题目就这个分论点是哪年的题目？
[00:24:45] 这个分论点是二零二六年国考的一个题目，
[00:24:48] 我们来看一下啊，
[00:24:50] 国考行政执法类的就是你。
[00:24:52] 参加国考80%的人都是考这道题，
[00:24:55] 是行政执法类的题目，
[00:24:57] 我们看看能不能把它搞定，
[00:24:59] 奋力往前跑，
[00:25:00] 是行政执法与时俱进的内生动力是。
[00:25:03] 提质增效的必由之路，
[00:25:05] 请问大家一下，
[00:25:06] 如果在考试的时候我们想写这个题目的话，
[00:25:09] 我们首先是不是要理解什么叫奋力往前跑啊？
[00:25:13] 然后呢，
[00:25:14] 我就带着大家来看一下，
[00:25:16] 就是这一个材料。
[00:25:18] OK，
[00:25:19] 这个分类往前跑呢，
[00:25:20] 就和这个材料有关，
[00:25:22] 大家先来看一下，
[00:25:24] 一是一家快餐配送点内身着厨师服，
[00:25:27] 佩戴口罩的工作人员。
[00:25:29] 正在将一盒盒快餐放入配送箱内，
[00:25:32] 准备送往各个订餐点，
[00:25:33] 这一幕被24小时运行的智能摄像头记录并识别分析。
[00:25:38] 数据实时同步至AR的监管系统，
[00:25:41] 这正是一是推行的非现场监管的场景。
[00:25:44] 各位什么叫分力往前跑啊？
[00:25:47] 也就是原来我们。
[00:25:48] 市场监管局的人员要现场监管，
[00:25:51] 这个时候奋力向前跑呢，
[00:25:54] 它往往指的是一个我们要创新，
[00:25:57] 现在创新已经跑到了。
[00:25:59] 非现场监管大家能够听懂的话，
[00:26:01] 就给老师打个一啊，
[00:26:03] 因为我们没有时间把所有的材料都给大家拿出来看，
[00:26:07] 所以我就给你解释一下。
[00:26:09] 它原来原来就是叫现场监管，
[00:26:12] 后来我们奋力往前跑，
[00:26:14] 就是创新了，
[00:26:15] 就变成了非现场监管了。
[00:26:17] 二零零三年初，
[00:26:18] 一是被确定为非现场监管的试点地区，
[00:26:21] 率先启动数字化监管，
[00:26:23] 旨在通过科技手段减少对企业正常活动的影响。
[00:26:27] 提高监管的紧缺性。
[00:26:29] 试点初期呢，
[00:26:30] 一是全力推进技术应用投入。
[00:26:32] 大量资源构建智慧监管体系，
[00:26:35] 多部门协作开发了AI监管系统，
[00:26:37] 全市安装了监控设备。
[00:26:39] 通过远程监控，
[00:26:41] 移动监管等方式，
[00:26:42] 实现了全天候的监控。
[00:26:44] 二零二三年AR自动识别监换3200起，
[00:26:47] 执法响应时间缩短。
[00:26:49] 效率显著提升，
[00:26:50] 大家现在这个可以听，
[00:26:52] 看懂的话给老师打飞机，
[00:26:55] 这些东西都每一句话都是不是和往前跑有关系？
[00:26:59] 大家觉得这一这一些是不是每一句话都是和往前跑有关系，
[00:27:05] 这里边这段材料既有具体的要素。
[00:27:08] 还有什么哪位同学可以告诉我，
[00:27:11] 还有具体的事例，
[00:27:13] 现在听清楚了不好了，
[00:27:15] 那我问大家一下，
[00:27:16] 我们拿到这样一个题目，
[00:27:18] 我们就知道了。
[00:27:20] 他这个奋力往前跑，
[00:27:22] 是在是在说什么？
[00:27:24] 大家一起打出来，
[00:27:26] 是在说非。
[00:27:27] 现场监管，
[00:27:28] 你们给老师一起写非现场监管，
[00:27:31] 给老师一起写在评论区好了。
[00:27:34] 我就知道了啊，
[00:27:36] 奋力往前跑，
[00:27:37] 它是非现场监管各位，
[00:27:38] 那如果在考试的时候我写作没有思路，
[00:27:42] 我第一句话应该写什么？
[00:27:43] 哪位同学可以告诉我？
[00:27:45] 是不是应该写名言警句啊？
[00:27:48] 但是这个名言警句大家就是关于执法类的名言警句，
[00:27:53] 能不能给老师？
[00:27:54] 想一句名言警句给老师敲在评论区，
[00:27:57] 哎，
[00:27:58] 各位能不能想得出来？
[00:28:00] 各位，
[00:28:00] 我觉得是可以想的，
[00:28:02] 比如说荀子有云。
[00:28:03] 法者，
[00:28:04] 治之端也，
[00:28:05] 也是没有问题的好。
[00:28:07] 你如果想成其他的，
[00:28:08] 也是可以的，
[00:28:09] 这个无所谓，
[00:28:11] 但是如果我在考试的时候，
[00:28:13] 我就真的就没有背。
[00:28:15] 这个名言警句不写名言警句，
[00:28:17] 请问大家下可以还是不可以？
[00:28:20] 如果在考试的时候，
[00:28:21] 我就真的没有背名言警句可不可以可以？
[00:28:24] 但是如果你没有背名言警句。
[00:28:27] 你可以用哪个要素去代替它？
[00:28:32] 请问大家一下，
[00:28:33] 如果不管是开头还是我们分论点，
[00:28:36] 如果没有用名言警句，
[00:28:38] 我们能不能用一个背景去代替它？
[00:28:41] 我觉得是没有问题的吧。
[00:28:43] 好了，
[00:28:44] 我问大家一下，
[00:28:45] 如果你们看到这个题干，
[00:28:48] 你们觉得如果他写背景的话，
