[00:00:00] 对呀。
[00:07:41] 这个时候。
[00:07:42] 他在题干当中分了两个词，
[00:07:45] 一个是多样性，
[00:07:46] 一个是创造力，
[00:07:48] 请问大家一下多样性，
[00:07:50] 你觉得是对策还是？
[00:07:52] 还是影响哪位同学可以告诉我，
[00:07:55] 多样性是对策还是影响多样性，
[00:07:58] 我们觉得它应该是一个。
[00:08:00] 对策一起把它搞定。
[00:08:03] OK，
[00:08:03] 再来看一下创造力，
[00:08:05] 它是对策还是影响？
[00:08:07] 我们把它分一下创造力，
[00:08:09] 大概率应该是一个影响。
[00:08:12] 同意吗？
[00:08:13] 那么我们这个时候要想把多样性变成一个完整的对策的表述，
[00:08:19] 大家能够想到哪一个词？
[00:08:21] 同学们，
[00:08:22] 可不可以来告诉我呢？
[00:08:23] 我反复给大家说过多样性，
[00:08:26] 如果说你想不到一个合适的动词的话，
[00:08:29] 你脑子当中一定记住世界上有一个国家。
[00:08:32] 它之所以能够成立，
[00:08:34] 能够存在，
[00:08:35] 除了为了打伊朗，
[00:08:36] 就是为了你考公务员，
[00:08:38] 记住了以多样性，
[00:08:40] 前面加一个动词，
[00:08:41] 后面加一个尾巴。
[00:08:43] 加哪个尾巴以多样性破题，
[00:08:45] 一起把它搞定。
[00:08:47] OK，
[00:08:47] 然后对创造力有什么好处？
[00:08:50] 哪位同学可以前面加一个动词，
[00:08:53] 后面加一个尾巴呢？
[00:08:55] 我们就直接写会就。
[00:08:57] 创造力。
[00:08:59] 新图景，
[00:09:00] 一起把它搞定，
[00:09:01] 谱写创造力。
[00:09:03] 新篇章都是可以的，
[00:09:05] 好OK，
[00:09:05] 那我问大家一下，
[00:09:07] 如果在考试的时候，
[00:09:09] 我们不想给别人一样。
[00:09:11] 这个时候我有没有教大家替换呢？
[00:09:14] 以多样性，
[00:09:15] 我之前给大家讲过一个为钥钥匙的钥。
[00:09:18] 啊，
[00:09:18] 我之前叫你们在理论阶段就背了很多。
[00:09:21] 开启。
[00:09:23] 创造力后面加一个尾巴，
[00:09:26] 你觉得加哪一个尾巴开启创造力心门？
[00:09:31] 大家现在能够听懂吗？
[00:09:33] 你看啊，
[00:09:33] 多样性蕴含着创造力啊，
[00:09:35] 就是因为这句话，
[00:09:37] 有同学在评论区打出来说他搞反了，
[00:09:40] 你认真的理解一下。
[00:09:41] 是不是就是应该我们在做了多样性的情况之下，
[00:09:47] 才会有创造力啊，
[00:09:49] 大家同意吗？
[00:09:50] 就是我们先要保持多样性。
[00:09:53] 先要做多样性，
[00:09:54] 然后才能够产生创造力，
[00:09:57] 创造力，
[00:09:57] 创造力，
[00:09:58] 你想它不是一个它不是一个最终的结果吗？
[00:10:03] 他一定要先有多样性，
[00:10:04] 再有创造力，
[00:10:05] 千万不要搞反了，
[00:10:07] 他之间的逻辑关系好了，
[00:10:09] 那我们呢？
[00:10:09] 带着大家。
[00:10:10] 问，
[00:10:10] 大家一下，
[00:10:11] 如果我们找分论点的话，
[00:10:14] 大家觉得分论点的角度是什么？
[00:10:16] 哪位同学可以告诉我？
[00:10:18] 分论点的角度是什么？
[00:10:21] 分论点的角度，
[00:10:22] 一是对策，
[00:10:24] 二是影响。
[00:10:25] 一是对策，
[00:10:26] 二是影响。
[00:10:27] 请问大家一下，
[00:10:28] 这个对策你们觉得到底是应该怎么把它搞定？
[00:10:32] 这个对策和影响，
[00:10:34] 如果我们只找一个的话，
[00:10:36] 在考试的时候是找对策还是找影响？
[00:10:40] 是找对策吧，
[00:10:41] 找对策我之前给大家说过，
[00:10:44] 基本上来讲的话，
[00:10:45] 我们就有三种方式，
[00:10:47] 第一种是。
[00:10:48] 谁来搞多样性？
[00:10:49] 第二种是怎样搞多样性？
[00:10:52] 第三种有没有同学记得是哪一个？
[00:10:56] 谁来搞怎样搞？
[00:10:58] 还有搞哪方面的多样性，
[00:11:00] 大家现在还记得吧，
[00:11:02] 我曾经理论阶段给大家讲过这个吧，
[00:11:05] 好，
[00:11:05] 那没有关系，
[00:11:06] 如果说大家这三个都忘了。
[00:11:09] 也没有关系，
[00:11:10] 我们就直接扎扎实实的去找对策对策，
[00:11:13] 请问大家一下，
[00:11:14] 到材料当中主要找什么样的词语？
[00:11:17] 对策是不是主要是找动词，
[00:11:20] 再加上一个事情也就可以了，
[00:11:22] 那么这个对策我们在考试的时候。
[00:11:25] 请问是主要找什么？
[00:11:27] 主要找什么？
[00:11:29] 如果最快的就是看手段，
[00:11:31] 就是看尾段。
[00:11:33] 除了看手段，
[00:11:34] 还有尾段，
[00:11:34] 还有可以进行粗读，
[00:11:36] 这个粗读就是断首句，
[00:11:38] 断尾句，
[00:11:39] 高频词，
[00:11:39] 关键词，
[00:11:40] 关键词，
[00:11:41] 还有相关的主体。
[00:11:42] 对吧，
[00:11:43] 那我们先带着大家来看一下这句话的出处，
[00:11:46] 多样性蕴含着创造力，
[00:11:48] 是应该怎么把它搞定的？
[00:11:50] 大家来看一下多样性，
[00:11:53] 蕴含着创造力。
[00:11:54] 大家来看一下啊，
[00:11:56] 多样性蕴含着创造力。
[00:11:59] 大家来看一下多样性，
[00:12:01] 蕴含着创造力。
[00:12:03] 大家看金教授深有感触的说，
[00:12:06] 团队的师生讨论能够突破同质性。
[00:12:10] 思维局限碰撞出多元化，
[00:12:12] 差异化的观点，
[00:12:13] 推动大家探索新的视角。
[00:12:16] 提升决策和问题解决能力，
[00:12:18] 进而促进突破性创新。
[00:12:21] 请问大家一下，
[00:12:22] 我们题干当中的关键词。
[00:12:24] 正如美妙。
[00:12:26] 动听的器乐合奏是由多种乐器发出的不同的音色，
[00:12:31] 并巧妙融合而产生的多样性，
[00:12:33] 蕴含着创造力。
[00:12:35] 请问大家一下，
[00:12:36] 这个时候我们的总论点一个是多样性，
[00:12:40] 一个是创造力，
[00:12:41] 首先给老师就近原则。
[00:12:44] 各位认真看一下就近原则，
[00:12:47] 有没有看到能和多样性挂钩的对策？
[00:12:52] 哪位同学可以告诉我，
[00:12:55] 你会发现讨论还有局限，
[00:12:57] 还有一个差异化的观点。
[00:13:00] 各位差异化和多样性能不能挂钩？
[00:13:04] 哪位同学可以告诉我，
[00:13:06] 哎，
[00:13:06] 差异化和多样性能不能挂钩？
[00:13:10] 差异化和多样性，
[00:13:11] 它有没有某种联系？
[00:13:13] 你找分论点的时候一定要和你的总论点发生关系，
[00:13:16] 总论点就是多样性，
[00:13:18] 我觉得是可以的吧？
[00:13:19] 差异化不就代表你是这样的，
[00:13:22] 我是那样的。
[00:13:23] 它是那样的吗？
[00:13:24] 也就是代表我们可能会有多样性，
[00:13:27] 大家同意不？
[00:13:29] 这个东西叫。
[00:13:30] 观点后面又出现了一个视角，
[00:13:33] 请问大家一下观点和视角这两个词是相同的词，
[00:13:38] 相近的词还是完全？
[00:13:40] 不一样的词，
[00:13:42] 哪位同学可以直接告诉我，
[00:13:44] 你会发现观点和视角，
[00:13:46] 我觉得它属于一个相近的词，
[00:13:49] 观点视角，
[00:13:50] 它基本上是差不多的。
[00:13:52] 所以我就保留观点，
[00:13:53] 或者保留视角都是可以的，
[00:13:55] 我觉得视角这个词更加高大上，
[00:13:58] 所以我先保留视角，
[00:13:59] 大家把视角。
[00:14:00] 一起写下来也就可以了，
[00:14:02] 不要怕搞错，
[00:14:03] 没有关系，
[00:14:04] 因为有的时候大指纹，
[00:14:06] 它除非材料当中原词原句，
[00:14:08] 否则它确实有多种可能性。
[00:14:11] 大家看提升决策和问题解决能力这个。
[00:14:15] 是代表一个结果，
[00:14:16] 不用管，
[00:14:17] 进而促进突破性创新。
[00:14:19] 突破性创新，
[00:14:20] 它就是在说一个创造力，
[00:14:23] 也不用管。
[00:14:24] 好了，
[00:14:24] 所有的同学那么这一段我们就找出来了，
[00:14:28] 第一个分论点也就是视角下面我找不出来其他的分论点了，
[00:14:33] 应该怎么办？
[00:14:34] 哪位同学可以告诉我，
[00:14:35] 我读了尾段找不到其他的分类点了，
[00:14:39] 只找到这一个，
[00:14:40] 这个时候别着急，
[00:14:41] 我在。
[00:14:42] 从这则是优先直接去看其他材料，
[00:14:45] 还是优先在这一段材料当中，
[00:14:47] 再把它找一下，
[00:14:48] 大家告诉我。
[00:14:50] 金教授在整个的文章当中只出现在这一段材料，
[00:14:54] 那我就先把这段材料看一下，
[00:14:57] 请问看这段材料的什么东西？
[00:14:59] 大家一起写断首句断尾句，
[00:15:02] 我们带着大家来看一下，
[00:15:05] 请问在这一个？
[00:15:07] 资产断仓中，
[00:15:08] 大家觉得有没有出现和多样性？
[00:15:12] 有关的词语或者有关的分论点的对策。
[00:15:18] 大家看在这一段提供了新视角，
[00:15:21] 既然有新视角，
[00:15:22] 请问大家一下，
[00:15:24] 它就代表有什么视角？
[00:15:26] 是不是就代表也有老视角，
[00:15:28] 也有旧视角？
[00:15:30] 请问老视角和旧视角加起来，
[00:15:32] 能不能代表多样性？
[00:15:34] 那我觉得是可以的，
[00:15:36] 所以这个视角对于我们来说。
[00:15:39] 它也是一个角度，
[00:15:41] 大家把视角还是敲在评论区，
[00:15:43] 哎，
[00:15:44] 这个时候你会发现首段和尾段都出现了这样一个视角，
[00:15:49] 我就把视角。
[00:15:50] 先把它写下来，
[00:15:51] 不要怕错，
[00:15:52] 慢慢的就可以了，
[00:15:54] 好了，
[00:15:54] 大家再来看一下第二个自然段。
[00:15:57] 第二个自然段，
[00:15:58] 你给我读一下，
[00:16:00] 第二个自然段断首句，
[00:16:03] 大家来看一下。
[00:16:04] 段首句，
[00:16:05] 你们觉得有没有和我们多样性直接有关的对策？
[00:16:10] 有没有涉及到金教授这个团队和多样性直接有关的对策？
[00:16:17] 你会发现没有吗？
[00:16:19] 为什么各位？
[00:16:20] 这个基本上来讲的话，
[00:16:22] 这是非常理论的一段话，
[00:16:24] 它没有涉及到我们团队怎么做，
[00:16:27] 如果你们觉得有的话，
[00:16:29] 你们就把它给老师直接打出来。
[00:16:32] 各位，
[00:16:32] 你们就直接把它给老师打出来哦，
[00:16:35] 有的同学说老师不同的角度，
[00:16:37] 请问这个角度和前面的视角重复不？
[00:16:40] 大家觉得如果我们站在不同的角度，
[00:16:43] 你就觉得和前面的视角重复吧，
[00:16:45] 我觉得是重复的，
[00:16:47] 所以咱们就不再重复出了啊。
[00:16:49] 重复的设想，
[00:16:50] 他都第三遍了，
[00:16:51] 那么这个时候更因为更证明我的视角没有问题，
[00:16:55] 好了再来看一下断尾句。
[00:16:57] 请问断尾句。
[00:16:59] 我问大家下有没有和多样性，
[00:17:02] 直接能够关联的一个词或者是对策，
[00:17:06] 认真的看一下。
[00:17:07] 哎，
[00:17:08] 我们就是这样，
[00:17:09] 一直有考古学，
[00:17:10] 地理学。
[00:17:11] 地质学，
[00:17:12] 生物学等多学科。
[00:17:14] 哎呦，
[00:17:14] 我的妈呀，
[00:17:15] 请问大家一下，
[00:17:17] 多学科能不能代表多样性？
[00:17:20] 多学科能不能代表多样性，
[00:17:22] 我觉得肯定啊，
[00:17:24] 你你的学科里面有这么多的学科，
[00:17:27] 当然是代表多样性。
[00:17:28] 如果前面保留视角的话，
[00:17:31] 这个里边要保留什么？
[00:17:33] 哪位同学可以告诉我是不是我就要保留学科啊？
[00:17:37] 大家把学科一起敲下来好了，
[00:17:40] 别着急，
[00:17:41] 大家再来看一下第三个自然段段守俊。
[00:17:45] 我从考古学专业转向地理学。
[00:17:49] 加入研究团队，
[00:17:50] 请问考古学转向地理学和多样性能不能发生关系？
[00:17:57] 你找分论点的时候一定要有目标导向，
[00:18:00] 你的目标就是多样性，
[00:18:02] 就是你的总论点，
[00:18:03] 我觉得是可以的吧，
[00:18:05] 但是考古学，
[00:18:06] 地理学。
[00:18:06] 它毕竟是一个我是一个个体的例子，
[00:18:10] 这个个体的例子。
[00:18:11] 请问如果用一个词来概括的话，
[00:18:14] 考古学专业还有地理学，
[00:18:17] 后面省略了一个专业，
[00:18:19] 是不是还是在说学科？
[00:18:21] 大家现在能够同意不？
[00:18:23] 是不是还是在说学科的多样性好了，
[00:18:26] 大家再来看一下断尾句。
[00:18:29] 这意味着，
[00:18:30] 他不但要走出校园，
[00:18:31] 寻找遗址，
[00:18:32] 还要不断摸索合适的研究方法。
[00:18:35] 请问这句话有没有任何的对策？
[00:18:38] 你会发现没有啊，
[00:18:39] 寻找遗址就寻找遗址，
[00:18:41] 那我就觉得和多样性没有太大的关系，
[00:18:44] 这个还是在说我们的围绕着学科进一步的解释说明，
[00:18:48] 不用管。
[00:18:48] 好了，
[00:18:49] 我们再接着往下走。
[00:18:51] 那么，
[00:18:51] 挑战确实不少，
[00:18:53] 不过挑战就像痛苦一样，
[00:18:55] 是成长和必经之路。
[00:18:57] 这个挑战，
[00:18:58] 这个词，
[00:18:58] 实在是太大了，
[00:19:00] 是吧？
[00:19:00] 你如果把挑战理解成多样性的话。
[00:19:04] 它和我们的视角，
[00:19:05] 和我们的学科，
[00:19:06] 往往呢，
[00:19:07] 不是在一个维度，
[00:19:08] 所以这个时候暂时先不要把它触点接着往下走。
[00:19:12] 大家来看一下这个断尾句，
[00:19:14] 在此过程当中，
[00:19:15] 它通过广泛阅读文献，
[00:19:18] 参加讲座和研讨会，
[00:19:19] 构建构建自己的知识体系。
[00:19:22] 请问这个知识体系，
[00:19:24] 你们觉得算不算是一个学科？
[00:19:27] 算不算是一个学科？
[00:19:29] 你看这里面它有着相同的，
[00:19:31] 它有着相同的主语，
[00:19:33] 它还是在说一个学科类的问题，
[00:19:36] 所以先不用管它，
[00:19:37] 先把它放在这。
[00:19:38] 我们一定要找到最明显的好了，
[00:19:41] 大家再来看一下第五个资产段，
[00:19:44] 第五个资产段读一下断首句。
[00:19:46] 博士毕业后的他留在了教新教授的团队，
[00:19:50] 依然还是在说同样的主体先别管，
[00:19:53] 再来看段尾句。
[00:19:54] 涉猎不同学科的知识，
[00:19:56] 请问大家一下，
[00:19:57] 涉猎不同学科的知识和多样性能不能有任何的关联？
[00:20:02] 你会发现是有的吧，
[00:20:04] 这个不同学科。
[00:20:05] 实际上，
[00:20:06] 他还是在讲学科，
[00:20:08] 没毛病吧，
[00:20:08] 就看断首句断尾句，
[00:20:10] 不用管好了再来看一下第六个自然段，
[00:20:14] 读一下断首句。
[00:20:15] 又讲了一个人叫小马，
[00:20:17] 小马本科攻读的是自然地理学研究生阶段，
[00:20:22] 选的是考古学。
[00:20:24] 现在我就问一下所有亲爱的同学们。
[00:20:27] 自然，
[00:20:28] 地理学和考古学。
[00:20:30] 你们觉得他是在说哪一个词？
[00:20:33] 同学们认真的讨论一下自然地理学考古学是不是还是在说学科，
[00:20:39] 我们就把学科再给它敲下来。
[00:20:41] 好了，
[00:20:42] 再来看一下断尾句，
[00:20:44] 最终这是在说一个结果，
[00:20:46] 它不是一个对策，
[00:20:48] 我们就不用管了。
[00:20:49] 好了，
[00:20:50] 再来看一下第七个自然段，
[00:20:52] 读一下断首句，
[00:20:54] 你觉得断首句对于我们来讲，
[00:20:57] 如果和多样性能够发生关联的。
[00:21:00] 是哪个词？
[00:21:01] 哪位同学可以直接告诉我啊？
[00:21:04] 哪个词和多样性能够直接发生关联？
[00:21:07] 只选一个词，
[00:21:08] 是不是在说一个氛围呀？
[00:21:11] 这种氛围呢，
[00:21:12] 大家觉得他所谓的良好的学术的氛围。
[00:21:16] 是指的单一的氛围，
[00:21:18] 还是指的包容的氛围，
[00:21:20] 还是指的多样性的氛围？
[00:21:22] 哪位同学可以告诉我？
[00:21:24] 你会发现，
[00:21:25] 如果这个时候你真的没有理解良好的话，
[00:21:29] 没关系，
[00:21:29] 后面开放的包容的，
[00:21:31] 还有创新的，
[00:21:32] 请问大家一下。
[00:21:33] 开放的，
[00:21:34] 包容的，
[00:21:35] 创新的，
[00:21:36] 这种氛围你觉得是只有一种文化还是可以有多种文化？
[00:21:42] 你像我们国家改革开放，
[00:21:43] 他肯定是就允许各式各样的存在，
[00:21:46] 你可以考公务员，
[00:21:47] 我可以当老师，
[00:21:48] 他可以做老板，
[00:21:49] 那个人可以做保洁，
[00:21:51] 后面的人呢？
[00:21:52] 还可以做外贸。
[00:21:53] 是吧，
[00:21:53] 只要是开放的，
[00:21:54] 有包容的，
[00:21:55] 能不能和多样性发生关联，
[00:21:57] 我觉得是可以的吧，
[00:21:59] 所以这个时候我们多样性。
[00:22:01] 这个良好的氛围算不算是对策？
[00:22:04] 你会发现，
[00:22:05] 当然是对策，
[00:22:06] 所以大家把氛围给老师一起写下来。
[00:22:09] 好了，
[00:22:09] 大家再来看一下它后面举的这些都是例子，
[00:22:13] 就是证明我们这个氛围呢，
[00:22:16] 是良好的证明，
[00:22:17] 我们这个氛围是多样性的。
[00:22:19] 好了，
[00:22:20] 大家再来看一下，
[00:22:21] 就是每周组会上，
[00:22:22] 不管是博士生，
[00:22:24] 硕士生还是本科生，
[00:22:25] 都可以畅所欲言，
[00:22:27] 提出质疑或者是建议。
[00:22:28] 哎，
[00:22:28] 我们呢，
[00:22:29] 也鼓励大家随时提问，
[00:22:31] 积极讨论这个，
[00:22:32] 还是证明我们的氛围是比较好的。
[00:22:35] 好了，
[00:22:36] 现在我们大家下，
[00:22:37] 你一共想到了几个词？
[00:22:39] 哪位同学可以告诉我？
[00:22:41] 你一共想到了几个词，
[00:22:43] 哪个同学可以告诉我一共找到了几个词，
[00:22:46] 是不是有一个是叫学学科啊？
[00:22:49] 有一个是叫氛围啊，
[00:22:50] 还有一个是叫视角啊。
[00:22:52] 大家同意吗？
[00:22:53] 那么我们如何把这三个词和我们的多样性结合起来呢？
[00:22:59] 这个时候你就记住袁东老师说的就是。
[00:23:02] 啊，
[00:23:03] 多样性就是一共三种可能，
[00:23:05] 谁来干多样性怎么干多样性多样性的哪个方面？
[00:23:09] 那我问大家下，
[00:23:11] 我组合的时候，
[00:23:12] 我能不能就组合成学科多样性，
[00:23:15] 我能不能就组合成氛围多样性，
[00:23:17] 我能不能就组成？
[00:23:19] 视角多样性，
[00:23:20] 大家觉得可以不哎，
[00:23:22] 你会发现学以多样性破题，
[00:23:25] 首先要在学科多样性上下功夫。
[00:23:28] 接着还要在氛围多样性上求求真章，
[00:23:32] 还要在视角多样性上做文章，
[00:23:35] 大家觉得可以不？
[00:23:37] 那么我现在问大家一下，
[00:23:39] 你们觉得就是这三个词，
[00:23:41] 它有有没有能够有一个顺序的前后之分？
[00:23:45] 你觉得学科视角氛围，
[00:23:47] 我们把哪一个放在第一个比较合适，
[00:23:50] 我们排一下顺序，
[00:23:52] 看看它内部有没有更好的逻辑？
[00:23:55] 我觉得我们先有基础的学科，
[00:23:58] 大家可以吧？
[00:23:59] 先把学科搭起来，
[00:24:00] 有了学科之后，
[00:24:01] 然后呢？
[00:24:01] 我们再你说一句话，
[00:24:03] 我说一句话，
[00:24:04] 你提一个观点，
[00:24:05] 我提一个观点。
[00:24:06] 再有一个视角，
[00:24:07] 有这个视角之后呢，
[00:24:08] 我们也不打击你，
[00:24:09] 我们也不讽刺你，
[00:24:10] 我们也不问你是哪个小学的，
[00:24:12] 我们也不问你是哪个初中的，
[00:24:14] 我们也不问你是哪个大学的，
[00:24:16] 我们再给你有一个。
[00:24:17] 良好的氛围，
[00:24:18] 大家觉得这样逻辑上能不能通？
[00:24:21] 大家觉得这样逻辑上能不能通？
[00:24:23] 我觉得是完全是可可以通的。
[00:24:25] 好了，
[00:24:26] 那么整个的。
[00:24:28] 也就给大家出来了，
[00:24:29] 那这个时候如果大家不放心的话，
[00:24:32] 你就要看看前面的材料和多样性，
[00:24:35] 能不能直接挂钩？
[00:24:37] 我问大家一下来，
[00:24:38] 首先来看一下，
[00:24:40] 就是这个物流中心。
[00:24:42] 你们觉得能不能和多样性挂钩？
[00:24:46] 呃，
[00:24:46] 至少从题干当中看，
[00:24:48] 就可能能挂钩，
[00:24:49] 也可能不能够挂钩是吧？
[00:24:52] 再来看一下经济社会生态能不能挂钩，
[00:24:55] 也可能挂钩，
[00:24:56] 也可能不挂钩。
[00:24:58] 还有这个题目写一个，
[00:25:00] 就是发布项目的，
[00:25:01] 那这个我们就是不再写了，
[00:25:03] 这个我们之前带着大家在小题当中做过共享村落，
[00:25:07] 也有可能挂钩，
[00:25:08] 也有可能不挂钩。
[00:25:10] 好了，
[00:25:10] 面对我们前面的材料可能挂钩，
[00:25:14] 也可能不挂钩，
[00:25:15] 面对我们这一段材料五。
[00:25:18] 材料五当中，
[00:25:19] 请问已经明确的找出来三个词，
[00:25:23] 一个是学科。
[00:25:25] 还有一个是视角。
[00:25:28] 还有一个是氛围，
[00:25:29] 我现在问大家一下，
[00:25:31] 你觉得我们优先是用材料五当中的这三个原词原句作为我们的。
[00:25:37] 分论点好，
[00:25:38] 还是用我们前面的一二三四四则材料，
[00:25:42] 既可能挂钩，
[00:25:43] 又可能不挂钩，
[00:25:45] 作为分论点好。
[00:25:46] 哪个能够让你更加自圆其说？
[00:25:49] 哪位同学可以告诉我。
[00:25:51] 是不是大概率是用我们材料五当中的原词原句啊，
[00:25:55] 请问大家一下就是学科视角和氛围是不是原词原句？
[00:26:00] 来，
[00:26:00] 我们再带着大家看一下到底是东哥给大家瞎编的，
[00:26:05] 还是他本来就存在的，
[00:26:06] 大家看视角。
[00:26:07] 在这个地方出现一次有新视角就有老视角，
[00:26:11] 那么它就代表视角的多样性，
[00:26:13] 多学科，
[00:26:14] 哎，
[00:26:14] 就是代表好多种学科，
[00:26:15] 肯定就是代表。
[00:26:17] 学科的多样性好了，
[00:26:18] 再来看一下下面的材料，
[00:26:20] 就是还有什么呢？
[00:26:22] 还有一个是氛围，
[00:26:23] 这个氛围呢，
[00:26:24] 他为了防止你看不出来，
[00:26:26] 后面专门给你用顿号标出来的。
[00:26:28] 开放的，
[00:26:29] 包容的，
[00:26:30] 创新的，
[00:26:30] 就代表它有很多种啊，
[00:26:32] 这种氛围大家现在同意吗？
[00:26:35] 同意的话就给老师打个过。
[00:26:37] 好了，
[00:26:38] 这个时候我们也就给大家把这个所有的分类点全部写出来了，
[00:26:43] 现在能够看懂的话也就可以了。
[00:26:46] 那么大家看这个分论点，
[00:26:48] 我就直接用分论点的对策，
