[00:00:00] 要别人去。
[00:04:19] 怎么画胳膊？
[00:04:20] 怎么画腿？
[00:04:21] 怎么画肚子？
[00:04:22] 我全部给你讲清楚。
[00:04:23] 好，
[00:04:23] 我们带着大家来看一下第一个题目，
[00:04:27] 大家首先给老师一起看一下整个的大作文，
[00:04:31] 在命题的时候一共只有三种命题方式。
[00:04:35] 第一种是叫单主题，
[00:04:37] 第二种是叫双主题，
[00:04:40] 第三种是叫多主题。
[00:04:42] 什么叫单主题呢？
[00:04:44] 也就是整个材料只围绕一个话题进行，
[00:04:48] 这种情况就叫单主题。
[00:04:51] 什么叫双主题呢？
[00:04:53] 也就是整个材料围绕两个话题进行，
[00:04:56] 这个就叫双主题。
[00:04:58] 什么叫双主题？
[00:05:00] 哪位同学可以告诉我这个双主题的话，
[00:05:03] 各位认真的给我想清楚啊。
[00:05:06] 双主题的话，
[00:05:08] 主要包含两个话题，
[00:05:10] 这两个话题，
[00:05:12] 比如说让你红线。
[00:05:14] 还有红利为话题写一篇文章，
[00:05:17] 让你以变和不变为话题写一篇文章。
[00:05:21] 这就是啊，
[00:05:22] 双主题单主题呢，
[00:05:24] 顾名思义就是一个词，
[00:05:26] 让你以改革为话题，
[00:05:28] 写一篇文章。
[00:05:30] 什么叫多主题？
[00:05:31] 哪位同学可以给我举个例子？
[00:05:34] 多主题，
[00:05:35] 它往往会出现三个话题，
[00:05:38] 甚至是。
[00:05:39] 四个话题，
[00:05:40] 这三个话题它包含了什么？
[00:05:42] 同学们能不能给老师举个例子？
[00:05:46] 我们国考曾经让你立。
[00:05:48] 礼还有利为话题写一篇文章，
[00:05:51] 我们曾经呢，
[00:05:53] 还让大家考过一个试叫。
[00:05:55] 办好事。
[00:05:56] 还有一个叫好办事。
[00:05:59] 还有一个叫事办好哎，
[00:06:02] 像这样的为话题写一篇文章，
[00:06:05] 这些的话呢，
[00:06:06] 我都希望大家首先要知道命题，
[00:06:09] 不管是国考省考。
[00:06:11] 还是选调生事业单位，
[00:06:13] 只有这三种方式，
[00:06:15] 现在清晰了吗？
[00:06:16] 这节课我们就给大家。
[00:06:18] 先搞定单种题，
[00:06:20] 这种方式希望大家把总论点，
[00:06:22] 分论点一定找准，
[00:06:24] 我再给大家说一下啊，
[00:06:26] 如果大家标题。
[00:06:28] 和总论点在考试的时候直接跑题了，
[00:06:31] 那么整场考试就失利了，
[00:06:33] 你可以有任何的失误行测选择题错几个问题不大。
[00:06:38] 室内前面漏几个词问题不大，
[00:06:41] 但是。
[00:06:42] 如果你的标题和总论点跑题了，
[00:06:45] 这叫严重跑题，
[00:06:46] 直接会给到四论文，
[00:06:48] 哪位同学告诉我？
[00:06:50] 就是大作文满分，
[00:06:52] 你们考过试的同学知道是多少分吗？
[00:06:55] 哪位同学可以告诉我大作文满分是多少分？
[00:06:58] 大作文满分是40分，
[00:07:01] 在考试的时候一共分成几论文，
[00:07:04] 各位在考试的时候一共分成。
[00:07:08] 四论文。
[00:07:08] 这四论文请问大家一下。
[00:07:12] 一共是哪四类？
[00:07:13] 有没有同学能够告诉我这四类文一共是哪四类？
[00:07:19] 有没有同学能够告诉我？
[00:07:21] 各位就是一类，
[00:07:23] 二类，
[00:07:24] 三类和四类，
[00:07:25] 请问多少分是一个档次？
[00:07:28] 在阅卷的时候，
[00:07:30] 一开始他不是直接给你，
[00:07:32] 比如说31，
[00:07:33] 18，
[00:07:33] 29，
[00:07:34] 他是要给你分档，
[00:07:35] 各位是十分一个档次。
[00:07:37] 四类门是零到十分。
[00:07:40] 三类文是11到20，
[00:07:43] 二类文是21到30，
[00:07:47] 一类文是。
[00:07:48] 31到40，
[00:07:50] 大家觉得这个可以过了啊，
[00:07:52] 各位在考试的时候他怎么阅卷？
[00:07:55] 首先要看一下你的。
[00:07:57] 标题和。
[00:07:58] 分论点以及总论点是否正确，
[00:08:01] 如果正确先往三类门以上，
[00:08:04] 如果错了，
[00:08:05] 直接干到四类门，
[00:08:06] 现在听懂了吗？
[00:08:08] 你如果被干到40分，
[00:08:10] 也就是一个40分的题目，
[00:08:12] 至少你会被扣掉30分，
[00:08:14] 这个时候你申论的分数就会出现重大偏差。
[00:08:17] 每年国考有50%以上的同学都是总论点，
[00:08:21] 分论点，
[00:08:22] 跑题所致。
[00:08:22] 有没有同学在考试的时候？
[00:08:25] 曾经有过这样的一个经历，
[00:08:27] 也就是这次考试和那次考试。
[00:08:29] 自己的分数相差很大，
[00:08:31] 虽然间隔就是时间不太长，
[00:08:34] 但是就这次考试和上一次考试间隔分数很大。
[00:08:38] 这种同学很多都是出现在大作文总论点，
[00:08:41] 仿分论点跑题了的，
[00:08:43] 那么哎，
[00:08:43] 然后你中论点分论点找对了，
[00:08:45] 基本上它不会低于三类本的。
[00:08:47] 接着，
[00:08:48] 如果你的开头还有一个结尾写的好，
[00:08:51] 会给你放到二类文，
[00:08:52] 接着，
[00:08:53] 如果你的分论点的论证写的好，
[00:08:55] 就会给你放到一类文。
[00:08:57] 大家觉得可以过了啊，
[00:08:59] 好了，
[00:09:00] 下面我就带着大家来看一个单主题的审题，
[00:09:04] 审题是极其重要的。
[00:09:06] 审题我们也是有底层逻辑的。
[00:09:10] 各位，
[00:09:10] 这个底层逻辑是什么呢？
[00:09:13] 同学们一起给老师敲在评论区，
[00:09:17] 记住标题。
[00:09:18] 和总论点是什么关系？
[00:09:21] 哪位同学可以告诉我标题就等于总论点。
[00:09:26] 一定给我记清楚了，
[00:09:29] 标题就等于总论点，
[00:09:31] 总论点就是把标题给我改写成一句话。
[00:09:35] OK，
[00:09:35] 那这个我当然知道，
[00:09:37] 但是这个标题和从论点它的架构组成，
[00:09:41] 大家一起写前半句找对策，
[00:09:44] 后半句找什么？
[00:09:45] 哪位同学可以告诉我后半句，
[00:09:48] 你就给我找影响行就可以了，
[00:09:51] 就是对策加影响。
[00:09:53] 这个对策加影响，
[00:09:55] 请问在考试的时候是以我们自己想象为主，
[00:09:59] 还是以题干当中的原词原句为主？
[00:10:03] 这一点是非常重要的方法论，
[00:10:05] 如果你这个搞错了就没救了，
[00:10:07] 很多同学遇到大主意，
[00:10:09] 总觉得哎呀，
[00:10:10] 终于不受八股了，
[00:10:11] 终于可以随意发挥了不是。
[00:10:13] 一定以题干为根本原则。
[00:10:16] 好了，
[00:10:16] 那拿这个题目做一个例子来讲，
[00:10:19] 大家看这个是根据材料八中有的人对全民阅读的要求。
[00:10:25] 诗书满腹，
[00:10:26] 拓展人生。
[00:10:28] 全民阅读引领未来这一主题，
[00:10:31] 写一篇文章，
[00:10:32] 大家看它是一个主题，
[00:10:35] 这里边我们要找出一个对策。
[00:10:38] 这个对策，
[00:10:39] 请问从题干当中的这句话，
[00:10:41] 你给我选出一个最重要的，
[00:10:44] 可以作为对策的，
[00:10:45] 大家觉得可以选择哪个词作为对策？
[00:10:48] 你会发现，
[00:10:49] 要么选择诗书满腹，
[00:10:51] 要么选择全民阅读。
[00:10:54] 请问大家一下，
[00:10:55] 是选择诗书满腹呢，
[00:10:57] 还是选择全民阅读呢？
[00:10:59] 各位选择一个比较规范的，
[00:11:02] 包容性比较强的，
[00:11:03] 我会选择。
[00:11:04] 全民。
[00:11:06] 阅读一起把它搞定。
[00:11:09] 好了，
[00:11:10] 我问大家一下。
[00:11:11] 如果我想把全民阅读变成一个对策，
[00:11:14] 前面加一个动词，
[00:11:16] 大家觉得加哪一个动词比较合理？
[00:11:19] 同学们告诉我一下。
[00:11:20] 全民阅读我，
[00:11:22] 你会加哪个动词？
[00:11:23] 先不要加以色列的以啊，
[00:11:25] 我们可以加一个什么？
[00:11:27] 推广全民阅读，
[00:11:29] 可以很多同学找到了推广全民阅读，
[00:11:33] 各位下面有没有同学能够给老师再找出一个？
[00:11:38] 影响这个影响可以用题目当中的关键词，
[00:11:42] 你觉得拓展人生和引领未来选择哪个词概括性可能更强一些？
[00:11:49] 同学们告诉我，
[00:11:50] 推广全民阅读，
[00:11:51] 那么我觉得这个未来是非常好的好，
[00:11:55] 我把未来写在这个地方。
[00:11:57] 哎，
[00:11:57] 我要把它变成一个影响前面加一个动词共创。
[00:12:02] 什么未来，
[00:12:03] 哪个同学再给老师加个形容词？
[00:12:06] 共创美好未来，
[00:12:07] 各位我们虽然不一定能够把题干当中的每一个词都用上，
[00:12:12] 但是我们尽量的要覆盖最重要的词，
[00:12:16] 一个是全民阅读，
[00:12:17] 一个是未来，
[00:12:18] 我觉得就可以了。
[00:12:20] 现在清晰了不同学们，
[00:12:21] 那么当然有的同学呢说老师我啊，
[00:12:24] 就是天生反骨身体120斤，
[00:12:27] 我就130斤的反骨，
[00:12:29] 我想换一下我在考试的时候。
[00:12:31] 想不到推广，
[00:12:32] 请问大家应该怎么办？
[00:12:34] 想不到推广的话，
[00:12:36] 你就记住这个世界上有一个国家叫以色列，
[00:12:40] 你这个动词要想到以色列的以。
[00:12:43] 这个相对来讲，
[00:12:44] 在你不会的时候可以给你救急乙。
[00:12:47] 全民。
[00:12:49] 阅读后面给老师加一个尾巴，
[00:12:52] 加哪个尾巴？
[00:12:54] 同学们可以告诉我，
[00:12:56] 以全民阅读。
[00:12:57] 为比大家觉得可以不，
[00:13:00] 然后同学们它对谁有好处啊，
[00:13:03] 它对人生有好处，
[00:13:05] 它对谁有好处？
[00:13:07] 它对未来有好处，
[00:13:09] 所以大家一起写人生。
[00:13:12] 与未来我把它写在这，
[00:13:14] 然后我要把它变成一个影响前面加一个动词，
[00:13:18] 后面加一个尾巴，
[00:13:20] 大家觉得加哪个动词比较合适？
[00:13:23] 可以啊，
[00:13:24] 记住了，
[00:13:25] 以后教你一个相对比较万能的绘就人生与未来。
[00:13:30] 新片OK，
[00:13:33] 现在。
[00:13:35] 给你两种啊，
[00:13:36] 我再给大家说一下标题的答案，
[00:13:38] 它确实不一定是唯一的，
[00:13:41] 但是我这个题目要求大家一定要有全民阅读，
[00:13:45] 如果在考试的时候你的整个的标题。
[00:13:48] 还有你的总论讲当中没有全民阅读的话，
[00:13:51] 大概率这个事情就over了，
[00:13:53] 现在大家能够听明白了吗？
[00:13:55] 好了，
[00:13:55] 再接着给大家来看一下，
[00:13:58] 这是一个标题。
[00:13:59] 各位，
[00:13:59] 我问大家一下，
[00:14:01] 标题等于什么？
[00:14:03] 哪个同学在告诉袁东老师标题记住我的话？
[00:14:07] 它等于一个总论点。
[00:14:10] 这个总论点要放在什么位置？
[00:14:13] 哪位同学可以告诉我这个总论点要放在开头？
[00:14:19] 最后。
[00:14:21] 一句放在开头最后一句啊，
[00:14:24] 放在开头最后一句，
[00:14:26] 大家看以全民阅读为笔，
[00:14:28] 你看以全民阅读赋能新时代征程。
[00:14:32] 然后呢，
[00:14:33] 绘就人生与时代先飘，
[00:14:35] 让人生你稍微可以变换几个词，
[00:14:38] 就是个人成长，
[00:14:39] 让时代的话呢啊，
[00:14:41] 精彩都是可以的。
[00:14:42] 但是你最好一定最后要有全民阅读，
[00:14:47] 要有阅读这几个词，
[00:14:49] 现在清晰了吗？
[00:14:51] 另外一个，
[00:14:52] 我问大家一下，
[00:14:53] 就是总论点之前，
[00:14:55] 如果你还想润色一下的话，
[00:14:57] 可以加一句什么话？
[00:14:59] 哪位同学可以告诉我，
[00:15:01] 总论点之前想润色的话，
[00:15:03] 可以加一个名言警句，
[00:15:06] 或者是一个过渡句。
[00:15:08] 这个名言警句我给大家准备了很多很多万能的，
[00:15:12] 记住了，
[00:15:12] 在这个地方可以加一句话，
[00:15:14] 你们能够想到哪一个词？
[00:15:17] 追风赶月莫停留，
[00:15:19] 平芜尽处是春山。
[00:15:21] 雄关漫道真如铁，
[00:15:23] 而今漫步从头越。
[00:15:25] 现在能够听懂了吗？
[00:15:27] 就是类似于这样的名言警句，
[00:15:30] 你夹在这个地方，
[00:15:31] 这样的话，
[00:15:32] 你开头的。
[00:15:33] 后半部分就全部写出来了，
[00:15:36] 请问大家简单不？
[00:15:38] 这节课我们就先在教大家写标题以及开头的。
[00:15:42] 后半部分下一节课带着大家把前半部分学完，
[00:15:47] 现在听懂了吗？
[00:15:48] 现在听懂了吗？
[00:15:49] 好了啊，
[00:15:50] 好了再接着带着大家往下走，
[00:15:52] 大家来看一下，
[00:15:53] 这是山东省考的一个题目，
[00:15:55] 当时很多同学不会写，
[00:15:57] 我们来看一下应该怎么把它搞定？
[00:16:00] 围绕对给定材料五划线句子，
[00:16:02] 因为热爱所以燃烧的理解，
[00:16:05] 请问大家一下拿到这句话要逆题目的话，
[00:16:09] 标题应该等于什么？
[00:16:11] 带着大家练一下标题，
[00:16:13] 应该等于什么标题，
[00:16:15] 前半句是不是应该等于对策？
[00:16:18] 后半句是不是应该等于影响，
[00:16:22] 然后抓紧时间去审题，
[00:16:24] 你觉得因为热爱是对策还是影响？
[00:16:28] 哪位同学可以直接告诉东哥，
[00:16:30] 因为热爱是对策还是影响，
[00:16:33] 那我觉得它是一个对策，
[00:16:35] 所以我要把热爱放在标题的。
[00:16:38] 前半句好了，
[00:16:39] 再问大家一下，
[00:16:41] 燃烧是对策还是影响？
[00:16:43] 就是在这一句话当中，
[00:16:45] 燃烧是不是一个影响啊？
[00:16:48] 好，
[00:16:48] 我们就把燃烧写在这个地方。
[00:16:52] 那么这个时候把热爱这个词给老师搞定，
[00:16:56] 应该怎么搞定？
[00:16:58] 哪位同学可以告诉我？
[00:17:00] 如果在考试的时候，
[00:17:02] 我真的绞尽脑汁想不出来用哪个词做动词的话，
[00:17:06] 把它变成对策，
[00:17:07] 我要想到哪个词，
[00:17:08] 这个世界上有一个国家，
[00:17:10] 它的存在。
[00:17:11] 就是不是为了打伊朗，
[00:17:13] 它的存在就是为了让你能够把申论大指纹写好，
[00:17:17] 记住了以热爱。
[00:17:19] 后面加一个尾巴，
[00:17:21] 可以加哪一个尾巴？
[00:17:23] 同学们，
[00:17:24] 可以告诉我以热爱为比。
[00:17:27] 好燃烧，
[00:17:28] 前面加个动词，
[00:17:29] 后面加个尾巴，
[00:17:31] 同学们加哪个动词？
[00:17:33] 你拿着一笔，
[00:17:34] 拿着笔是要干什么的？
[00:17:36] 是要写字的，
[00:17:39] 所以叫谱写。
[00:17:41] 燃烧芯片，
[00:17:43] 你看你这样一写的话，
[00:17:46] 这个就相对来讲比较完美了。
[00:17:50] 哎，
[00:17:50] 你看你这个标题，
[00:17:51] 它就绝对不会跑题，
[00:17:53] 不管是哪个人命题人出，
[00:17:55] 它都不不会跑题，
[00:17:56] 它都在我们的射程范围之内。
[00:17:58] 以热爱为笔谱写燃烧新篇，
[00:18:02] 那我们的对策也就是以热爱为笔。
[00:18:05] 怎么样以热爱为笔谱写那么哎，
[00:18:09] 燃烧芯片谱写燃烧芯片，
[00:18:12] 记住你的最后的。
[00:18:14] 这一句话总论点就等于标题，
[00:18:17] 但是你可以适当的再加一点句子，
[00:18:20] 你可以适当的加一点废话，
[00:18:23] 你不用说哎，
[00:18:24] 直接照抄。
[00:18:25] 现在能够听懂的话，
[00:18:27] 就给老师打一个过好吧，
[00:18:29] 现在能够听懂的话，
[00:18:31] 就给老师打个过各位题目。
[00:18:33] 在遇见的时候直接看你有没有热爱，
[00:18:37] 有没有燃烧，
[00:18:38] 有大概率至少是三类为起步，
[00:18:40] 没有你就自求多福吧。
[00:18:42] 好吧，
[00:18:42] 我每一次都是辛辛苦苦的给大家这样讲，
[00:18:46] 但是在考试的时候，
[00:18:47] 每一年考试结束，
[00:18:48] 总有很多同学出来之后说没有含有题干当中的关键词。
[00:18:53] 你那个时候就别再让我负责了，
[00:18:55] 我负责不了啊，
[00:18:57] 你一定今天晚上就记住了原词原句好了，
[00:19:00] 大家再来看一下，
[00:19:01] 这又是一个山东的题目。
[00:19:03] 到底应该怎么把它搞定？
[00:19:05] 我们问大家一下，
[00:19:07] 拿到题目一下子慌了，
[00:19:09] 记住底层逻辑标题。
[00:19:10] 应该等于什么？
[00:19:12] 哪位同学可以告诉我标题就等于一个对策，
[00:19:16] 再加上一个影响。
[00:19:19] 请问大家一下，
[00:19:21] 重力病是对策还是影响一定扣紧题干当中的关键词？
[00:19:27] 重力病是对策还是一个影响？
[00:19:30] 它是一个对策重力，
[00:19:32] 并前面我不会了加任何动词，
[00:19:35] 我加不上我，
[00:19:36] 请问大家一下，
[00:19:38] 这个世界上那个国家是什么？
[00:19:41] 你要加哪个动词？
[00:19:42] 先把这个学会，
[00:19:44] 先把它固化，
[00:19:45] 然后我再帮你个性化，
[00:19:47] 帮你优化，
[00:19:48] 是不是加个乙啊乙重力并后面？
[00:19:51] 加一个尾巴叫什么尾巴与重力臂为比，
[00:19:55] 如果我们不想加尾比，
[00:19:56] 还能不能加其他的词？
[00:19:58] 可以，
[00:19:59] 比如说以重力并破题，
[00:20:01] 大家觉得可以不？
[00:20:04] 然后对万金举我一定要写到我的答案里面去。
[00:20:09] 万军举好前面，
[00:20:11] 加一个动词，
[00:20:12] 后面加一个尾巴，
[00:20:15] 请问加哪一个动词？
[00:20:17] 哎，
[00:20:17] 我们依然可以谱写。
[00:20:21] 万君举新篇。
[00:20:25] OK，
[00:20:25] 好也就可以过了，
[00:20:26] 大家看这是都是山东省考的题目，
[00:20:29] 山东省考给我的，
[00:20:30] 只要不跑题，
[00:20:31] 考到70+75加的同学还是非常多的。
[00:20:35] 以重力病破题谱写万金举新篇，
[00:20:39] 以重力病破题和它完全对应，
[00:20:42] 这叫标题和。
[00:20:44] 总论点的首尾呼应谱写万金句新篇方能成就万俊举的成绩，
[00:20:50] 中间的这两句话记住了，
[00:20:53] 你可以自己加。
[00:20:54] 只要是合情合理的解就可以了，
[00:20:57] 现在能够看懂这个逻辑吗？
[00:20:59] 能够看懂的话给老师打个一。
[00:21:01] 能够看懂吗？
[00:21:02] 就是你看啊，
[00:21:04] 你写大主文，
[00:21:05] 我都给你做好了，
[00:21:06] 拆解了，
[00:21:07] 就像电脑组装一样，
[00:21:09] 就是这个，
[00:21:09] 其实就是标题的异化，
[00:21:11] 它中间呢，
[00:21:12] 最重要的词和标题。
[00:21:14] 能够一样也就可以了，
[00:21:16] 其他的你加两句废话，
[00:21:18] 稍微的润色一下就可以了，
[00:21:20] 有没有同学知道这个词？
[00:21:22] 这个打中括号的这个词，
[00:21:24] 这句话是在说什么？
[00:21:26] 同学们告诉我，
[00:21:27] 这个身处民族复兴的关键征程，
[00:21:30] 它本质上就是一个过渡句补充的句子，
[00:21:34] 如果。
[00:21:34] 我不想用这个的话，
[00:21:36] 请问我能不能把它换成名言警句或者其他的句子？
[00:21:40] 当然是可以的，
[00:21:42] 比如说同学们给老师一起写。
[00:21:44] 进入新征程，
[00:21:45] 强在评论区这节课上课，
[00:21:48] 就把它先积累下来。
[00:21:50] 进入新征程。
[00:21:53] 啊，
[00:21:53] 进入新时代写错了哈，
[00:21:55] 进入新时代。
[00:21:57] 奋进新征程。
[00:22:00] 奋进新征程。
[00:22:03] OK，
[00:22:04] 再一起写，
[00:22:05] 有没有同学知道最后一句叫什么？
[00:22:08] 最后一句再创。
[00:22:11] 新辉煌哎，
[00:22:13] 你看我如果用我提前准备好的，
[00:22:17] 这种万能的句子去。
[00:22:19] 塞到里面去，
[00:22:20] 大家觉得可以不？
[00:22:22] 比如说进入新时代，
[00:22:23] 奋进新征程，
[00:22:25] 再创新辉煌啊，
[00:22:26] 唯有以重力。
[00:22:27] 并破题凝心聚力，
[00:22:29] 同心同向，
[00:22:30] 方能成就万俊举的不凡业绩，
[00:22:33] 书写新时代的壮阔篇章。
[00:22:36] 大家觉得可以吧，
[00:22:37] 你会发现啊，
[00:22:38] 你一通百通，
[00:22:39] 很多同学学了我的大指纹，
[00:22:41] 马上就能够会写，
[00:22:42] 剩下的就是把素材再积累积累，
[00:22:45] 你完全是可以拿到一类文的。
[00:22:47] 大总分是比较容易提分的。
[00:22:49] 关键很多同学之前没有学过这些写作的方式，
[00:22:53] 脑袋空白，
[00:22:54] 他都不知道标题要等于最后一句的总论点。
[00:22:58] 各位，
[00:22:58] 你们在跟我之前知道标题等于开头最后一句总论点的打个一不知道的就打个二，
[00:23:06] 实事求是啊。
[00:23:07] 很多同学他写作他他不是不会，
[00:23:09] 他误以为自己是肚子里面没有货，
[00:23:12] 其实不是，
[00:23:13] 首先他不知道这个写作的方式方法，
[00:23:15] 这个才是最重要的，
[00:23:16] 所以你把它先学会。
[00:23:18] 好了，
[00:23:18] 再接着给大家往下看，
[00:23:20] 大家看，
[00:23:21] 这是一个题目，
[00:23:22] 这个题目呢，
[00:23:23] 是山东省考的题目，
[00:23:25] 我尽量的把就是国考山东，
[00:23:27] 江苏，
[00:23:27] 浙江，
[00:23:28] 上海，
[00:23:28] 北京，
[00:23:29] 四川第一波的，
[00:23:30] 先给大家讲，
[00:23:31] 然后其他波的。
[00:23:32] 三月份的再接着给大家讲都有的，
[00:23:34] 你们别着急，
[00:23:35] 我是按照你们考试的顺序啊，
[00:23:37] 大家看拿到这个题目，
[00:23:39] 我的脑子当中一下子空白了。
[00:23:41] 这个时候一定记住袁东老师像个大哥哥一样，
[00:23:45] 站在你身后说标题等于什么，
[00:23:47] 这节课就反复的强化练习，
[00:23:49] 现场就要学会。
[00:23:50] 前半句要写对策，
[00:23:53] 后半句要写影响。
[00:23:55] 好了，
[00:23:55] 大家看新春伊始，
[00:23:57] 齐鲁大地动能澎湃，
[00:23:59] 焕发蓬勃生机。
[00:24:01] 结合给定材料，
[00:24:03] 以脉动的力量为主题。
[00:24:05] 自拟标题自选角度撰写一篇文章，
[00:24:08] 大家看这一个题目，
[00:24:10] 从这个地方做了一个华丽的分割线，
[00:24:13] 你觉得我拟标题的时候。
[00:24:16] 是以前半句话为主，
[00:24:18] 还是以后半句话为主？
[00:24:21] 哪位同学可以告诉我？
[00:24:23] 是不是要以什么为主题为主啊？
[00:24:26] 人家让你以为主题就近原则拟标题的，
[00:24:29] 结果你看到前面了，
[00:24:30] 你这个肯定是射击的时候眼神有问题了。
[00:24:33] 所以以前半句为主，
[00:24:35] 现在我问大家一下脉动的力量，
[00:24:39] 你们觉得它是一个对策还是一个影响？
[00:24:43] 这直接就决定了它的位置，
[00:24:45] 大家认真琢磨一下脉动的力量，
[00:24:48] 那我觉得它是一个对策。
[00:24:50] 所以大家一起写脉动力量OK，
[00:24:53] 一起把它搞定，
[00:24:55] 前面加一个动词，
[00:24:56] 把它给我变成一个对策，
[00:24:59] 有哪位同学可以给老师加一个动词？
[00:25:02] 脉动力量，
[00:25:03] 你认真的想一下哎，
[00:25:05] 有同学写的非常好，
[00:25:07] 激活脉动力量一起把它写下来。
[00:25:10] 好激活脉动力量，
[00:25:12] 它会产生一个影响，
[00:25:14] 请问这个影响我是优先自己在这边空想比较合适，
[00:25:19] 还是从题干当中找比较合适？
[00:25:21] 我尽量的从题干当中找。
[00:25:24] 这新春伊始，
[00:25:25] 是时间齐鲁大地动能澎湃焕发，
[00:25:29] 蓬勃生机。
[00:25:30] 请问焕发蓬勃生机？
[00:25:33] 可不可以理解成一个影响，
[00:25:35] 哪位同学可以告诉我，
[00:25:37] 你会发现完全没有问题吧？
[00:25:39] 所以我就直接把它写下来，
[00:25:42] 焕发。
[00:25:43] 彭博。
[00:25:46] 升级哎，
[00:25:46] 你看这样我的标题就把它搞定了，
[00:25:50] 现在听懂了吗？
[00:25:52] 这是非常重要的一步。
[00:25:54] 啊，
[00:25:54] 非常重要的一步，
[00:25:56] 一定把它给我记住了，
[00:25:57] 好我们再来看一下这个开头标题，
[00:26:00] 激活脉动力量，
